CUI1,CUI2
"('Have Shortness of Breath question', 'C3274920')","('Adenocarcinoma of the prostate metastatic', 'C0862636')"
"('Adrenocortical carcinoma', 'C0206686')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('Adult Non-Hodgkin Lymphoma', 'C0220605')","('Multiple Skull Base Meningiomas', 'C1334829')"
"('In Cerebrospinal Fluid', 'C0007807')","('Stage II Carcinoma of Penis', 'C0854966')"
"('Subependymal Giant Cell Astrocytoma', 'C0205768')","('Cherubism', 'C0008029')"
"('Obesity, CTCAE', 'C1963185')","('Intraocular Malignant Peripheral Nerve Sheath Tumor', 'C2984902')"
"('Multifocal', 'C0205292')","('FIGO Stage IVA Ovarian Cancer', 'C4289311')"
"('Affecting', 'C0392760')","('Intermediate Soft Tissue Tumor of Uncertain Differentiation', 'C4054705')"
"('Back', 'C0004600')","('Stage IIIB Ovarian Cancer AJCC v6 and v7', 'C4721795')"
"('Personal appearance', 'C0233426')","('Cartilaginous exostosis', 'C0029423')"
"('Lifetime', 'C4071830')","('Colorectal Mucosa-Associated Lymphoid Tissue Lymphoma', 'C3272830')"
"('Gingiva', 'C0017562')","('Benign tumor of eyelid', 'C0339107')"
"('30%', 'C3842588')","('Lymphomatous Adult T-Cell Leukemia/Lymphoma', 'C1334466')"
"('Primary malignant neoplasm', 'C1306459')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('Malignant Neoplasms', 'C0006826')","('Trabecular adenocarcinoma', 'C0302182')"
"('Study of epidemiology', 'C0699910')","('Mixed astrocytoma-ependymoma', 'C0280791')"
"('Remaining', 'C1527428')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Low Grade', 'C1282907')","('Stage IIIB Ovarian Cancer AJCC v6 and v7', 'C4721795')"
"('Shin', 'C0230444')","('Intraepithelial Melanocytic Hyperplasia', 'C1334256')"
"('Protruding', 'C4085565')","('Cerebral Primitive Neuroectodermal Tumor', 'C0751675')"
"('20s', 'C1552134')","('Nodular Lymphocyte Predominant Hodgkin Lymphoma', 'C1332210')"
"('Cell Device', 'C1704653')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('Classification', 'C0008902')","('Familial Adenomatous Polyposis Associated Medulloblastoma', 'C1333598')"
"('Ability', 'C0085732')","('Stage IV Childhood Non-Hodgkin Lymphoma', 'C2986680')"
"('Unexplained weight loss', 'C1828173')","('Tubal Hyperplasia', 'C4288093')"
"('Usual', 'C3538928')","(""Kaposi's sarcoma of extrahepatic bile duct"", 'C2064435')"
"('Benign Neoplasm', 'C0086692')","('Colorectal Neuroendocrine Tumor G2', 'C3272614')"
"('Rare Diseases', 'C0678236')","('Clinical Stage I Cutaneous Melanoma AJCC v8', 'C4527163')"
"('combination - answer to question', 'C3811910')","('Cartilaginous exostosis', 'C0029423')"
"('Variable (uniformity)', 'C0439828')","('Gallbladder Adenocarcinoma, Biliary Type', 'C3273113')"
"('Usually', 'C3888388')","('Larynx carcinoma recurrent', 'C0863183')"
"('Back structure, including back of neck', 'C0460009')","('Blepharal carcinoma', 'C0920196')"
"('white blood cell type', 'C0427536')","('Stage IVC Oral Cavity Adenoid Cystic Carcinoma AJCC v6 and v7', 'C1336401')"
"('Hemangioma, Cavernous', 'C0018920')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Symptoms aspect', 'C0683368')","('Benign tumor of eyelid', 'C0339107')"
"('Smear - instruction imperative', 'C1947932')","('Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm', 'C1706923')"
"('Portion of urine', 'C2963137')","('Adult Acute Eosinophilic Leukemia', 'C0279630')"
"('Numbers', 'C0237753')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('peripheral blood', 'C0229664')","('Recurrent Uveal Melanoma', 'C0278870')"
"('School Grade', 'C3244287')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Malignant epithelioma', 'C0553707')","('Refractory Barrett Esophagus', 'C4763736')"
"('Very', 'C0442824')","('Stage 0 Penile Cancer AJCC v8', 'C4553780')"
"('Third', 'C0205437')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Source', 'C0449416')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('Experimental Finding', 'C2825141')","('Airway Hemangioma', 'C1336518')"
"('Geographic Locations', 'C0017446')","('Thyroid Hurthle Cell Carcinoma', 'C0749424')"
"('Infection', 'C3714514')","('ROSE Cluster 3', 'C4050314')"
"('Entity Determiner - specific', 'C1552740')","('Rhabdomyosarcoma with ganglionic differentiation', 'C0431111')"
"('Removed', 'C0849355')","('Ampulla of Vater Tubular Adenoma', 'C1332252')"
"('Genetic', 'C0314603')","('High Grade Glandular Intraepithelial Neoplasia', 'C1334014')"
"('Specimen Source Codes - Tube', 'C1547937')","('Localized Ewing Sarcoma', 'C0863029')"
"('Latin America', 'C0023122')","('Recurrent Uveal Melanoma', 'C0278870')"
"('best (quality)', 'C1522427')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Assortment', 'C2346866')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Including (qualifier)', 'C0332257')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('low exposure', 'C4048187')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Measures', 'C0079809')","('Localized Askin Tumor', 'C1321778')"
"('Malignant Neoplasms', 'C0006826')","('Neonatal leukemia', 'C0235813')"
"('Deeply', 'C3843505')","('Stage II Differentiated Thyroid Gland Carcinoma Under 45 Years AJCC v7', 'C3640142')"
"('Cervix Uteri', 'C0007874')","('Splenic Manifestation of Hairy Cell Leukemia', 'C1336064')"
"('Involvement with', 'C1314939')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('Case unit dose', 'C1533148')","('Recurrent Rhabdomyosarcoma', 'C0278649')"
"('Affect (mental function)', 'C0001721')","('Ampulla of Vater Tubular Adenoma', 'C1332252')"
"('Form:Finding:Point in time:{Setting}:Document:{Role}', 'C4255237')","('Spermatocytic seminoma', 'C0334517')"
"('>5', 'C0439084')","('Mixed astrocytoma-ependymoma', 'C0280791')"
"('Occur (action)', 'C1709305')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('MOSTLY', 'C0750554')","('Noninfiltrating Intraductal Carcinoma', 'C0007124')"
"('Etiology aspects', 'C0015127')","('Refractory Ependymoma', 'C4687708')"
"('Treating', 'C1522326')","('Nasal cavity carcinoma', 'C1377785')"
"('Result', 'C1274040')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('Breast Cancer Type 1 Susceptibility Protein Measurement', 'C4050215')","('Engraftment syndrome', 'C0919746')"
"('Condition', 'C0348080')","('Vaginal Adenoma', 'C1519913')"
"('Recombinant Immune Globulin', 'C1527233')","('Unresectable Rhabdomyosarcoma', 'C4726599')"
"('Body structure', 'C1268086')","('Metaplastic carcinoma of breast', 'C1334708')"
"('Daily Living', 'C4552744')","('Grade 3a Malignant Neoplasm', 'C1333848')"
"('Device Cord', 'C1706500')","('Anaplastic large cell lymphoma, ALK negative', 'C1332078')"
"('Covers (device)', 'C0180153')","('Papillary cystic tumor', 'C0334357')"
"('High', 'C0205250')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Undescended testis (body structure)', 'C3537044')","('Liver Lymphangioma', 'C3273073')"
"('Personal appearance', 'C0233426')","('Colorectal Mucosa-Associated Lymphoid Tissue Lymphoma', 'C3272830')"
"('Representation (action)', 'C1882932')","('Peripheral primitive neuroectodermal tumor of soft tissue', 'C1112437')"
"('Family illness', 'C0344339')","('Vaginal Adenoma', 'C1519913')"
"('Zone', 'C1710706')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Present', 'C0150312')","('Congenital hamartoma', 'C1302749')"
"('Persons', 'C0027361')","('Splenic Manifestation of B-Cell Prolymphocytic Leukemia', 'C1336061')"
"('Definition', 'C1704788')","('Lipoma of small intestine', 'C1336001')"
"('Death NOS, CTCAE', 'C4552775')","('Vaginal Adenoma', 'C1519913')"
"('Nasal sinus', 'C0030471')","('embryonal rhabdomyosarcoma of prostate', 'C1335508')"
"('Malignant - descriptor', 'C0205282')","('Choroid Epithelioid Cell Melanoma', 'C1333024')"
"('Muscle Contraction', 'C0026820')","('embryonal rhabdomyosarcoma of prostate', 'C1335508')"
"('1000000', 'C1881839')","('Engraftment syndrome', 'C0919746')"
"('Include (action)', 'C2700399')","('Blood Vessel Tumors', 'C4722524')"
"('Worker', 'C1306056')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('Occur (action)', 'C1709305')","('Squamous cell carcinoma of lip', 'C0280302')"
"('Colon <insect>', 'C3888384')","('Pleomorphic adenoma of parotid gland', 'C0349571')"
"('Malignant neoplasm of skin', 'C0007114')","('Testicular cancer metastatic', 'C1096715')"
"('Microvolt', 'C1961129')","('Vaginal Adenoma', 'C1519913')"
"('Meaning', 'C0876919')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Membrane Device', 'C1706182')","('Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm', 'C1706923')"
"('foreign', 'C1517294')","('Malignant neoplasm of choroid', 'C0153630')"
"('Biomaterial Treatment', 'C1705169')","('Congenital hamartoma', 'C1302749')"
"('described', 'C1552738')","('ROSE Cluster 3', 'C4050314')"
"('Smear - instruction imperative', 'C1947932')","('Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm', 'C1706923')"
"('Lead', 'C0023175')","('Papillary squamous cell carcinoma', 'C0334244')"
"('Unknown GENC', 'C4050014')","('Thymic Atypical Carcinoid Tumor', 'C1710396')"
"('Penetration', 'C0205321')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('leukemia', 'C0023418')","('Locally Advanced Squamous Cell Carcinoma', 'C4727578')"
"('Vaginal wall', 'C0447612')","('Peripheral primitive neuroectodermal tumor of soft tissue', 'C1112437')"
"('Responsible to', 'C1273518')","('Bladder adenocarcinoma stage IV', 'C0855179')"
"('Disease', 'C0012634')","('Leptomeningeal sarcoma', 'C1384416')"
"('Yolk Sac Tumor', 'C0014145')","('Benign Apocrine Neoplasm', 'C1332473')"
"('Weight Loss, CTCAE', 'C2911645')","('Liver Cavernous Hemangioma', 'C0238246')"
"('Bone marrow aspiration procedure', 'C0398523')","('Type II Endometrial Adenocarcinoma', 'C1519714')"
"('Occurrence', 'C2745955')","('Noninfiltrating Intraductal Carcinoma', 'C0007124')"
"('risk factors - observation list', 'C1553898')","('Pancreatic carcinoma, familial', 'C2931038')"
"('Obesity', 'C0028754')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Microplate Well', 'C4283957')","('Angiosarcoma of liver', 'C0345907')"
"('regional', 'C0205147')","('Type II Endometrial Adenocarcinoma', 'C1519714')"
"('Malignant Bone Neoplasm', 'C0279530')","('Secondary malignant neoplasm of lymph node', 'C0686619')"
"('Gestational trophoblastic disease', 'C2931618')","('Mixed astrocytoma-ependymoma', 'C0280791')"
"('True primary (qualifier value)', 'C0439612')","('Refractory Ependymoma', 'C4687708')"
"('Frequently', 'C0332183')","('Secondary malignant neoplasm of lymph node', 'C0686619')"
"('Linear', 'C0205132')","('Uterine Cancer', 'C0153567')"
"('Liver Flavor', 'C2346688')","('Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL', 'C2919692')"
"('Antimicrobial Intermediate Susceptibility Result', 'C2827755')","('Stage IIIB Ovarian Cancer AJCC v6 and v7', 'C4721795')"
"('Initially', 'C0205265')","('Pilocytic astrocytoma of cerebellum', 'C0349620')"
"('Time', 'C0040223')","('sarcoma of spinal cord', 'C1336049')"
"('Line Unit of Length', 'C1552960')","('Pathologic Stage III Cutaneous Melanoma AJCC v8', 'C4527184')"
"('depend', 'C0725813')","('Stage I Adult Non-Hodgkin Lymphoma', 'C0280114')"
"('Type - attribute', 'C0332307')","('mucinous adenocarcinoma of gallbladder', 'C1333750')"
"('Condition:Find:Pt:^Patient:Nom', 'C3864998')","('Stage IV Penile Cancer AJCC v7', 'C2987499')"
"('Hardness', 'C0018599')","('Refractory Barrett Esophagus', 'C4763736')"
"('Pediculus humanus capitis (eukaryote)', 'C0411280')","('Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL', 'C2919692')"
"('Cancer Genus', 'C0998265')","('Adult Lymphocyte-Depleted Classical Hodgkin Lymphoma', 'C0279540')"
"('Ductal Breast Carcinoma', 'C1527349')","('Recurrent Primary Lymphoma of Bone', 'C4763785')"
"('Communicable Diseases', 'C0009450')","('Unresectable Rhabdomyosarcoma', 'C4726599')"
"('Including (qualifier)', 'C0332257')","('Childhood Lymphoma', 'C1332979')"
"('Arising', 'C4019053')","('Thyroid Hurthle Cell Carcinoma', 'C0749424')"
"('Resolution', 'C2699488')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('radiotherapeutic', 'C0034619')","('Childhood Central Nervous System Ganglioneuroblastoma', 'C4086154')"
"('How Often Nausea', 'C4084796')","('Small Intestinal Villous Adenoma', 'C1710115')"
"('Preventive intent', 'C1456501')","('Female Breast Carcinoma', 'C0007104')"
"('Special', 'C0205555')","('Noninfiltrating Intraductal Carcinoma', 'C0007124')"
"('Grains', 'C0086369')","('Mixed astrocytoma-ependymoma', 'C0280791')"
"('Elderly (population group)', 'C0001792')","('Deep Leiomyoma', 'C1333266')"
"('Small', 'C0700321')","('Trichilemmocarcinoma', 'C1266009')"
"('Phonation', 'C0031577')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('With intensity', 'C0522510')","('Recurrent Nasal Cavity and Paranasal Sinus Carcinoma', 'C4721428')"
"('Collagen', 'C0009325')","('Intermediate Soft Tissue Tumor of Uncertain Differentiation', 'C4054705')"
"('Specimen Source Codes - tumor', 'C1578706')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Inspiration function', 'C0004048')","('Clinical Stage I Cutaneous Melanoma AJCC v8', 'C4527163')"
"('risk factors', 'C0035648')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Occur (action)', 'C1709305')","('Intraocular Malignant Peripheral Nerve Sheath Tumor', 'C2984902')"
"('Sweating', 'C0038990')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Make - Instruction Imperative', 'C1881534')","('Metastatic Lung Small Cell Carcinoma', 'C4744563')"
"('Sufficient', 'C0205410')","('Congenital hamartoma', 'C1302749')"
"('Biomaterial Treatment', 'C1705169')","('Liver Lymphangioma', 'C3273073')"
"('Duct (organ) structure', 'C0687028')","('Melanomatosis', 'C1334691')"
"('Smear - instruction imperative', 'C1947932')","('Stage II Differentiated Thyroid Gland Carcinoma Under 45 Years AJCC v7', 'C3640142')"
"('Classification', 'C0008902')","('Locally Advanced Epithelioid Hemangioendothelioma', 'C4687513')"
"('Tumor Antigens', 'C0041361')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('Free of (attribute)', 'C0332296')","('Thymic Clear Cell Carcinoma', 'C1333069')"
"('Phase', 'C0205390')","('Anaplastic large cell lymphoma, ALK negative', 'C1332078')"
"('New Zealand Rabbits', 'C0324547')","('Precursor B-lymphoblastic lymphoma stage II', 'C0862039')"
"('shared attribute', 'C1522138')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('Following', 'C0332282')","('Childhood Central Nervous System Immature Teratoma', 'C1332954')"
"('Retinoic Acid Response Element', 'C1514917')","('FIGO Stage IVA Ovarian Cancer', 'C4289311')"
"('Anterior thoracic region', 'C1527391')","('Neonatal leukemia', 'C0235813')"
"('Physical findings', 'C0311392')","('Clinical Stage I Cutaneous Melanoma AJCC v8', 'C4527163')"
"('Often - answer to question', 'C4050225')","('Non-Metastatic Gestational Trophoblastic Tumor', 'C0280478')"
"('Presentation', 'C0449450')","('Refractory Bladder Carcinoma', 'C4725675')"
"('Painful intercourse female', 'C0423742')","('Cervical Squamous Intraepithelial Neoplasia', 'C1332922')"
"('Arising', 'C4019053')","('Clinical Stage I Cutaneous Melanoma AJCC v8', 'C4527163')"
"('Square Mile', 'C1552923')","('Lipoma of small intestine', 'C1336001')"
"('Bayer Visual Acuity Changes Grade 3', 'C4283822')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Aspects of disease screening', 'C0220909')","('Ectomesenchymal Chondromyxoid Tumor', 'C4050504')"
"('Indication of (contextual qualifier)', 'C0392360')","('Clinical Stage II HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8', 'C4329674')"
"('Muscle Tissue', 'C0026845')","('Childhood Extragonadal Malignant Germ Cell Tumor', 'C0796665')"
"('Liver', 'C0023884')","('Brain Tumor, Primary', 'C0750974')"
"('Adult Non-Hodgkin Lymphoma', 'C0220605')","('Unicystic ameloblastoma', 'C0457521')"
"('Cell Count', 'C0007584')","('Benign Carotid Body Paraganglioma', 'C2698359')"
"('Site', 'C0205145')","('Malignant Testicular Sertoli Cell Tumor', 'C1334626')"
"('Group A (qualifier value)', 'C0441835')","('Tumorlet', 'C0334237')"
"('Blood Circulation', 'C0005775')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('Females', 'C0086287')","('Liver Lymphangioma', 'C3273073')"
"('Diagnosis', 'C0011900')","('Papillary squamous cell carcinoma', 'C0334244')"
"('Unit device', 'C1509845')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Pilocytic Astrocytoma', 'C0334583')","('Pathologic Stage III Cutaneous Melanoma AJCC v8', 'C4527184')"
"('Associated topography', 'C2945842')","('Malignant Testicular Non-Seminomatous Germ Cell Tumor', 'C1334625')"
"('high - ActExposureLevelCode', 'C3887512')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Third revision', 'C0439622')","('Blepharal carcinoma', 'C0920196')"
"('shared attribute', 'C1522138')","('Dermatofibrosarcoma Protuberans with Giant Cell Fibroblastoma-Like Differentiation', 'C1333277')"
"('Benign', 'C0205183')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Organ', 'C0178784')","('Microcystic meningioma', 'C1384408')"
"('<90', 'C0439087')","('Unicystic ameloblastoma', 'C0457521')"
"('Childhood Rhabdomyosarcoma', 'C0220611')","('Stage IIIB Ovarian Cancer AJCC v6 and v7', 'C4721795')"
"('Therapeutic radiology procedure', 'C1522449')","('Plexosarcoma', 'C2931518')"
"('Pineal germinoma', 'C0854912')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Academic degree', 'C0542560')","('Adenocarcinoma, intestinal type', 'C0334279')"
"('Red Blood Cell Count measurement', 'C0014772')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('Supportive assistance', 'C1521721')","('Tonsillar Carcinoma', 'C0558355')"
"('Skin, Human', 'C4520765')","('Recurrent Acute Myeloid Leukemia with t (9;11) (p21.3; q23.3); MLLT3-KMT2A', 'C4745016')"
"('Then', 'C1883708')","('Granular Cell Leiomyosarcoma', 'C1333871')"
"('Positive Selection', 'C2347644')","('Adult Anaplastic Oligodendroglioma', 'C0280790')"
"('Malignant Vaginal Neoplasm', 'C0042237')","('Urethral Carcinoma', 'C0700101')"
"('Diffuse', 'C0205219')","('Clinical Stage I Cutaneous Melanoma AJCC v8', 'C4527163')"
"('Peritoneum', 'C0031153')","('Female Breast Carcinoma', 'C0007104')"
"('Cumulative', 'C1511559')","('Acinar cell carcinoma of pancreas', 'C0279661')"
"('month', 'C0439231')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('Painless', 'C0234226')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('increasing incidence', 'C0220888')","('Xeroderma pigmentosum, variant type', 'C1848410')"
"('Occurrence', 'C2745955')","('Recurrent Nasal Cavity and Paranasal Sinus Carcinoma', 'C4721428')"
"('Carcinoma of lung', 'C0684249')","('Epithelioid Sarcoma NCI Grade 3', 'C1333425')"
"('second (number)', 'C0205436')","('Transitional cell carcinoma, spindle cell', 'C0334271')"
"('One', 'C0205447')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('Frequently', 'C0332183')","('Primary Cutaneous Plasmablastic Lymphoma', 'C1709659')"
"('prevention aspects', 'C2700409')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Eye Color', 'C0015396')","('Central Nervous System Yolk Sac Tumor', 'C1337040')"
"('Condition:Find:Pt:^Patient:Nom', 'C3864998')","('Refractory Ependymoma', 'C4687708')"
"('Stomach', 'C0038351')","('Vaginal Adenoma', 'C1519913')"
"('Neck', 'C0027530')","('Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4', 'C4329275')"
"('Lung', 'C0024109')","('Multiple Skull Base Meningiomas', 'C1334829')"
"('Neoplasms', 'C0027651')","('Malignant Neoplasm with Regional Lymph Node Involvement', 'C1332837')"
"('Melanins', 'C0025196')","('Adult Alveolar Soft Part Sarcoma', 'C0279544')"
"('Cyst', 'C0010709')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Unconscious State', 'C0041657')","('Cervical Squamous Intraepithelial Neoplasia', 'C1332922')"
"('Upper arm', 'C0446516')","('Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm', 'C1706923')"
"('Decision', 'C0679006')","('Ovarian Dermoid Cyst with Squamous Cell Carcinoma', 'C1518710')"
"('Long Term Survivorship', 'C1517940')","('Pathologic Stage III Cutaneous Melanoma AJCC v8', 'C4527184')"
"('Specific qualifier value', 'C0205369')","('FIGO Stage IVA Ovarian Cancer', 'C4289311')"
"('Long-term Follow-up', 'C1517942')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Major <insect>', 'C4318856')","('Blepharal carcinoma', 'C0920196')"
"('Extrinsic', 'C0205101')","('Primary Cutaneous Plasmablastic Lymphoma', 'C1709659')"
"('Behavior:-:Point in time:^Patient:-', 'C2707008')","('Placental aromatase deficiency', 'C1960540')"
"('3+ Score, WHO', 'C2981702')","('Non-Metastatic Gestational Trophoblastic Tumor', 'C0280478')"
"('Phenomenon', 'C1882365')","('Clinical Stage I Cutaneous Melanoma AJCC v8', 'C4527163')"
"('Base - General Qualifier', 'C1705938')","('Dermatofibrosarcoma Protuberans with Giant Cell Fibroblastoma-Like Differentiation', 'C1333277')"
"('Pain', 'C0030193')","('Nasal cavity carcinoma', 'C1377785')"
"('Containing (qualifier)', 'C0332256')","('Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm', 'C1706923')"
"('Small', 'C0700321')","('Mixed astrocytoma-ependymoma', 'C0280791')"
"('Cell Count', 'C0007584')","('Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm', 'C1706923')"
"('bony process', 'C1184743')","('Engraftment syndrome', 'C0919746')"
"('Body part', 'C0229962')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Area', 'C0205146')","('Stage IV Colorectal Cancer AJCC v8', 'C4525094')"
"('Deep (qualifier value)', 'C0205125')","('Choroid Epithelioid Cell Melanoma', 'C1333024')"
"('Smoking', 'C0037369')","('Stage I Adult Non-Hodgkin Lymphoma', 'C0280114')"
"('Including (qualifier)', 'C0332257')","('Neonatal leukemia', 'C0235813')"
"('To', 'C1883351')","('Engraftment syndrome', 'C0919746')"
"('Case (situation)', 'C0868928')","('Localized Askin Tumor', 'C1321778')"
"('Pleomorphic', 'C1514164')","('Mucosal Melanoma', 'C3898222')"
"('Pressure (finding)', 'C0460139')","('sarcoma of spinal cord', 'C1336049')"
"('Treating', 'C1522326')","('Stage 0 Lip Carcinoma', 'C0347082')"
"('Stop brand of fluoride', 'C0723457')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('Males', 'C0086582')","('Malignant Testicular Sertoli Cell Tumor', 'C1334626')"
"('eTMF Content Model Code', 'C3889831')","('Cartilaginous exostosis', 'C0029423')"
"('Prostate', 'C0033572')","('clear cell adenocarcinoma of gallbladder', 'C1708172')"
"('Etiology aspects', 'C0015127')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Neoplasms', 'C0027651')","('Hodgkin lymphoma, nodular sclerosis, cellular phase', 'C0334627')"
"('More', 'C0205172')","('Refractory Ependymoma', 'C4687708')"
"('Unknown', 'C0439673')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('Complete', 'C0205197')","('Benign Anal Granular Cell Tumor', 'C1332471')"
"('Known', 'C0205309')","('Type II Endometrial Adenocarcinoma', 'C1519714')"
"('Followed by', 'C0332283')","('Hereditary corneal dystrophy', 'C0010035')"
"('Repair', 'C4319951')","('papillary carcinoma of penis', 'C1335322')"
"('Surface of bone', 'C0825429')","('Advanced Uterine Corpus Carcinosarcoma', 'C4764211')"
"('Lactation', 'C0022925')","('Lymphomatous Adult T-Cell Leukemia/Lymphoma', 'C1334466')"
"('Joints', 'C0022417')","('Recurrent Acute Myeloid Leukemia with t (9;11) (p21.3; q23.3); MLLT3-KMT2A', 'C4745016')"
"('Providing presence (regime/therapy)', 'C0392148')","('Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4', 'C4329275')"
"('Frequently', 'C0332183')","('Metastatic Lung Small Cell Carcinoma', 'C4744563')"
"('Percent of Abnormal Cells', 'C2347472')","('Collecting Duct Carcinoma of the Kidney', 'C1266044')"
"('Nutrients', 'C0678695')","('Benign Anal Granular Cell Tumor', 'C1332471')"
