CUI1,CUI2
"('Laboratory Procedures', 'C0022885')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('Referral placed', 'C1691010')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('Excessive', 'C0442802')","('embryonal rhabdomyosarcoma of prostate', 'C1335508')"
"('Carcinoma, Transitional Cell', 'C0007138')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Usually Need Help from Another Person for Arising', 'C4318616')","('Splenic Manifestation of B-Cell Prolymphocytic Leukemia', 'C1336061')"
"('Increased risk for cancer', 'C3553618')","('Thymic Clear Cell Carcinoma', 'C1333069')"
"('Image Feature', 'C2346469')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Hip structure', 'C0019552')","('Hodgkin lymphoma, nodular sclerosis, cellular phase', 'C0334627')"
"('Spongiosis', 'C0702120')","('Benign Carotid Body Paraganglioma', 'C2698359')"
"('Medical service', 'C0199168')","('Female Breast Carcinoma', 'C0007104')"
"('Methods aspects', 'C0025664')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Males', 'C0086582')","('Undifferentiated Neuroblastoma', 'C1519787')"
"('diagnostic procedure', 'C0430022')","('Colorectal Neuroendocrine Tumor G2', 'C3272614')"
"('Air (substance)', 'C0001861')","('Xeroderma pigmentosum, variant type', 'C1848410')"
"('Followed by', 'C0332283')","('Unresectable Rhabdomyosarcoma', 'C4726599')"
"('Suspected qualifier', 'C0750491')","('Botryoid-Type Embryonal Rhabdomyosarcoma', 'C1306573')"
"('Symptoms aspect', 'C0683368')","('Stage IB Lung Cancer AJCC v7', 'C1336138')"
"('Neoplasms', 'C0027651')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Problems - What subject filter', 'C1546466')","('Thyroid Gland Carcinoma Showing Thymus-Like Differentiation', 'C1704613')"
"('Melanoma Pathway', 'C2984289')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Uveal melanoma', 'C0220633')","('Nodular Lymphocyte Predominant Hodgkin Lymphoma', 'C1332210')"
"('disease transmission', 'C0242781')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('Often - answer to question', 'C4050225')","('Neonatal leukemia', 'C0235813')"
"('Leukemia, Myelomonocytic, Chronic', 'C0023480')","('Benign tumor of eyelid', 'C0339107')"
"('include - SetOperator', 'C1552866')","('Rhabdomyosarcoma with ganglionic differentiation', 'C0431111')"
"('Initially', 'C0205265')","('Platinum-Resistant Lung Small Cell Carcinoma', 'C4764254')"
"('PREVENT (product)', 'C0309872')","('ALK positive large B-cell lymphoma', 'C1333294')"
"('Estimated', 'C0750572')","('Mixed parotid tumor', 'C0345604')"
"('TP53 gene', 'C0079419')","('Xeroderma pigmentosum, variant type', 'C1848410')"
"('React', 'C4224854')","('Thymic Clear Cell Carcinoma', 'C1333069')"
"('Proton Pump Inhibitors [MoA]', 'C1384478')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Tumor Mass', 'C3273930')","('Benign Apocrine Neoplasm', 'C1332473')"
"('Positive Selection', 'C2347644')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Different', 'C1705242')","('Maxillary Sinus Adenocarcinoma', 'C1334642')"
"('Probability', 'C0033204')","('Malignant melanoma of eyelid', 'C0339116')"
"('Biomaterial Treatment', 'C1705169')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Qualitative form', 'C0348078')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Present', 'C0150312')","('Intermediate Grade Salivary Gland Mucoepidermoid Carcinoma', 'C0279742')"
"('Classification of information', 'C0678229')","('Benign Apocrine Neoplasm', 'C1332473')"
"('Thyroid Gland', 'C0040132')","('Childhood Choriocarcinoma', 'C4086155')"
"('Etiology aspects', 'C0015127')","('Unresectable Rhabdomyosarcoma', 'C4726599')"
"('Tumor cells, malignant', 'C0334227')","('Breast Ductal Adenoma', 'C1511307')"
"('Therapeutic procedure', 'C0087111')","('Familial Adenomatous Polyposis Associated Medulloblastoma', 'C1333598')"
"('Levels (qualifier value)', 'C0441889')","('Benign Carotid Body Paraganglioma', 'C2698359')"
"('Tickling sensation quality', 'C0234201')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('Appearance', 'C0700364')","('mucinous adenocarcinoma of gallbladder', 'C1333750')"
"('Embryonic Development', 'C0013936')","('Choroid Necrotic Melanoma', 'C1333026')"
"('Feelings', 'C1527305')","('Malignant Neoplasm of Lung - Multiple Primary Sites', 'C4528576')"
"('90%', 'C3842582')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('Usual', 'C3538928')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Aggressive Non-Hodgkin Lymphoma', 'C1332225')","('Adult Alveolar Soft Part Sarcoma', 'C0279544')"
"('Pharyngeal structure', 'C0031354')","('Cerebral hemangioma', 'C0877388')"
"('Chemotherapy Regimen', 'C0392920')","('GIANT PIGMENTED HAIRY NEVUS', 'C1842036')"
"('Average', 'C1510992')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('various allergen extracts', 'C3540765')","('Tonsillar Carcinoma', 'C0558355')"
"('1000000', 'C1881839')","('Localized Ewing Sarcoma', 'C0863029')"
"('therapeutic aspects', 'C0039798')","('Malignant Testicular Sertoli Cell Tumor', 'C1334626')"
"('Teens', 'C1521910')","('Adult Lymphocyte-Depleted Classical Hodgkin Lymphoma', 'C0279540')"
"('Example', 'C1707959')","('Locally Advanced Soft Tissue Sarcoma', 'C4727772')"
"('Mental blocking', 'C0233660')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Cover (physical object)', 'C3888055')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('SPINK5 gene', 'C1423506')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Hereditary', 'C0439660')","('adenoid cystic carcinoma of lung', 'C1334439')"
"('Gonadal structure', 'C0018067')","('Hodgkin lymphoma, nodular sclerosis, cellular phase', 'C0334627')"
"('per year', 'C0439508')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('Vagina', 'C0042232')","('Cartilaginous exostosis', 'C0029423')"
"('combination - answer to question', 'C3811910')","('Intraepithelial Melanocytic Hyperplasia', 'C1334256')"
"('Primary malignant neoplasm', 'C1306459')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('Set of muscles', 'C1995013')","('Recurrent Nasal Cavity and Paranasal Sinus Carcinoma', 'C4721428')"
"('Cells', 'C0007634')","('Liver Cavernous Hemangioma', 'C0238246')"
"('Blink Reflexes', 'C0596003')","('Grade 3a Malignant Neoplasm', 'C1333848')"
"('Known', 'C0205309')","('Cerebral Primitive Neuroectodermal Tumor', 'C0751675')"
"('Specimen Source Codes - Respiratory', 'C1546767')","('Localized Askin Tumor', 'C1321778')"
"('Fever symptoms (finding)', 'C0424755')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Age of onset of symptoms:Time:Pt:^Patient:Qn', 'C3175530')","('Malignant neoplasm of thalamus', 'C0346902')"
"('Physical shape', 'C0700329')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Hematologic Neoplasms', 'C0376545')","('Unfavorable Non-Hodgkin Lymphoma', 'C2349020')"
"('Science of Etiology', 'C1524003')","('Thymic Clear Cell Carcinoma', 'C1333069')"
"('Symptoms aspect', 'C0683368')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('various other agents for local oral treatment in ATC', 'C3540762')","('Refractory Barrett Esophagus', 'C4763736')"
"('Rare Lesion', 'C1514725')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Disease', 'C0012634')","('Spermatocytic seminoma', 'C0334517')"
"('Greater Than', 'C0439093')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Biopsy', 'C0005558')","('Ovarian germ cell choriocarcinoma stage IV', 'C0854944')"
"('Malignant Cell Count', 'C2698007')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Symptoms aspect', 'C0683368')","('Angiosarcoma of liver', 'C0345907')"
"('Elevated', 'C3163633')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Certain (qualifier value)', 'C0205423')","('Methotrexate-Associated Hodgkin Lymphoma', 'C1334748')"
"('Occupations', 'C0028811')","('Testicular cancer metastatic', 'C1096715')"
"('Negative Surgical Margin', 'C1709157')","('Acute lymphadenitis', 'C0157705')"
"('Have Weight Loss', 'C4084774')","('Giant cell angiofibroma', 'C1367539')"
"('Retinoic Acid Response Element', 'C1514917')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Basis - conceptual entity', 'C1527178')","('Leiomyoma of Gallbladder', 'C1333745')"
"('Different', 'C1705242')","('Atypical Lobular Breast Hyperplasia', 'C1368920')"
"('Togo', 'C0040363')","('squamous cell carcinoma of the thyroid gland', 'C1710177')"
"('skin color', 'C0599910')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Nuclear hyperchromasia', 'C3670547')","('Botryoid-Type Embryonal Rhabdomyosarcoma', 'C1306573')"
"('Pediculus humanus capitis (eukaryote)', 'C0411280')","('Neonatal leukemia', 'C0235813')"
"('Manufactured form', 'C0376315')","('Advanced Uterine Corpus Carcinosarcoma', 'C4764211')"
"('Rate', 'C1521828')","('Malignant neoplasm of thalamus', 'C0346902')"
"('40%', 'C3842587')","('Undifferentiated Neuroblastoma', 'C1519787')"
"('NCI CTEP SDC Myelodysplastic Syndrome Sub-Category Terminology', 'C3538995')","('Grade 1 Clear Cell Renal Cell Carcinoma', 'C1333829')"
"('Mature', 'C0205286')","('Ampulla of Vater Tubular Adenoma', 'C1332252')"
"('Term (lexical)', 'C1705313')","('Stage 0 Penile Cancer AJCC v8', 'C4553780')"
"('Type - attribute', 'C0332307')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Branch of', 'C1253959')","('Metastatic Lung Small Cell Carcinoma', 'C4744563')"
"('Initially', 'C0205265')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('Process', 'C1522240')","('Colorectal High Grade B-Cell Lymphoma, Not Otherwise Specified', 'C3272825')"
"('include - SetOperator', 'C1552866')","('mucinous adenocarcinoma of gallbladder', 'C1333750')"
"('Qualitative form', 'C0348078')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('Latin America', 'C0023122')","('adenosquamous carcinoma of breast', 'C1510796')"
"('Malignant Neoplasms', 'C0006826')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Lumpectomy of breast', 'C0851238')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('low confidentiality', 'C1550472')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Biogenic Amines', 'C0005496')","('Heavy Chain Deposition Disease', 'C1333947')"
"('Osteogenesis', 'C0029433')","('Malignant melanoma of eyelid', 'C0339116')"
"('Structure of lumen of body system', 'C0524461')","('Adult Hepatocellular Carcinoma', 'C0279607')"
"('Primitive', 'C3645627')","('Posterior Pharyngeal Wall Squamous Cell Carcinoma', 'C1335451')"
"('physiological aspects', 'C0031843')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Entire great blood vessel (organ)', 'C1282845')","('Thymic Atypical Carcinoid Tumor', 'C1710396')"
"('Take', 'C1515187')","('Childhood Thyroid Gland Follicular Carcinoma', 'C4086176')"
"('Financial Account', 'C2981730')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Affecting', 'C0392760')","('Unfavorable Non-Hodgkin Lymphoma', 'C2349020')"
"('Involvement with', 'C1314939')","('Recurrent Nasal Cavity and Paranasal Sinus Carcinoma', 'C4721428')"
"('Irritant behavior', 'C0348027')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Case unit dose', 'C1533148')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Used by', 'C1273517')","('Malignant melanoma of eyelid', 'C0339116')"
"('Phenotype determination', 'C1285572')","('Intraepithelial Melanocytic Hyperplasia', 'C1334256')"
"('Persons', 'C0027361')","('Adenocarcinoma, intestinal type', 'C0334279')"
"('Xeroderma Pigmentosum', 'C0043346')","('embryonal rhabdomyosarcoma of prostate', 'C1335508')"
"('Swab specimen', 'C0183753')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('Biomaterial Treatment', 'C1705169')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Immunotherapy', 'C0021083')","('Liver Lymphangioma', 'C3273073')"
"('Degree Unit of Plane Angle', 'C2348088')","('Stage III Adult Immunoblastic Lymphoma', 'C0280164')"
"('blood forming organ', 'C1328851')","('Benign tumor of eyelid', 'C0339107')"
"('Site of', 'C2945843')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('Cerebrum', 'C0242202')","('Blepharal carcinoma', 'C0920196')"
"('Biopsy', 'C0005558')","('Localized Askin Tumor', 'C1321778')"
"('analysis aspect', 'C1524024')","('Spongiotic dermatitis', 'C0262984')"
"('potential', 'C3245505')","('papillary carcinoma of penis', 'C1335322')"
"('Classification', 'C0008902')","('Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4', 'C4329275')"
"('Cancer Genus', 'C0998265')","('Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4', 'C4329275')"
"('Cessation of life', 'C0011065')","('Diffuse malignant mesothelioma', 'C0392400')"
"('gene therapy', 'C0017296')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Visceral', 'C0442045')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('Therapeutic procedure', 'C0087111')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('Condition:Find:Pt:^Patient:Nom', 'C3864998')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('therapeutic aspects', 'C0039798')","('Malignant Neoplasm with Regional Lymph Node Involvement', 'C1332837')"
"('Entity Name Part Qualifier - birth', 'C1550722')","('Tonsillar Carcinoma', 'C0558355')"
"('Negative Surgical Margin', 'C1709157')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('Upper genitourinary tract structure', 'C0227602')","('Platinum-Resistant Lung Small Cell Carcinoma', 'C4764254')"
"('Lymphoid Cells', 'C0086574')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Complication', 'C0009566')","('Liver Lymphangioma', 'C3273073')"
"('Poor function', 'C4699164')","('Intestinal Neuroendocrine Carcinoma', 'C3272530')"
"('Speaking (activity)', 'C0234856')","('Childhood Lymphoma', 'C1332979')"
"('Disease', 'C0012634')","('Primary Cutaneous Plasmablastic Lymphoma', 'C1709659')"
"('Greeks', 'C0337806')","('Recurrent Nasal Cavity and Paranasal Sinus Carcinoma', 'C4721428')"
"('Experimental Result', 'C2825142')","('embryonal rhabdomyosarcoma of prostate', 'C1335508')"
"('Togo', 'C0040363')","('Refractory Barrett Esophagus', 'C4763736')"
"('Cell Count', 'C0007584')","('Adenocarcinoma, intestinal type', 'C0334279')"
"('Headache', 'C0018681')","('Stage 0 Lip Carcinoma', 'C0347082')"
"('various allergen extracts', 'C3540765')","('Benign tumor of eyelid', 'C0339107')"
"('Formations', 'C0439634')","('BRCA2 Syndrome', 'C1332443')"
"('Frequently', 'C0332183')","('Medulloblastoma, WNT-Activated', 'C4331965')"
"('High Grade Astrocytic Tumor', 'C3640999')","('Metastatic Lung Small Cell Carcinoma', 'C4744563')"
"('Study', 'C2603343')","('Stage II Carcinoma of Penis', 'C0854966')"
"('Hemopoietic stem cell transplant', 'C0472699')","('Liver Lymphangioma', 'C3273073')"
"('How Much Distress Cough', 'C4084726')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('Different', 'C1705242')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('Laboratory', 'C0022877')","('Malignant melanoma of eyelid', 'C0339116')"
"('Human Papillomavirus', 'C0021344')","('Lymphomatous Adult T-Cell Leukemia/Lymphoma', 'C1334466')"
"('Carcinoma, Transitional Cell', 'C0007138')","('Thyroid Gland Carcinoma Showing Thymus-Like Differentiation', 'C1704613')"
"('various allergen extracts', 'C3540765')","('Colorectal cancer, hereditary nonpolyposis, type 1', 'C2936783')"
"('Separate', 'C0443299')","('Grade 3a Malignant Neoplasm', 'C1333848')"
"('Gravidity', 'C0600457')","('Grade 3a Malignant Neoplasm', 'C1333848')"
"('Pelvis+', 'C4266535')","('Extra-Adrenal Paraganglioma', 'C0030422')"
"('International Aspects', 'C0376327')","('Platinum-Resistant Lung Small Cell Carcinoma', 'C4764254')"
"('CYREN gene', 'C1824234')","('Advanced Lung Carcinoma', 'C4727088')"
"('Child', 'C0008059')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Bayer Corneal Epitheliopathy Grade 3', 'C4283821')","('Metastatic Ductal Breast Carcinoma', 'C2698203')"
"('Frequently', 'C0332183')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Ability', 'C0085732')","('Childhood Central Nervous System Immature Teratoma', 'C1332954')"
"('Diagnostic Imaging', 'C0011923')","('Recurrent Nasal Cavity and Paranasal Sinus Carcinoma', 'C4721428')"
"('Smear - instruction imperative', 'C1947932')","('Pilocytic astrocytoma of cerebellum', 'C0349620')"
"('Slight (qualifier value)', 'C2937276')","('Adult Fibrolamellar Carcinoma', 'C3900102')"
"('Sometimes', 'C1998882')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('risk factors - observation list', 'C1553898')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Replaced by', 'C1299987')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('Malignant neoplasm of ovary', 'C1140680')","('Intraepithelial Melanocytic Hyperplasia', 'C1334256')"
"('Requirement', 'C1514873')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('Human body', 'C0242821')","('Thyroid Gland Carcinoma Showing Thymus-Like Differentiation', 'C1704613')"
"('Neoplasms', 'C0027651')","('Granular Cell Leiomyosarcoma', 'C1333871')"
"('Cancer/Testis Antigen', 'C3813556')","('Maxillary Sinus Adenocarcinoma', 'C1334642')"
"('Different', 'C1705242')","('Refractory Barrett Esophagus', 'C4763736')"
"('Site of', 'C2945843')","('Uterine Cancer', 'C0153567')"
"('Head and Neck Carcinoma', 'C3887461')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('hormone problem', 'C0850832')","('Stage IV Childhood Non-Hodgkin Lymphoma', 'C2986680')"
"('Viola <angiosperm>', 'C0330463')","('Liver Cavernous Hemangioma', 'C0238246')"
"('Characterization', 'C1880022')","('Intraepithelial Melanocytic Hyperplasia', 'C1334256')"
"('Benign Neoplasm', 'C0086692')","('Splenic Manifestation of B-Cell Prolymphocytic Leukemia', 'C1336061')"
"('Linear', 'C0205132')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('Adenocarcinoma', 'C0001418')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Characterization', 'C1880022')","('Angiosarcoma of liver', 'C0345907')"
"('Membrane Device', 'C1706182')","('Stage 0 Penile Cancer AJCC v8', 'C4553780')"
"('Fishes', 'C0016163')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Discover', 'C1880355')","('Metastatic Malignant Neoplasm in the Sellar Region', 'C4744378')"
"('Definitely Related to Intervention', 'C1704787')","('Atypical Mesothelial Hyperplasia', 'C1711322')"
"('Tests (qualifier value)', 'C0392366')","('Unresectable Rhabdomyosarcoma', 'C4726599')"
"('Combined', 'C0205195')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Physical findings', 'C0311392')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('Papanicolaou Test', 'C3541459')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Tissue Specimen Code', 'C1547928')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('Neoplasms', 'C0027651')","('Germinoma', 'C0206660')"
"('Medical Device Emits Smoke', 'C1881674')","('Methotrexate-Associated Hodgkin Lymphoma', 'C1334748')"
"('Immune System Finding', 'C1291764')","('Advanced Uterine Corpus Carcinosarcoma', 'C4764211')"
"('Biological Response Modifier Therapy', 'C0005527')","('Extra-Adrenal Paraganglioma', 'C0030422')"
"('shared attribute', 'C1522138')","('Malignant melanoma of eyelid', 'C0339116')"
"('Genetic Heterogeneity', 'C0242960')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('Fourth', 'C0205438')","('Stage III Adult Immunoblastic Lymphoma', 'C0280164')"
"('Human Cells, Tissues, and Cellular and Tissue-Based Products Processing', 'C4521541')","('Unfavorable Non-Hodgkin Lymphoma', 'C2349020')"
"('Europe, Eastern', 'C0015177')","('GIANT PIGMENTED HAIRY NEVUS', 'C1842036')"
"('World Health Organization', 'C0043237')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Species', 'C1705920')","('Stage II Hepatocellular Carcinoma AJCC v8', 'C4528671')"
"('Adenocarcinoma', 'C0001418')","('Malignant Testicular Sertoli Cell Tumor', 'C1334626')"
"('Ulceration', 'C3887532')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('unknown vaccine or immune globulin', 'C3541433')","('High Grade Glandular Intraepithelial Neoplasia', 'C1334014')"
"('Reported Term', 'C2826302')","('Atypical Mesothelial Hyperplasia', 'C1711322')"
"('combination of objects', 'C1947911')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Visible', 'C0205379')","('Secondary malignant neoplasm of lymph node', 'C0686619')"
"('transmission process', 'C1521797')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Including (qualifier)', 'C0332257')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Increase', 'C0442805')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Name', 'C0027365')","('Female Breast Carcinoma', 'C0007104')"
"('VIPR1 wt Allele', 'C1710602')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Structure of parenchyma of lung', 'C0819757')","('Lipoma of small intestine', 'C1336001')"
"('Heterogeneity', 'C0019409')","('Stage IVA Lip and Oral Cavity Cancer AJCC v8', 'C4331337')"
"('Bone Marrow Examination', 'C0005957')","('Maxillary Sinus Adenocarcinoma', 'C1334642')"
"('various allergen extracts', 'C3540765')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('Continuous', 'C0549178')","('BRCA2 Syndrome', 'C1332443')"
"('Local disease', 'C0277565')","('adenoid cystic carcinoma of lung', 'C1334439')"
"('Immune', 'C0439662')","('Stage II Hepatocellular Carcinoma AJCC v8', 'C4528671')"
"('various other nasal preparations in ATC', 'C3540761')","('Diffuse malignant mesothelioma', 'C0392400')"
"('bacteria aspects', 'C1510439')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Rating (action)', 'C0871208')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Usual', 'C3538928')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('United States', 'C0041703')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('Tissue of urinary bladder', 'C1282131')","('Chronic Myelomonocytic Leukemia-2', 'C1333044')"
"('Include (action)', 'C2700399')","('Recurrent Uveal Melanoma', 'C0278870')"
"('High', 'C0205250')","('Localized Ewing Sarcoma', 'C0863029')"
"('Cancer Genus', 'C0998265')","('Liver Lymphangioma', 'C3273073')"
"('Result', 'C1274040')","('Refractory Barrett Esophagus', 'C4763736')"
"('Sex Cord-Stromal Tumor', 'C0206724')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('peripheral blood', 'C0229664')","('Uterine Cancer', 'C0153567')"
"('Room of building - Study', 'C0557651')","('Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8', 'C4526968')"
"('Pilomyxoid astrocytoma', 'C1519086')","('Stage IV Penile Cancer AJCC v7', 'C2987499')"
"('Result', 'C1274040')","('Childhood Central Nervous System Immature Teratoma', 'C1332954')"
"('Usually Need Help from Another Person for Reach', 'C4321250')","('Malignant Neoplasm of Lung - Multiple Primary Sites', 'C4528576')"
"('Cancer Genus', 'C0998265')","('Chronic Myelomonocytic Leukemia-2', 'C1333044')"
"('Ovary', 'C0029939')","('Cerebral Primitive Neuroectodermal Tumor', 'C0751675')"
"('First (number)', 'C0205435')","('Unresectable Rhabdomyosarcoma', 'C4726599')"
