,CUI1,CUI2,label
145,Biogenic Amines,Heavy Chain Deposition Disease,0
146,Osteogenesis,Malignant melanoma of eyelid,0
147,Structure of lumen of body system,Adult Hepatocellular Carcinoma,0
148,Primitive,Posterior Pharyngeal Wall Squamous Cell Carcinoma,0
149,physiological aspects,Diffuse malignant mesothelioma,0
150,Entire great blood vessel (organ),Thymic Atypical Carcinoid Tumor,0
151,Take,Childhood Thyroid Gland Follicular Carcinoma,0
152,Financial Account,Diffuse malignant mesothelioma,0
153,Affecting,Unfavorable Non-Hodgkin Lymphoma,0
154,Involvement with,Recurrent Nasal Cavity and Paranasal Sinus Carcinoma,0
155,Irritant behavior,Acantholytic squamous cell carcinoma,0
156,Case unit dose,FIGO Stage II Ovarian Cancer,0
157,Used by,Malignant melanoma of eyelid,0
158,Phenotype determination,Intraepithelial Melanocytic Hyperplasia,0
159,Persons,Adenocarcinoma,0
160,Xeroderma Pigmentosum,embryonal rhabdomyosarcoma of prostate,0
161,Swab specimen,Digestive System Hodgkin Lymphoma,0
162,Biomaterial Treatment,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
163,Immunotherapy,Liver Lymphangioma,0
164,Degree Unit of Plane Angle,Stage III Adult Immunoblastic Lymphoma,0
165,blood forming organ,Benign tumor of eyelid,0
166,Site of,Anterior Urethral Malignant Neoplasm,0
167,Cerebrum,Blepharal carcinoma,0
168,Biopsy,Localized Askin Tumor,0
169,analysis aspect,Spongiotic dermatitis,0
170,potential,papillary carcinoma of penis,0
171,Classification,Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4,0
172,Cancer Genus,Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4,0
173,Cessation of life,Diffuse malignant mesothelioma,0
174,gene therapy,FIGO Stage II Ovarian Cancer,0
175,Visceral,Digestive System Hodgkin Lymphoma,0
176,Therapeutic procedure,Bladder squamous cell carcinoma stage I,0
177,Condition:Find:Pt:^Patient:Nom,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
178,therapeutic aspects,Malignant Neoplasm with Regional Lymph Node Involvement,0
179,Entity Name Part Qualifier - birth,Tonsillar Carcinoma,0
180,Negative Surgical Margin,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
181,Upper genitourinary tract structure,Platinum-Resistant Lung Small Cell Carcinoma,0
182,Lymphoid Cells,Recurrent Testicular Lymphoma,0
183,Complication,Liver Lymphangioma,0
184,Poor function,Intestinal Neuroendocrine Carcinoma,0
185,Speaking (activity),Childhood Lymphoma,0
186,Disease,Primary Cutaneous Plasmablastic Lymphoma,0
187,Greeks,Recurrent Nasal Cavity and Paranasal Sinus Carcinoma,0
188,Experimental Result,embryonal rhabdomyosarcoma of prostate,0
189,Togo,Refractory Barrett Esophagus,0
190,Cell Count,Adenocarcinoma,0
191,Headache,Stage 0 Lip Carcinoma,0
192,various allergen extracts,Benign tumor of eyelid,0
193,Formations,BRCA2 Syndrome,0
194,Frequently,Medulloblastoma,0
195,High Grade Astrocytic Tumor,Metastatic Lung Small Cell Carcinoma,0
196,Study,Stage II Carcinoma of Penis,0
197,Hemopoietic stem cell transplant,Liver Lymphangioma,0
198,How Much Distress Cough,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
199,Different,Pancreatic Intraepithelial Neoplasia-3,0
200,Laboratory,Malignant melanoma of eyelid,0
201,Human Papillomavirus,Lymphomatous Adult T-Cell Leukemia/Lymphoma,0
202,Carcinoma,Thyroid Gland Carcinoma Showing Thymus-Like Differentiation,0
203,various allergen extracts,Colorectal cancer,0
204,Separate,Grade 3a Malignant Neoplasm,0
205,Gravidity,Grade 3a Malignant Neoplasm,0
206,Pelvis+,Extra-Adrenal Paraganglioma,0
207,International Aspects,Platinum-Resistant Lung Small Cell Carcinoma,0
208,CYREN gene,Advanced Lung Carcinoma,0
209,Child,Recurrent Testicular Lymphoma,0
210,Bayer Corneal Epitheliopathy Grade 3,Metastatic Ductal Breast Carcinoma,0
211,Frequently,Acute Undifferentiated Leukemia,0
212,Ability,Childhood Central Nervous System Immature Teratoma,0
213,Diagnostic Imaging,Recurrent Nasal Cavity and Paranasal Sinus Carcinoma,0
214,Smear - instruction imperative,Pilocytic astrocytoma of cerebellum,0
215,Slight (qualifier value),Adult Fibrolamellar Carcinoma,0
216,Sometimes,Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
217,risk factors - observation list,Stage IB Pancreatic Cancer AJCC v8,0
218,Replaced by,Human Papillomavirus-Related Carcinoma,0
219,Malignant neoplasm of ovary,Intraepithelial Melanocytic Hyperplasia,0
220,Requirement,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
221,Human body,Thyroid Gland Carcinoma Showing Thymus-Like Differentiation,0
222,Neoplasms,Granular Cell Leiomyosarcoma,0
223,Cancer/Testis Antigen,Maxillary Sinus Adenocarcinoma,0
224,Different,Refractory Barrett Esophagus,0
225,Site of,Uterine Cancer,0
226,Head and Neck Carcinoma,FIGO Stage II Ovarian Cancer,0
227,hormone problem,Stage IV Childhood Non-Hodgkin Lymphoma,0
228,Viola <angiosperm>,Liver Cavernous Hemangioma,0
229,Characterization,Intraepithelial Melanocytic Hyperplasia,0
230,Benign Neoplasm,Splenic Manifestation of B-Cell Prolymphocytic Leukemia,0
231,Linear,Bladder squamous cell carcinoma stage I,0
232,Adenocarcinoma,FIGO Stage II Ovarian Cancer,0
233,Characterization,Angiosarcoma of liver,0
234,Membrane Device,Stage 0 Penile Cancer AJCC v8,0
235,Fishes,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
236,Discover,Metastatic Malignant Neoplasm in the Sellar Region,0
237,Definitely Related to Intervention,Atypical Mesothelial Hyperplasia,0
238,Tests (qualifier value),Unresectable Rhabdomyosarcoma,0
239,Combined,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
240,Physical findings,Pancreatic Intraepithelial Neoplasia-3,0
241,Papanicolaou Test,Stage IB Pancreatic Cancer AJCC v8,0
242,Tissue Specimen Code,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
243,Neoplasms,Germinoma,0
244,Medical Device Emits Smoke,Methotrexate-Associated Hodgkin Lymphoma,0
245,Immune System Finding,Advanced Uterine Corpus Carcinosarcoma,0
246,Biological Response Modifier Therapy,Extra-Adrenal Paraganglioma,0
247,shared attribute,Malignant melanoma of eyelid,0
248,Genetic Heterogeneity,Anterior Urethral Malignant Neoplasm,0
249,Fourth,Stage III Adult Immunoblastic Lymphoma,0
250,Human Cells,Unfavorable Non-Hodgkin Lymphoma,0
251,Europe,GIANT PIGMENTED HAIRY NEVUS,0
252,World Health Organization,Endometrial Small Cell Carcinoma,0
253,Species,Stage II Hepatocellular Carcinoma AJCC v8,0
254,Adenocarcinoma,Malignant Testicular Sertoli Cell Tumor,0
255,Ulceration,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
256,unknown vaccine or immune globulin,High Grade Glandular Intraepithelial Neoplasia,0
257,Reported Term,Atypical Mesothelial Hyperplasia,0
258,combination of objects,Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
259,Visible,Secondary malignant neoplasm of lymph node,0
260,transmission process,Undifferentiated Endocervical Sarcoma,0
261,Including (qualifier),Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
262,Increase,Recurrent Testicular Lymphoma,0
263,Name,Female Breast Carcinoma,0
264,VIPR1 wt Allele,FIGO Stage II Ovarian Cancer,0
265,Structure of parenchyma of lung,Lipoma of small intestine,0
266,Heterogeneity,Stage IVA Lip and Oral Cavity Cancer AJCC v8,0
267,Bone Marrow Examination,Maxillary Sinus Adenocarcinoma,0
268,various allergen extracts,Bladder squamous cell carcinoma stage I,0
269,Continuous,BRCA2 Syndrome,0
270,Local disease,adenoid cystic carcinoma of lung,0
271,Immune,Stage II Hepatocellular Carcinoma AJCC v8,0
272,various other nasal preparations in ATC,Diffuse malignant mesothelioma,0
273,bacteria aspects,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
274,Rating (action),Acute Undifferentiated Leukemia,0
275,Usual,Digestive System Hodgkin Lymphoma,0
276,United States,Pancreatic Intraepithelial Neoplasia-3,0
277,Tissue of urinary bladder,Chronic Myelomonocytic Leukemia-2,0
278,Include (action),Recurrent Uveal Melanoma,0
279,High,Localized Ewing Sarcoma,0
280,Cancer Genus,Liver Lymphangioma,0
281,Result,Refractory Barrett Esophagus,0
282,Sex Cord-Stromal Tumor,Anterior Urethral Malignant Neoplasm,0
283,peripheral blood,Uterine Cancer,0
284,Room of building - Study,Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
285,Pilomyxoid astrocytoma,Stage IV Penile Cancer AJCC v7,0
286,Result,Childhood Central Nervous System Immature Teratoma,0
287,Usually Need Help from Another Person for Reach,Malignant Neoplasm of Lung - Multiple Primary Sites,0
288,Cancer Genus,Chronic Myelomonocytic Leukemia-2,0
289,Ovary,Cerebral Primitive Neuroectodermal Tumor,0
290,First (number),Unresectable Rhabdomyosarcoma,0
291,Smear - instruction imperative,adenosquamous carcinoma of breast,0
292,Basis - conceptual entity,Digestive System Hodgkin Lymphoma,0
293,Type - attribute,Clonal Hematopoiesis of Indeterminate Potential,0
294,N+ (tumor staging),Choroid Necrotic Melanoma,0
295,Nausea,Childhood Thyroid Gland Follicular Carcinoma,0
296,Various patch test substance,Recurrent Uveal Melanoma,0
297,Nasal sinus,FIGO Stage II Ovarian Cancer,0
298,Enlarged,Leptomeningeal sarcoma,0
299,week,Stage I Adult Non-Hodgkin Lymphoma,0
300,radiotherapeutic,Advanced Uterine Corpus Carcinosarcoma,0
301,Nucleotide Excision Repair Pathway,Anterior Urethral Malignant Neoplasm,0
302,Diagnosis Study,Benign tumor of eyelid,0
303,Primary malignant neoplasm,gliosarcoma,0
304,Effective,Diffuse malignant mesothelioma,0
305,Salivary Glands,Low Grade Squamous Intraepithelial Neoplasia,0
306,Abdominal hysterectomy,Human Papillomavirus-Related Carcinoma,0
307,Tryptophanase,squamous cell carcinoma of the thyroid gland,0
308,Approximate,embryonal rhabdomyosarcoma of prostate,0
309,Genome - anatomical entity,Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
310,Secondary to,Noninfiltrating Intraductal Carcinoma,0
311,Early Therapy,Undifferentiated Endocervical Sarcoma,0
312,Developing Countries,Familial Adenomatous Polyposis Associated Medulloblastoma,0
313,shared attribute,Familial Adenomatous Polyposis Associated Medulloblastoma,0
314,Oral cavity,Stage IIIA Colorectal Neuroendocrine Tumor AJCC v8,0
315,Process,papillary carcinoma of penis,0
316,Calcium Channel Antagonists [MoA],Stage IB Pancreatic Cancer AJCC v8,0
317,Basis - conceptual entity,Intraepithelial Melanocytic Hyperplasia,0
318,Cell Lineage,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
319,ITGBL1 gene,Adult Alveolar Soft Part Sarcoma,0
320,Genitalia,Intraepithelial Melanocytic Hyperplasia,0
321,Parameterized Data Type - Set,Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4,0
322,Fresh Water,Recurrent Testicular Lymphoma,0
323,Respiration,Stage 0 Lip Carcinoma,0
324,International Classification of Disease for Oncology,Testicular cancer metastatic,0
325,Yolk Sac Tumor,Neoplasms,0
326,cure of disease,Giant cell angiofibroma,0
327,Oral region,Malignant Neoplasm with Regional Lymph Node Involvement,0
328,Tryptophanase,Cerebral hemangioma,0
329,other medicated shampoos in ATC,Serous cystadenocarcinoma ovary,0
330,Cervical lymph node group,Non-Metastatic Gestational Trophoblastic Tumor,0
331,Form of uterus,Extracranial Neuroblastoma,0
332,Biological Response Modifiers,Lipoma of small intestine,0
333,Following,Adult Lymphocyte-Depleted Classical Hodgkin Lymphoma,0
334,Vaginal intraepithelial neoplasia,Acantholytic squamous cell carcinoma,0
335,Ulceration,Posterior Pharyngeal Wall Squamous Cell Carcinoma,0
336,Surrounding (qualifier value),Unresectable Rhabdomyosarcoma,0
337,More,Endometrial Small Cell Carcinoma,0
338,Science of Etiology,Angiosarcoma of liver,0
339,Neuroectodermal Tumor,Localized Ewing Sarcoma,0
340,Malignant neoplasm of lung,Childhood Fibrillary Astrocytoma,0
341,Patients,Extracranial Neuroblastoma,0
342,Often - answer to question,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
343,Abnormal Cell Count,Cancer of Urinary Tract,0
344,Sunscreening Agents,Stage IV Childhood Non-Hodgkin Lymphoma,0
345,Cosmetics,Advanced Lung Carcinoma,0
346,Intergroup Rhabdomyosarcoma Clinical Group Extent of Disease,Splenic Manifestation of B-Cell Prolymphocytic Leukemia,0
347,Call (Instruction),Malignant neoplasm of choroid,0
348,Patient need for (contextual qualifier),Digestive System Hodgkin Lymphoma,0
349,Associated topography,Vaginal Non-Keratinizing Squamous Cell Carcinoma,0
350,Metastatic Disease Clinical Trial Setting,Rhabdomyosarcoma with ganglionic differentiation,0
351,Air,Acute Undifferentiated Leukemia,0
352,Oils,Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
353,Drop measurement,Cartilaginous exostosis,0
354,Affect (mental function),Botryoid-Type Embryonal Rhabdomyosarcoma,0
355,Academic degree,Collecting Duct Carcinoma of the Kidney,0
356,Medical Imaging,Leiomyoma of Gallbladder,0
357,Continuous,Ichthyosis,0
358,Occur (action),Anterior Urethral Malignant Neoplasm,0
359,Collections (publication),Undifferentiated Endocervical Sarcoma,0
360,To,embryonal rhabdomyosarcoma of prostate,0
361,include - SetOperator,Splenic Manifestation of B-Cell Prolymphocytic Leukemia,0
362,ovarian,Splenic Manifestation of B-Cell Prolymphocytic Leukemia,0
363,Public Domain,Acute Myeloid Leukemia with t(6;11)(q27;q23); KMT2A-MLLT4,0
364,To,Benign tumor of eyelid,0
365,Feelings,Botryoid-Type Embryonal Rhabdomyosarcoma,0
366,Main,Recurrent Uveal Melanoma,0
367,Geographic Locations,Prostate Lymphoma,0
368,Third,Adult Brain Stem Mixed Glioma,0
369,Old,Recurrent Nasal Cavity and Paranasal Sinus Carcinoma,0
370,Part of,Clonal Hematopoiesis of Indeterminate Potential,0
371,Acute leukemia,Acantholytic squamous cell carcinoma,0
372,Pharmaceutical Preparations,Cancer of Urinary Tract,0
373,Magnetic Resonance Imaging,Uterine Cancer,0
374,Neoplasms,Non-Metastatic Gestational Trophoblastic Tumor,0
375,Microscopic description,Clonal Hematopoiesis of Indeterminate Potential,0
376,Tryptophanase,malignant lymphoma of pancreatic lymph nodes,0
377,Right,Larynx carcinoma recurrent,0
378,Malignancy,Digestive System Hodgkin Lymphoma,0
379,Rare,FIGO Stage II Ovarian Cancer,0
380,Concept History,Stage I Adult Non-Hodgkin Lymphoma,0
381,Rare,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
382,Left sided,Undifferentiated Endocervical Sarcoma,0
383,Oral (intended site),Benign Carotid Body Paraganglioma,0
384,Supratentorial,BRCA2 Syndrome,0
385,Smaller,Stage II Hepatocellular Carcinoma AJCC v8,0
386,Human papilloma virus infection,Cartilaginous exostosis,0
387,Death NOS,Ovarian Carcinoid Tumor,0
388,Induce (action),sarcoma of spinal cord,0
389,Tumor cells,Tonsillar Carcinoma,0
390,Malignant neoplasm of breast,Breast Ductal Adenoma,0
391,Acquired Name,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
392,Primary operation,Familial Hemophagocytic Lymphocytosis,0
393,Approach,Undifferentiated Neuroblastoma,0
394,Skin,Cancer of Urinary Tract,0
395,Patient Caretaker,Stage I Gastric Neuroendocrine Tumor AJCC v8,0
396,Symptoms,Benign tumor of eyelid,0
397,Testis,Posterior Pharyngeal Wall Squamous Cell Carcinoma,0
398,Female Phenotype,Acute Undifferentiated Leukemia,0
399,Back Pain,Mucinous adenocarcinoma gastric,0
400,potential,Diffuse malignant mesothelioma,0
401,Persons,Small cell neuroendocrine carcinoma of bladder,0
402,Two,Carcinoma ex pleomorphic adenoma of parotid gland,0
403,Table Cell Vertical Align - middle,Rhabdomyosarcoma with ganglionic differentiation,0
404,Adrenal Cancer,Ovarian germ cell choriocarcinoma stage IV,0
405,Diagnosis Study,Recurrent Nasal Cavity and Paranasal Sinus Carcinoma,0
406,Mental association,Uterine Cancer,0
407,Woman,Localized Askin Tumor,0
408,NCI CTEP SDC Uterine Cancer Sub-Category Terminology,Spongiotic dermatitis,0
409,80%,Breast Ductal Adenoma,0
410,Biomaterial Treatment,Thyroid Gland Carcinoma Showing Thymus-Like Differentiation,0
411,Greater,Adult Hepatocellular Carcinoma,0
412,Manufactured sign,Breast Ductal Adenoma,0
413,Measurement,Human Papillomavirus-Related Carcinoma,0
414,Togo,Xeroderma pigmentosum,0
415,Surgical Replantation,Medulloblastoma,0
416,Polypeptide Hormones,Mucinous adenocarcinoma gastric,0
417,Time,Botryoid-Type Embryonal Rhabdomyosarcoma,0
418,Skin,Liver Lymphangioma,0
419,Approximate,FIGO Stage II Ovarian Cancer,0
420,Neurofibromatosis 1,Testicular cancer metastatic,0
421,Ability,Metastatic Kidney Carcinoma,0
422,geographic population,adenosquamous carcinoma of breast,0
423,Surrounding (qualifier value),Heavy Chain Deposition Disease,0
424,Body tissue,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
425,Diagnosis,Low Grade Squamous Intraepithelial Neoplasia,0
426,Linear,Mucinous neoplasm,0
427,Biopsy,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
428,1+ Score,Heavy Chain Deposition Disease,0
429,International Classification of Diseases,Cancer of Urinary Tract,0
430,PSA Level Greater than Fifty,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
431,Excision,Recurrent Testicular Lymphoma,0
432,Low Mitosis-Karyorrhexis Index,Mucinous adenocarcinoma gastric,0
433,Localized,Acantholytic squamous cell carcinoma,0
434,described,Carcinoma of urinary bladder,0
435,Lymphoid Tissue,Cerebral Primitive Neuroectodermal Tumor,0
436,Pancreas,High Grade Glandular Intraepithelial Neoplasia,0
437,Gender Status - Intact,Stage IB Pancreatic Cancer AJCC v8,0
438,LYMPHOID Cancers,Serous cystadenocarcinoma ovary,0
439,Treating,Intracortical osteosarcoma,0
440,Cerebrum,Posterior Pharyngeal Wall Squamous Cell Carcinoma,0
441,Form:Finding:Point in time:{Setting}:Document:{Role},Recurrent Uveal Melanoma,0
442,risk factors - observation list,Leptomeningeal sarcoma,0
443,Carcinoma,mucinous adenocarcinoma of gallbladder,0
444,Often - answer to question,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
