,CUI1,CUI2,label
55,Angioinvasion,Malignant neoplasm of stomach recurrent,0
56,Unfavorable Clinical Outcome,Clinical Stage IV Esophageal Squamous Cell Carcinoma AJCC v8,0
57,Granulocytes Increased in Bone Marrow,Breast Carcinoma Metastatic in the Bone,0
58,Geographic Necrosis,Pseudolymphoma,0
59,Hyaline Cartilage Differentiation,Infiltrating Ureter Urothelial Carcinoma with Glandular Differentiation,0
60,Sarcomatous Component Present,Endometrial Endometrioid Adenocarcinoma with an Undifferentiated Carcinomatous Component,0
61,Monomorphic Cellular Infiltrate,Cellular neurothekeoma,0
62,Proliferation of Basaloid Cells Parallel to the Long Axis of the Epidermis Present,Recurrent tumors of the Ewing's family,0
63,Jaw Keratocyst,Occult Lung Cancer AJCC v8,0
64,Myeloblasts Under 10 Percent of Bone Marrow Nucleated Cells,Childhood Undifferentiated High Grade Pleomorphic Sarcoma of Bone,0
65,Foveolar-Type Epithelium Present,Germinative Follicular Epithelium Neoplasm,0
66,Blasts Expressing T-Lymphoid and Myeloid Markers Present,Myeloid Neoplasms with Germline Predisposition and Preexisting Platelet Disorders,0
67,Cells of Monocytic Lineage 80 Percent or More of Bone Marrow Leukemic Cells,Bone Marrow Transplantation Nephropathy,0
68,Human Chorionic Gonadotropin Positive Neoplastic Cells Present,Undifferentiated Carcinoma with Osteoclast-Like Giant Cells,0
69,Cementum Formation,Pseudolymphoma,0
70,Squamous metaplasia,Advanced Nasopharyngeal Squamous Cell Carcinoma,0
71,Cervical lymphadenopathy,Cervical Warty Carcinoma,0
72,Polymorphic Cellular Infiltrate,Cellular Blue Nevus,0
73,Human Papillomavirus Negative,Metastatic Human Papillomavirus-Related Malignant Neoplasm,0
74,Abundance of Small Lymphocytes,Small cell carcinoma of ovary,0
75,Herringbone Growth Pattern,"Testicular Yolk Sac Tumor, Microcystic Pattern",0
76,Bilateral Disease,Multi-centric Castleman's Disease,0
77,Glial Differentiation,Childhood Acute Myeloid Leukemia with Minimal Differentiation,0
78,Ventricular Involvement Only,Ventricular and Brain Stem Ependymal Tumor,0
79,Squamous Metaplasia of Malignant Cells Present,Malignant neoplasm of stomach recurrent,0
80,Basal Cells with Pale Cytoplasm Present,Basal cell nevus with comedones,0
81,Chronic lymphocytic inflammation,Stage B Chronic Lymphocytic Leukemia,0
82,Glomeruloid Vessels Present,Occult Lung Cancer AJCC v8,0
83,Sarcomatous or Carcinomatous Component Present,Endometrial Endometrioid Adenocarcinoma with an Undifferentiated Carcinomatous Component,0
84,Fibrosarcomatous Component Present,Endometrial Endometrioid Adenocarcinoma with a Poorly Differentiated Carcinomatous Component,0
85,Cold Nodule,Placental Site Nodule or Plaque,0
86,Toxic effect,Adenocarcinoma with squamous metaplasia,0
87,Metaplasia,Intestinal Metaplasia of Bladder Urothelium,0
88,Erythema,Occult Lung Cancer AJCC v8,0
89,Mediastinal mass,Mediastinal Neuroblastoma,0
90,Submucosal Tumor Growth,Malignant Gastric Granular Cell Tumor,0
91,Coughing,Malignant neoplasm of stomach recurrent,0
92,Micronodular Pattern,"Testicular Yolk Sac Tumor, Endodermal Sinus Pattern",0
93,Aggressive Clinical Course,Non-Hodgkin Lymphoma with Variable Clinical Course,0
94,Resistance to Second-Generation Androgen Receptor Axis-Targeted Agents,Anemia due to membrane defect,0
95,Well Differentiated Lesion,Well Differentiated Malignant Neoplasm,0
96,Pseudopapillary Pattern,"Testicular Yolk Sac Tumor, Polyvesicular Vitelline Pattern",0
97,Favorable Clinical Outcome,Favorable Hodgkin Lymphoma,0
98,Pseudostratified Tumor Cells Present,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor,0
99,Wide Vessel-Like Spaces Formation,Adenocarcinoma with squamous metaplasia,0
100,Defective Mu Heavy Chain Present,Chronic Lymphocytic Leukemia with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene,0
101,Sebaceous Differentiation,Infiltrating Ureter Urothelial Carcinoma with Glandular Differentiation,0
102,Fibrotic Stroma with Finger-Like Projections Present,Adenocarcinoma with squamous metaplasia,0
103,Endobronchial Mass,Endobronchial Hamartoma,0
104,Multihormonal Immunoreactivity Present in Two or More Cell Types,Malignant Gastric Granular Cell Tumor,0
105,bone marrow fibrosis,Secondary malignant neoplasm of bone marrow,0
106,Nuclear pleomorphism,Occult Lung Cancer AJCC v8,0
107,Therapy-Related Toxicity,Adenocarcinoma with squamous metaplasia,0
108,Myeloblasts Under 10 Percent of Bone Marrow Nucleated Cells,Malignant Giant Cell Tumor of Bone,0
109,Cellular Changes Resembling Foveolar Epithelium Cells,Cellular neurothekeoma,0
110,Mammary Gland Type Features Present,Thyroid Gland Noninvasive Follicular Neoplasm with Papillary-Like Nuclear Features,0
111,Wide Vessel-Like Spaces Formation,Adenocarcinoma with squamous metaplasia,0
112,Pushing Tumor Margin,Childhood Carcinoid Tumor,0
113,Increased red cell mass,Squamous cell carcinoma of skin,0
114,Blasts Expressing B-Lymphoid and T-Lymphoid Markers Present,Stage IIIA Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
115,Chronic Clinical Course,Non-Hodgkin Lymphoma with Variable Clinical Course,0
116,Human Papillomavirus Positive,Recurrent Human Papillomavirus-Related Malignant Neoplasm,0
117,Cytokeratin Positive Neoplastic Cells Present,Neoplastic Polyp,0
118,Splenomegaly,Adenocarcinoma with squamous metaplasia,0
119,Non-Invasive Lesion,Reactive Cutaneous Fibrous Lesion,0
120,Hyperchromatism,Adenocarcinoma with squamous metaplasia,0
121,Low Cellularity Present,Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with Low Grade Dysplasia,0
122,Malignant Cellular Infiltrate,Cellular neurothekeoma,0
123,Moderate cytologic atypia,Adenocarcinoma with squamous metaplasia,0
124,Efferent Arteriolar Hyalinosis,Malignant neoplasm of stomach recurrent,0
125,Fibrosarcomatous Component Present,Endometrial Endometrioid Adenocarcinoma with an Undifferentiated Carcinomatous Component,0
126,Eosinophil count raised (finding),Occult Lung Cancer AJCC v8,0
127,Dysplastic Dentin Formation,Low Grade Liver Dysplastic Nodule,0
128,Fever,Adenocarcinoma with squamous metaplasia,0
129,Tubal Diverticulosis,Serous Tubal Intraepithelial Carcinoma,0
130,Mesenchymal Component Present,Benign Uterine Corpus Mixed Epithelial and Mesenchymal Neoplasm,0
131,Multilineage Dysplasia Present,Recurrent Acute Myeloid Leukemia with Multilineage Dysplasia,0
132,Precocious Puberty,Malignant neoplasm of stomach recurrent,0
133,Hyalinized Stroma Formation,Thyroid Gland Medullary Carcinoma with Amyloid Stroma,0
134,Thin Bands of Collagen Present,Recurrent tumors of the Ewing's family,0
135,Intravascular Spread,Central Nervous System Intravascular Large B-Cell Lymphoma,0
136,Exanthema,Pseudolymphoma,0
137,Borderline Resectable Mass,Borderline Ovarian Endometrioid Cystadenofibroma,0
138,Mature Schwannian Stroma Present,Mature T- and NK-Cell Lymphoma by Ann Arbor Stage,0
139,Bone Marrow Dysplasia Present,Bone Marrow Transplantation Nephropathy,0
140,Ganglioneuroblastoma Component Present,Endometrial Endometrioid Adenocarcinoma with an Undifferentiated Carcinomatous Component,0
141,Matrical Differentiation,Superficial Epithelioma with Sebaceous Differentiation,0
142,Capsular Invasion,Malignant neoplasm of stomach recurrent,0
143,Prominent In Situ Component Present,Gastric Pylorus Carcinoma In Situ AJCC v6 and v7,0
144,Mixture of Morphologic Patterns,Recurrent tumors of the Ewing's family,0
145,Cutaneous plaque,Cutaneous neurofibroma,0
146,Endodermal Sinus Pattern,Nasal Cavity and Paranasal Sinus Cancer by AJCC v8 Stage,0
147,Myeloblasts Under 10 Percent of Bone Marrow Nucleated Cells,Osteoclastic Giant Cell-Rich Tumor of Bone,0
148,Matrical Differentiation,Thyroid Gland Carcinoma Showing Thymus-Like Differentiation,0
149,Local disease,Hodgkin's disease mixed cellularity stage I subdiaphragmatic,0
150,Sarcomatoid Features,"Infiltrating Renal Pelvis Urothelial Carcinoma, Sarcomatoid Variant",0
151,Immunoglobulin Light Chain Deposition,Chronic Lymphocytic Leukemia with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene,0
152,Honeycomb Pattern,"Testicular Yolk Sac Tumor, Polyvesicular Vitelline Pattern",0
153,Polyclonal hypergammaglobulinemia,Occult Lung Cancer AJCC v8,0
154,Erythroid Precursors 50 Percent or More of Bone Marrow Nucleated Cells,Childhood Undifferentiated High Grade Pleomorphic Sarcoma of Bone,0
155,Microsatellite Stable,Occult Lung Cancer AJCC v8,0
156,Myofibroblastic Differentiation,Thyroid Gland Carcinoma Showing Thymus-Like Differentiation,0
157,Lesion Less than 10mm in Diameter,Colon Carcinoma Metastatic in the Liver,0
158,Radial Growth Phase,"Polycythemia Vera, Polycythemic Phase",0
159,Infundibular-Like Structures Present,Occult Lung Cancer AJCC v8,0
160,Atypical Glandular Epithelium Resembling the Normal Endometrium Present,Infiltrating Ureter Urothelial Carcinoma with Glandular Differentiation,0
161,Hot Nodule,Thyroid Nodule,0
162,Extraocular Dissemination of Disease,Paget Disease of the Scrotum,0
163,Dilated Vascular Space Formation,Benign Cutaneous Vascular Neoplasm,0
164,Schwannian Stroma More than 50 Percent of the Tumor Volume,Multinodular and Vacuolated Tumor of the Cerebrum,0
165,Angiocentric Pattern,Angiocentric lymphoma stage I,0
166,Histiocytosis haematophagic,Refractory Langerhans Cell Histiocytosis,0
167,Mucinous degeneration,Ampulla of Vater Mucinous Adenocarcinoma,0
168,Neuroectodermal Differentiation,Thyroid Gland Carcinoma Showing Thymus-Like Differentiation,0
169,Epithelioid Component Present,Breast Epithelioid Hemangioma,0
170,Lamellar Pattern,"Testicular Yolk Sac Tumor, Endodermal Sinus Pattern",0
171,HER2/Neu Negative,Adenocarcinoma with squamous metaplasia,0
172,Trichoblastic Differentiation,Superficial Epithelioma with Sebaceous Differentiation,0
173,Diffuse Lesion,Diffuse Lipomatosis,0
174,Epithelioid Differentiation,Infiltrating Ureter Urothelial Carcinoma with Glandular Differentiation,0
175,Fibroblastoma-Like Differentiation,Thyroid Gland Carcinoma Showing Thymus-Like Differentiation,0
176,Mixed Cellular Population,Cellular neurothekeoma,0
177,Non-Contiguous Disease,Chronic Bullous Disease of Childhood,0
178,Lymphoplasmacytic Infiltrate,Malignant neoplasm of stomach recurrent,0
179,Retiform Structures Comprise 90% or More of the Tumor,Benign Mixed Tumor of the Vulva,0
180,Myeloblasts Under 1 Percent of Peripheral Blood White Cells,Peripheral neuroepithelioma of bone metastatic,0
181,Acral Lesion,Reactive Cutaneous Fibrous Lesion,0
182,Endometrial Type Glands and Stroma Present,Gastric Body Carcinoma In Situ AJCC v6 and v7,0
183,Koilocytotic atypia,Occult Lung Cancer AJCC v8,0
184,Numerous Stromal Mast Cells Present,Stromal sarcoma,0
185,Finding related to pregnancy,Acute myeloid leukemia and myelodysplastic syndrome related to alkylating agent,0
186,Spindle Cell Metaplasia,Ciliary Body Spindle Cell Type B Melanoma,0
187,Numerous Stromal Mast Cells Present,Stage IIIA Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
188,Fibromuscular Stroma Formation,Thyroid Gland Papillary Carcinoma with Fibromatosis/Fasciitis-Like Stroma,0
189,WNT Pathway Activated,Refractory Visual Pathway Glioma,0
190,Hyperplastic Epithelial Tissue Present,Liver Mucosa-Associated Lymphoid Tissue Lymphoma,0
191,Paucicellular Stroma Present,Gastric Carcinoma with Lymphoid Stroma,0
192,Poorly Differentiated Neuroendocrine Lesion,Poorly Differentiated Neuroblastoma,0
193,Lesion with Diameter of 10mm or Less,Myeloid or lymphoid neoplasm with alpha-type platelet-derived growth factor receptor gene rearrangement,0
194,Tumor Mass,Malignant Gastric Granular Cell Tumor,0
195,Melanocytes Near the Tips and Sides of Elongated Rete Ridges Present,Multinodular and Vacuolated Tumor of the Cerebrum,0
196,Tubular Structures Present,Small Intestinal Tubular Adenoma,0
197,Macule,Occult Lung Cancer AJCC v8,0
198,Acral Lesion,Pre-Malignant Skin Epithelial Lesion,0
199,Nests of Nevus Cells Resembling Nerve Bundles Present,Ampulla of Vater Undifferentiated Carcinoma with Osteoclast-Like Giant Cells,0
200,Ganglion Cell-Like Elements Present,Ductal Eccrine Carcinoma with Spindle Cell Elements,0
201,Numerous Stromal Mast Cells Present,Prostate Stromal Proliferation of Uncertain Malignant Potential,0
202,"Variably-Sized Cysts Filled With Clear, Serous, or Gelatinous Fluid",Ovarian Biphasic or Triphasic Teratoma,0
203,Villous Projections of the Neoplastic Epithelium Present,Bladder Carcinoma Infiltrating the Muscle of the Bladder Wall,0
204,BRAF V600E Mutation Present,Myeloid Neoplasms with Germline GATA2 Mutation,0
205,Pseudorosette Formation,Occult Lung Cancer AJCC v8,0
206,Thyroglobulin Positive Neoplastic Cells Present,Neoplastic Polyp,0
207,Apple Green Dichromism Present in Polarized Congo-Red Stained Sections,Colorectal Carcinoma Metastatic in the Liver,0
208,Pseudostratified Columnar Tumor Cells Present,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor,0
209,Apocrine metaplasia,Nephrogenic metaplasia,0
210,Intra or Intercytoplasmic Lumina Present,Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1,0
211,Bone Marrow Lymphoplasmacytic Infiltration of Less than 10%,Malignant Giant Cell Tumor of Bone,0
212,Stable Disease,Localized Castleman Disease,0
213,Malignant Epithelial Cells with Abundant Clear Cytoplasm Containing Glycogen Present,Metastatic Infiltrating Bladder Urothelial Carcinoma with Giant Cells,0
214,Bone marrow depression,Unresectable Bone Sarcoma,0
215,Immature Granulocytes in Peripheral Blood Increased,Colorectal Carcinoma Metastatic in the Liver,0
216,Proliferation of Basaloid Cells Parallel to the Long Axis of the Epidermis Present,Stage III Mucosal Melanoma of the Head and Neck AJCC v7,0
217,Steatohepatitis,Malignant neoplasm of stomach recurrent,0
218,Nested Pattern,"Testicular Yolk Sac Tumor, Microcystic Pattern",0
219,Translocations Involving Tyrosine Kinases or Cytokine Receptors Present,Acute Myeloid Leukemia with Variant MLL Translocations,0
220,Focal Pattern,"Testicular Yolk Sac Tumor, Microcystic Pattern",0
221,High Plasma Renin Activity,DS Stage II Plasma Cell Myeloma,0
222,Increased megakaryocytes (bone marrow),Occult Lung Cancer AJCC v8,0
223,Koilocytotic atypia,Occult Lung Cancer AJCC v8,0
224,Megakaryoblasts 50 Percent or More of Bone Marrow Nucleated Cells,Malignant Giant Cell Tumor of Bone,0
225,Pregnancy Complications,Non-Hodgkin Lymphoma During Pregnancy,0
226,Superficial Lesion,Pre-Malignant Skin Epithelial Lesion,0
227,Intracytoplasmic and Extracytoplasmic Eosinophilic Material Present,Stage III Mucosal Melanoma of the Head and Neck AJCC v7,0
228,Multinodular Lesion,Pre-Malignant Skin Epithelial Lesion,0
229,Lesion with Diameter of 2cm or Less,Columnar Cell Change of the Breast with Atypia,0
230,Urine phosphorous concentration above normal,Occult Lung Cancer AJCC v8,0
231,Defective Heavy Chain Present,Small Lymphocytic Lymphoma with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene,0
232,Platinum Sensitivity,Occult Lung Cancer AJCC v8,0
233,Intravascular Fibrin Thrombus Formation,Intravascular Angioleiomyoma,0
234,Primary Lesion,Primary mediastinal large B-cell lymphoma stage III,0
235,Peribronchial Proliferation of Neoplastic Cells Present,Ampulla of Vater Undifferentiated Carcinoma with Osteoclast-Like Giant Cells,0
236,Hypertensive disease,Lhermitte-Duclos disease,0
237,Tissue Differentiation Uncertain,Liver Mucosa-Associated Lymphoid Tissue Lymphoma,0
238,Neoplastic Granulocytes and Precursors 20 Percent or More of Bone Marrow Cells,Stage III Mucosal Melanoma of the Head and Neck AJCC v7,0
239,Severe cytologic atypia,Complex endometrial hyperplasia without atypia,0
240,Cells of Monocytic Lineage 80 Percent or More of Bone Marrow Leukemic Cells,Osteoclastic Giant Cell-Rich Tumor of Bone,0
241,Cholesterolosis,Adenocarcinoma with squamous metaplasia,0
242,Unclassifiable Lesion,Reactive Cutaneous Fibrous Lesion,0
243,Finding related to pregnancy,Acute myeloid leukemia and myelodysplastic syndrome related to alkylating agent,0
244,Distortion of the Hair Follicle,Erosive Adenomatosis of the Nipple,0
245,Multiple Tumor Masses,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor,0
246,Neoplastic Plasma Cells Present in Bone Marrow,Bone Marrow Transplantation Nephropathy,0
247,Unifocal Disease,Localized Castleman Disease,0
248,Melanin-Pigmented Dendritic Cells Present,Undifferentiated Carcinoma with Osteoclast-Like Giant Cells,0
249,effusion,Occult Lung Cancer AJCC v8,0
250,Infundibular-Like Structures Present,Occult Lung Cancer AJCC v8,0
251,Presence of a Hormonal Syndrome,Recurrent tumors of the Ewing's family,0
252,Giant Mitochondria Present,Giant cell angiofibroma,0
253,Endobronchial Lesion,Pre-Malignant Skin Epithelial Lesion,0
254,Huge Vascular Channel Formation,Radiation-Induced Vascular Disease,0
255,Polymorphic Cellular Infiltrate,Cellular Blue Nevus,0
256,Cytologic atypia,Occult Lung Cancer AJCC v8,0
257,Fried-Egg Appearance of the Bone Marrow,Bladder Carcinoma Infiltrating the Muscle of the Bladder Wall,0
258,Thin-Walled Branching Vascular Pattern,"Testicular Yolk Sac Tumor, Hepatoid Pattern",0
259,Two Separate Tumor Masses Present in the Same Organ,Metastatic Malignant Neoplasm in the Sellar Region,0
260,Lesion with Diameter Less than 11mm,Infiltrating Ureter Urothelial Carcinoma with Glandular Differentiation,0
261,Acral Lesion,Acral Lentiginous Malignant Melanoma,0
262,Humoral hypercalcemia of malignancy (disorder),Malignant neoplasm of stomach recurrent,0
263,Differentiating Neuroblasts Under 5 Percent of the Tumor Cells,Multinodular and Vacuolated Tumor of the Cerebrum,0
264,Malignant Primitive Cellular Infiltrate,Malignant Gastric Granular Cell Tumor,0
265,Extensive Stage Lesion,Stage IB Uterine Corpus Cancer AJCC v7,0
266,Unmethylated MGMT Gene Promoter,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified by Gene Expression Profile",0
267,Venous Type Vascular Channel Formation,Intermediate Cell Type Ciliary Body Melanoma,0
268,Fibroblastoma-Like Differentiation,Superficial Epithelioma with Sebaceous Differentiation,0
269,Tubal Diverticulosis,Tubal Hyperplasia,0
270,Diffuse Immunoblastic Proliferation,Hereditary Diffuse Gastric Adenocarcinoma,0
271,Endometrial Type Glands and Stroma Present,Testicular Mixed Embryonal Carcinoma and Seminoma,0
272,PSA Failure,Malignant neoplasm of stomach recurrent,0
273,Blasts Under 20 Percent of Bone Marrow Nucleated Cells,Osteoclastic Giant Cell-Rich Tumor of Bone,0
274,Serum phosphate concentration below normal,Adenocarcinoma with squamous metaplasia,0
275,Bilateral Disease,Multi-centric Castleman's Disease,0
276,HMB-45-Positive Neoplastic Cells Present,Metastatic Infiltrating Bladder Urothelial Carcinoma with Giant Cells,0
277,Presence of a Hormonal Syndrome,"Benign neoplasm of brain, unspecified",0
278,Dyskeratosis,Malignant neoplasm of stomach recurrent,0
279,Serrated Glandular Architecture,Cervical Glandular Neoplasm,0
280,Solitary Skin Tumor,Peritoneal Solitary Fibrous Tumor,0
281,Proliferation of Basaloid Cells Parallel to the Long Axis of the Epidermis Present,Bladder Carcinoma Infiltrating the Muscle of the Bladder Wall,0
282,Rarely Metastasizing Lesion,Pre-Malignant Skin Epithelial Lesion,0
283,Neoplastic Growth or Spread,Myeloid or lymphoid neoplasm with alpha-type platelet-derived growth factor receptor gene rearrangement,0
284,Unilineage Dysplasia Present,Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with Low Grade Dysplasia,0
285,Desmoplastic Stroma Formation,Gastric Carcinoma with Lymphoid Stroma,0
286,Concentric Perivascular Arrangement of Tumor Cells,Ampulla of Vater Neuroendocrine Tumor,0
287,Mixed Cellular Population,Cellular neurothekeoma,0
288,Myeloblasts Under 5 Percent of Bone Marrow Nucleated Cells,Childhood Undifferentiated High Grade Pleomorphic Sarcoma of Bone,0
289,Abundant Intracytoplasmic Lipofuscin Present,Adenocarcinoma with squamous metaplasia,0
290,Blasts 10-19 Percent of Bone Marrow Nucleated Cells,Childhood Undifferentiated High Grade Pleomorphic Sarcoma of Bone,0
291,Congenital Lesion,Reactive Cutaneous Fibrous Lesion,0
292,Desmoplastic Stroma Formation,Gastric Carcinoma with Lymphoid Stroma,0
293,Invasive Focus of Carcinoma Cells Measuring More Than 5 mm Present,Bladder Carcinoma Infiltrating the Muscle of the Bladder Wall,0
294,Efferent Arteriolar Hyalinosis,Adenocarcinoma with squamous metaplasia,0
295,Therapy-Related Toxicity,Adenocarcinoma with squamous metaplasia,0
296,Sebaceous Differentiation,Infiltrating Ureter Urothelial Carcinoma with Glandular Differentiation,0
297,Absence of Invasion,Malignant neoplasm of stomach recurrent,0
298,Dilated Terminal Duct Lobular Units with Acini Lined by More than Two Layers of Columnar Epithelial Cells Present,Columnar Cell Change of the Breast with Atypia,0
299,Transformed Phase of Disease,Chronic Bullous Disease of Childhood,0
300,Melanin-Pigmented Dendritic Cells Present,Metastatic Infiltrating Bladder Urothelial Carcinoma with Giant Cells,0
301,Misplaced Exocytosis Present,Adenocarcinoma with squamous metaplasia,0
302,Proliferation of Basaloid Cells Parallel to the Long Axis of the Epidermis Present,Bladder Carcinoma Infiltrating the Muscle of the Bladder Wall,0
303,Muscle Invasion,Uterine Corpus Smooth Muscle Tumor of Uncertain Malignant Potential,0
304,Islands of Odontogenic Epithelium Present,Recurrent tumors of the Ewing's family,0
305,Increased red cell mass,Basal cell carcinoma,0
306,Vacuolated Plasma Cells in the Bone Marrow,Colorectal Carcinoma Metastatic in the Liver,0
307,Enterochromaffin Type Granules Present,Multiple Endocrine Neoplasia Type 2a,0
308,Confluent Sheets of Anaplastic T-Lymphocytes Present,Malignant neoplasm of stomach recurrent,0
309,Spindle Cell Osteo-Fibrous Component Present,Ciliary Body Spindle Cell Type B Melanoma,0
310,Polyclonal hypergammaglobulinemia,Pseudolymphoma,0
311,Pseudoalveolar Pattern,"Testicular Yolk Sac Tumor, Endodermal Sinus Pattern",0
312,Bone Marrow Involvement,Unresectable Bone Sarcoma,0
313,Atypical Mitotic Figures,Recurrent Atypical Teratoid/Rhabdoid Tumor,0
314,Bead-Like Arrangement of Elastic Fibers,"Benign neoplasm of brain, unspecified",0
315,Localized Hydropic Villous Change,Localized Castleman Disease,0
316,Sclerotic Pattern,"Testicular Yolk Sac Tumor, Hepatoid Pattern",0
317,Slit-Like Vascular Channel Formation,Radiation-Induced Vascular Disease,0
318,Diffuse Immunoblastic Proliferation,Immunoblastic Large-Cell Lymphoma,0
319,Glomeruloid Vessels Present,Occult Lung Cancer AJCC v8,0
320,Cytopenia,Occult Lung Cancer AJCC v8,0
321,progesterone receptor negative,Adenocarcinoma with squamous metaplasia,0
322,Fibromyxoid Stroma Formation,Classical Low Grade Fibromyxoid Sarcoma,0
323,Primary Site Unspecified,Primary cutaneous diffuse large cell B-cell lymphoma,0
324,Fibrovascular Septa Present,Occult Lung Cancer AJCC v8,0
325,Epithelial hyperplasia of skin,Benign fibrohistiocytic neoplasm of skin,0
326,Slit-Like Stromal Retraction Present,Prostate Stromal Proliferation of Uncertain Malignant Potential,0
327,Microcystic Change,Microcystic meningioma,0
328,Huge Vascular Channel Formation,Vascular neoplasm of skin,0
329,Unilineage Dysplasia Present,Squamous Lung Dysplasia,0
