,CUI1,CUI2,label
39,Neoplastic Transitional Cell,Brenner Tumor,0
40,Neoplastic Follicle Center B-Cell,Methotrexate-Associated Follicular Lymphoma,0
41,Neoplastic Cell,Stage IVC Lip Cancer AJCC v6 and v7,0
42,"Tumor cells, malignant",Stage III Kidney Wilms Tumor,0
43,Neoplastic Cell,Stage III Kidney Wilms Tumor,0
44,Neoplastic Cell,Benign neoplasm of kidney,0
45,Neoplastic Cell,Renal Pelvis and Ureter Carcinoma,0
46,Neoplastic Cell,Mature B-Cell Neoplasm,0
47,Malignant Blastemal Cell,Stage IV Kidney Wilms Tumor,0
48,Neoplastic Cell,Neurilemmoma,0
49,Neoplastic Cell,Parotid Gland Warthin Tumor,0
50,Leukemic Cell,Alkylating Agent-Related Acute Myeloid Leukemia,0
51,Neoplastic Cell,Calcifying Nested Epithelial Stromal Tumor of the Liver,0
52,Neoplastic Hematopoietic and Lymphoid Cell,Infant Leukemia,0
53,Neoplastic Glandular Cell,Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with Low Grade Dysplasia,0
54,Neoplastic Cell,Intestinal-Type Sinonasal Adenocarcinoma,0
55,Neoplastic Epithelial Cell,Classic Type Trichilemmoma,0
56,"Tumor cells, malignant",Stage III Esophageal Cancer AJCC v7,0
57,Neoplastic Astrocyte,Childhood Anaplastic Oligoastrocytoma,0
58,Neoplastic Myeloid Cell,Hypergranular promyelocytic leukemia,0
59,Neoplastic Endocrine Cell,Colon Neuroendocrine Neoplasm,0
60,Abnormal Hematopoietic and Lymphoid Cell,"lymphomatoid papulosis, type C",0
61,Malignant Spindle-Shaped Smooth Muscle Cell,Leiomyosarcoma of uterus,0
62,Neoplastic Epithelial Cell,Syringoma,0
63,Dysplastic Epithelial Cell,High Grade Anal Canal Squamous Intraepithelial Neoplasia,0
64,"Tumor cells, malignant",Stage II Ovarian Germ Cell Tumor AJCC v6 and v7,0
65,Neoplastic Lymphocyte,Common Variant Anaplastic Large Cell Lymphoma,0
66,Abnormal Lymphocyte cell,Splenic diffuse red pulp small B-cell lymphoma,0
67,Neoplastic Hematopoietic and Lymphoid Cell,Refractory Hodgkin Lymphoma,0
68,Neoplastic Epithelial Cell,Stage IIIA Lung Squamous Cell Carcinoma AJCC v7,0
69,Adenocarcinoma Cell with Intracytoplasmic Mucin,Mucinous adenocarcinoma gastric,0
70,Neoplastic Squamous Cell,Cervical Squamous Papilloma,0
71,"Tumor cells, malignant",Anaplastic Embryonal Rhabdomyosarcoma,0
72,"Tumor cells, malignant",Stage I Urethral Cancer AJCC v7,0
73,Hodgkin Cell,Hodgkin's disease nodular sclerosis refractory,0
74,Malignant Epithelial Cell,Stage IVC Oral Cavity Cancer AJCC v6 and v7,0
75,"Tumor cells, malignant",Primary Cutaneous Follicle Center Lymphoma,0
76,Primitive Malignant Skeletal Spindle Cell,Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features,0
77,Neoplastic Cell,Benign neoplasm of trachea,0
78,Neoplastic Endocrine Cell,Benign Carotid Body Paraganglioma,0
79,Neoplastic Medium-Sized Myeloblast with Basophilic Agranular Cytoplasm,Adult Acute Myeloid Leukemia with Minimal Differentiation,0
80,"Tumor cells, malignant",Acute myeloid leukemia with abnormal marrow eosinophils,0
81,Neoplastic Glandular Cell,Renal Cell Carcinoma Associated with t(X;1)(p11.2;q21),0
82,Neoplastic Neuroepithelial Cell and Neoplastic Perineural Cell,Recurrent Childhood Diffuse Astrocytoma,0
83,Neoplastic Cell,FIGO Stage IIIB Gestational Trophoblastic Tumor,0
84,Atypical lymphoblast,ROSE Cluster 8,0
85,Neoplastic Hematopoietic and Lymphoid Cell,Stage I Adult Non-Hodgkin Lymphoma,0
86,Signet Ring Adenocarcinoma Cell,"Carcinoma, Signet Ring Cell",0
87,"Tumor cells, malignant",Malignant Lung and Pleural Neoplasm,0
88,Neoplastic Glandular Cell,BCLC Stage A Adult Hepatocellular Carcinoma,0
89,"Tumor cells, malignant",Secondary malignant neoplasm of bone marrow,0
90,Malignant Rhabdomyoblast,Adult Botryoid-Type Embryonal Rhabdomyosarcoma of the Vagina,0
91,Malignant Epithelial Cell,"Vulvar Adenocarcinoma, Intestinal-Type",0
92,Neoplastic Cell,Digestive System Neuroendocrine Carcinoma,0
93,Neoplastic Cell,Benign neoplasm of minor salivary gland,0
94,Neoplastic Epithelial Cell,Stage IV Adult Liver Cancer AJCC v7,0
95,Neoplastic Cell,Secondary malignant neoplasm of peritoneum,0
96,Neoplastic Cell,Lip and Oral Cavity Carcinoma,0
97,Neoplastic Cell,Vulvar Keratoacanthoma,0
98,Malignant Endocrine Cell,Esophageal Neuroendocrine Carcinoma,0
99,Neoplastic Cell,Secondary malignant neoplasm of neck,0
100,Neoplastic Hematopoietic and Lymphoid Cell,"B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified",0
101,Neoplastic Cell,Small Intestinal Neuroendocrine Tumor G2,0
102,Neoplastic Epithelial Cell,Stage IIIB Lung Small Cell Carcinoma AJCC v7,0
103,Neoplastic Cell,Mantle cell lymphoma refractory,0
104,Neoplastic Cell,Carcinoma of the Floor of the Mouth,0
105,Cerebriform Lymphocyte,Granulomatous slack skin disease,0
106,Malignant Basaloid Cell,Skin Basal Cell Carcinoma with Sebaceous Differentiation,0
107,Centrocyte-Like Cell,Extranodal marginal zone B-cell lymphoma (MALT type) stage I,0
108,Malignant Endocrine Cell,Occult Lung Small Cell Carcinoma,0
109,Neoplastic Cell,Solid carcinoma,0
110,Neoplastic Epithelial Cell,Ovarian mucinous tumor,0
111,"Tumor cells, malignant",Childhood T Lymphoblastic Lymphoma,0
112,"Tumor cells, malignant",Hepatoblastoma recurrent,0
113,Neoplastic Epithelial Cell,Stage I Esophageal Cancer AJCC v7,0
114,Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell,Borderline Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder,0
115,Neoplastic B-Lymphocyte,Recurrent Childhood Burkitt Lymphoma,0
116,"Tumor cells, malignant",Malignant melanoma of anus,0
117,Neoplastic Cell,Grade 3 Clear Cell Renal Cell Carcinoma,0
118,Neoplastic B-Lymphocyte,Extranodal marginal zone B-cell lymphoma (MALT type) stage IV,0
119,Neoplastic Glandular Cell,Colon Traditional Serrated Adenoma,0
120,Neoplastic Small Lymphocyte with Clumped Chromatin,B-cell small lymphocytic lymphoma recurrent,0
121,Neoplastic Fibroblast,Cardiac fibroma,0
122,Neoplastic Epithelial Cell,Minor Salivary Gland Carcinoma,0
123,Neoplastic Trophoblastic Cell,Testicular choriocarcinoma stage I,0
124,"Tumor cells, malignant",Stage II Cutaneous Melanoma AJCC v6 and v7,0
125,Neoplastic Cell,Peripheral Nerve Schwannoma,0
126,Neoplastic Cell,Glomus Tumor of Uncertain Malignant Potential,0
127,Neoplastic Germ Cell,Stage I Ovarian Teratoma AJCC v6 and v7,0
128,Centrocyte-Like Cell,Immunoproliferative Small Intestinal Disease,0
129,Neoplastic Endothelial Cell,Mediastinal Angiosarcoma,0
130,Malignant Endothelial Cell,Mediastinal Angiosarcoma,0
131,Neoplastic Squamous Cell,"Stage 0 Laryngeal Squamous Cell Carcinoma AJCC v6, v7, and v8",0
132,Neoplastic Neuroendocrine Polygonal Cell,Carcinoid tumor of the duodenum,0
133,Neoplastic Connective and Soft Tissue Cell,liposarcoma of mediastinum,0
134,"Tumor cells, malignant",Uterine Corpus Epithelioid Leiomyosarcoma,0
135,Neoplastic Germ Cell,Stage IIC Ovarian Germ Cell Tumor AJCC v6 and v7,0
136,Adenocarcinoma Cell,Adenosquamous cell lung cancer recurrent,0
137,"Tumor cells, malignant","Bladder Non-Invasive Papillary Urothelial Carcinoma, High Grade",0
138,Neoplastic Cell,Ovarian Dermoid Cyst with Melanocytic Nevus,0
139,Neoplastic Germ Cell,Ovarian Dermoid Cyst with Sebaceous Carcinoma,0
140,Malignant Endocrine Cell,Recurrent Pancreatic Neuroendocrine Carcinoma,0
141,"Tumor cells, malignant",Central Nervous System Ganglioneuroblastoma,0
142,Malignant Epithelial Cell,Ductal Carcinoma In Situ with Microinvasion,0
143,Neoplastic Glandular Cell,Cervical Mixed Epithelial and Mesenchymal Neoplasm,0
144,Malignant Epithelial Large Cell with Vesicular Nucleus and Distinct Nucleolus,Oropharyngeal lymphepithelioma,0
145,Neoplastic Small Cleaved Follicle Center Cell,Ann Arbor Stage II Grade 2 Follicular Lymphoma,0
146,Neoplastic Hematopoietic and Lymphoid Cell,Stage I Adult Lymphoblastic Lymphoma,0
147,Adenocarcinoma Cell,adenocarcinoma of middle ear,0
148,Neoplastic Neuroepithelial Cell and Neoplastic Perineural Cell,Intradural Extramedullary Cauda Equina Astrocytoma,0
149,Dysplastic Glandular Cell,High Grade Esophageal Glandular Intraepithelial Neoplasia,0
150,Leukemic Cell,Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1,0
151,Neoplastic Cell,Skin Metatypical Carcinoma,0
152,Neoplastic Cell,Benign Cerebellar Neoplasms,0
153,Adenocarcinoma Cell,Gastric Tubular Adenocarcinoma,0
154,"Tumor cells, malignant",Stage IIA1 Cervical Cancer AJCC v7,0
155,Neoplastic Myeloid Cell,Benzene-Related Acute Myeloid Leukemia,0
156,Neoplastic Hematopoietic and Lymphoid Cell,Infant Acute Lymphoblastic Leukemia with MLL Rearrangement,0
157,"Tumor cells, malignant",Infant Acute Lymphoblastic Leukemia with MLL Rearrangement,0
158,Cerebriform Lymphocyte,Mycosis fungoides stage III,0
159,Adenocarcinoma Cell,Major Salivary Gland Adenocarcinoma,0
160,"Tumor cells, malignant",Testicular Mixed Embryonal Carcinoma and Teratoma,0
161,Neoplastic Spindle-Shaped Fibroblast,Abdominal Inflammatory Myofibroblastic Tumor,0
162,Neoplastic Epithelial Cell,Multiple Endocrine Neoplasia Type 2a,0
163,Neoplastic Centroblast,Ann Arbor Stage II Grade 3 Contiguous Follicular Lymphoma,0
164,Neoplastic Fibroblast,fibrosarcoma of breast,0
165,Neoplastic Epithelial Cell,Papillary tumor of renal pelvis,0
166,Malignant Epithelial Cell,"Endometrial Endometrioid Adenocarcinoma, Variant with Squamous Differentiation",0
167,Epithelioid Endothelial Cell,Breast Epithelioid Hemangioma,0
168,Malignant Epithelial Cell,verrucous carcinoma of esophagus,0
169,Neoplastic Cell,Retro-orbital neoplasm,0
170,Abnormal Lymphocyte cell,Adult T-cell lymphoma/leukemia stage IV,0
171,Neoplastic Cell,Cerebral Convexity Meningioma,0
172,"Tumor cells, malignant","Metastatic Ovarian Small Cell Carcinoma, Hypercalcemic Type",0
173,"Tumor cells, malignant",Cerebellar Vermis Medulloblastoma,0
174,"Tumor cells, malignant",Malignant Frontal Sinus Neoplasm,0
175,Reed-Sternberg Cells,Grade 2 Nodular Sclerosis Classic Hodgkin Lymphoma,0
176,Neoplastic Cell,Malignant nipple neoplasm,0
177,Abnormal Lymphocyte cell,Childhood Anaplastic Large Cell Lymphoma,0
178,Neoplastic Glandular Cell,Invasive Ductal Breast Carcinoma,0
179,Neoplastic Cell,High Risk Esophageal Gastrointestinal Stromal Tumor,0
180,Neoplastic Cell,Astler-Coller B3 Colon Carcinoma,0
181,Melanoma Cell,Desmoplastic Neurotropic Melanoma,0
182,Neoplastic Cell,Low Grade Endometrioid Stromal Sarcoma of the Cervix,0
183,Cerebriform Lymphocyte,Stage IIIB Mycosis Fungoides and Sezary Syndrome AJCC v7,0
184,"Tumor cells, malignant",Uterine Corpus Low Grade Endometrial Stromal Sarcoma,0
185,Neoplastic B-Lymphocyte,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified by Gene Expression Profile",0
186,Neoplastic Cell,Chronic Eosinophilic Leukemia with FIP1L1-PDGFRA,0
187,Neoplastic Epithelial Cell,Anal Canal Squamous Papilloma,0
188,Malignant Epithelial Cell,Gastric Mixed Adenocarcinoma,0
189,"Tumor cells, malignant",Extrahepatic Bile Duct Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma,0
190,Atypical lymphoblast,Precursor T-lymphoblastic lymphoma/leukemia stage II,0
191,"Tumor cells, malignant","Ovarian Small Cell Carcinoma, Hypercalcemic Type",0
192,Neoplastic Osteoblast,Childhood Parosteal Osteosarcoma,0
193,Melanoma Cell,Stage I Superficial Spreading Melanoma AJCC v7,0
194,Neoplastic Cell,Superficial basal cell carcinoma,0
195,"Tumor cells, malignant",Stage II Superficial Spreading Melanoma AJCC v6 and v7,0
196,Neoplastic Cell,Primary Peritoneal Low Grade Serous Adenocarcinoma,0
197,Neoplastic Epithelial Cell,Colon Carcinoma Metastatic in the Liver,0
198,Neoplastic Epithelial Cell,LH-Producing Gonadotroph Adenoma,0
199,Neoplastic Cell,Hereditary Malignant Neoplasm,0
200,Neoplastic Glandular Cell,Signet Ring Cell Intrahepatic Cholangiocarcinoma,0
201,Neoplastic Adenohypophysial Cell,TSH-Producing Pituitary Gland Carcinoma,0
202,Malignant Thyroid Gland Follicular Cell,"Follicular Variant Thyroid Gland Papillary Carcinoma, Infiltrative Subtype",0
203,Malignant Squamous Cell,Oropharyngeal squamous cell carcinoma stage I,0
204,Malignant Rhabdomyoblast,Spindle cell rhabdomyosarcoma,0
205,Neoplastic Hematopoietic and Lymphoid Cell,Primary cutaneous lymphoma,0
206,Neoplastic Connective and Soft Tissue Cell,Low-grade fibromyxoid sarcoma,0
207,Neoplastic Connective and Soft Tissue Cell,Retroperitoneal Inflammatory Myofibroblastic Tumor,0
208,Neoplastic Connective and Soft Tissue Cell,Lipomatosis of Nerve,0
209,Neoplastic Connective and Soft Tissue Cell,Childhood Small Intestinal Leiomyosarcoma,0
210,Malignant Epithelial Cell,Adenocarcinoma with squamous metaplasia,0
211,Neoplastic Spindle-Shaped to Round Cell,Ossifying fibromyxoid tumor,0
212,Neoplastic Epithelial Cell,Stage IVB Hypopharyngeal Squamous Cell Carcinoma AJCC v7,0
213,Neoplastic Cell,Pilocytic Astrocytoma,0
214,Abnormal Lymphocyte cell,Adult Lymphoma,0
215,Neoplastic Cell,Ann Arbor Stage III Mature T- and NK-Cell Lymphoma,0
216,Neoplastic Cell,Macrotrabecular Hepatoblastoma,0
217,Neoplastic Epithelial Cell,Stage IB Lung Cancer AJCC v7,0
218,Neoplastic Lipocyte,Infiltrating angiolipoma,0
219,Neoplastic Cell,Recurrent Childhood Oligodendroglioma,0
220,Neoplastic Cell,Stage IIA Lung Cancer AJCC v7,0
221,Neoplastic Cell,Malignant neoplasm of acoustic nerve,0
222,Neoplastic Sertoli Cell,Ovarian Sertoli-Stromal Cell Tumor,0
223,Neoplastic Cell,Colorectal Hodgkin Lymphoma,0
224,Dysplastic Glandular Cell,Intrahepatic Bile Duct Biliary Intraepithelial Neoplasia,0
225,"Tumor cells, malignant",Grade 1 Invasive Breast Carcinoma,0
226,Neoplastic Fibroblast,Childhood Fibrosarcoma,0
227,Malignant Neuroectodermal Cell,"Recurrent Childhood Supratentorial Embryonal Tumor, Not Otherwise Specified",0
228,Malignant Epithelial Cell,Stage 0 Rectal Cancer AJCC v6 and v7,0
229,Neoplastic Epithelial Cell,papillomatosis of extrahepatic bile duct,0
230,Neoplastic Cell,Lymphoepithelioma-Like Hepatocellular Carcinoma,0
231,Neoplastic Cell,Infection-Related Neoplasm,0
232,Neoplastic Cell,Prostate cancer stage D,0
233,Leukemic Lymphocyte,"Leukemia, Plasma Cell",0
234,Neoplastic B-Lymphocyte,"Leukemia, Plasma Cell",0
235,Neoplastic Cell,Vulvar Congenital Melanocytic Nevus,0
236,Neoplastic Epithelial Cell,Uterine Ligament Papillary Cystadenoma Associated with von Hippel-Lindau Disease,0
237,Neoplastic Epithelial Cell,Stage I Ovarian Cancer AJCC v6 and v7,0
238,Neoplastic Cell,Psammomatous Meningioma,0
239,Neoplastic Neuroendocrine Cell,Extrahepatic Bile Duct Neuroendocrine Tumor,0
240,Keratinizing Malignant Squamous Cell,Stage IVB Nasopharyngeal Keratinizing Squamous Cell Carcinoma AJCC v7,0
241,Neoplastic Glandular Cell,"Pancreatic Intraductal Papillary Mucinous Neoplasm, Oncocytic-Type",0
242,Neoplastic Cell,Cervical Adenocarcinoma In Situ,0
243,Neoplastic Epithelial Cell,Stage III Esophageal Cancer,0
244,Neoplastic Epithelial Cell,Stage 0is Urethral Cancer AJCC v7,0
245,Neoplastic Cell,Stage 0is Urethral Cancer AJCC v7,0
246,Neoplastic Endocrine Cell,Stage I Adrenal Cortex Carcinoma AJCC v7,0
247,Neoplastic Neuroendocrine Cell,"Carcinoma, Small Cell",0
248,Malignant Squamous Cell,Adenosquamous cell lung cancer stage II,0
249,"Tumor cells, malignant",Stage IIA Esophageal Squamous Cell Carcinoma AJCC v7,0
250,Neoplastic Cell,Endobronchial Hamartoma,0
251,Malignant Squamous Cell,"Squamous cell carcinoma, microinvasive",0
252,Neoplastic Lymphocyte,B lymphoblastic leukemia lymphoma with t(9;22)(q34;q11.2); BCR-ABL1,0
253,Malignant Squamous Cell,Squamous cell carcinoma with horn formation,0
254,Neoplastic Cell,Cardiac Fibrosarcoma,0
255,Abnormal Lymphocyte cell,Stage III Indolent Adult Non-Hodgkin Lymphoma,0
256,Neoplastic Perineurial-Like Cell,neurofibroma of esophagus,0
257,Neoplastic Cell,Pancreatic Delta Cell Neoplasm,0
258,Neoplastic Hematopoietic and Lymphoid Cell,"Acute Myeloid Leukemia, M1",0
259,Neoplastic Neuroepithelial Cell and Neoplastic Perineural Cell,Classical Glioblastoma,0
260,Neoplastic Lymphocyte,Smoldering Adult T-Cell Leukemia/Lymphoma,0
261,Neoplastic Connective and Soft Tissue Cell,Desmoplastic fibroma,0
262,Classical Reed-Sternberg Cell,Hodgkin's disease lymphocyte depletion type refractory,0
263,Neoplastic Epithelial Cell,Gastric Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor,0
264,Malignant Small Germ Cell,Testicular Spermatocytic Seminoma with Sarcoma,0
265,Neoplastic Muscle Cell,Leiomyosarcoma recurrent,0
266,"Tumor cells, malignant",Acute Myeloid Leukemia with Gene Mutations,0
267,Neoplastic Cell,Marginal zone lymphoma recurrent,0
268,"Tumor cells, malignant",Childhood Testicular Mixed Germ Cell Tumor,0
269,Neoplastic Epithelial Cell,adenosquamous carcinoma of breast,0
270,Neoplastic Neuroendocrine Cell,Appendix L-Cell Glucagon-Like Peptide-Producing Neuroendocrine Tumor,0
271,Malignant Endocrine Cell,Malignant Paraganglionic Neoplasm,0
272,Neoplastic Cell,Benign Intraocular Medulloepithelioma,0
273,Neoplastic B-Lymphocyte,Lymphoplasmacytoid lymphoma/immunocytoma stage I,0
274,Neoplastic Germ Cell,Vaginal Yolk Sac Tumor,0
275,Adenocarcinoma Cell,Stage IA Lung Adenocarcinoma AJCC v7,0
276,Malignant Intermediate Type Trophoblastic Cell,Childhood Testicular Choriocarcinoma,0
277,Neoplastic Neuroepithelial Cell and Neoplastic Perineural Cell,Anaplastic astrocytoma,0
278,Neoplastic Cell,Small intestine carcinoma stage II,0
279,Neoplastic Germ Cell,Childhood Testicular Embryonal Carcinoma,0
280,Neoplastic Endocrine Cell,Recurrent Adrenal Gland Pheochromocytoma,0
281,Neoplastic Cell,Stage III Carcinoma of Penis,0
282,Neoplastic Large B-Lymphocyte,Primary mediastinal large B-cell lymphoma stage I,0
283,"Tumor cells, malignant",Stage I Oropharyngeal Carcinoma,0
284,Neoplastic Cell,Primary mediastinal large B-cell lymphoma stage II,0
285,Malignant Squamous Cell,Nasopharyngeal squamous cell carcinoma stage III,0
286,Leukemic Lymphocyte,T-Cell Prolymphocytic Leukemia,0
287,Neoplastic Cell,Childhood Acute Monocytic Leukemia,0
288,"Tumor cells, malignant",Squamous cell carcinoma of the hypopharynx recurrent,0
289,Neoplastic Myeloid Cell,Acute monoblastic leukemia,0
290,"Tumor cells, malignant",Stage II Kidney Wilms Tumor,0
291,Neoplastic Large B-Lymphocyte with Pale Cytoplasm,Primary mediastinal large B-cell lymphoma stage IV,0
292,Neoplastic Glial Cell,Brain Oligodendroglioma,0
293,Neoplastic Neuroepithelial Cell,Childhood Cerebral Diffuse Astrocytoma,0
294,Neoplastic Epithelial Cell,Pilomatrix carcinoma of skin,0
295,Neoplastic Cell,Gastric Intestinal-Type Adenocarcinoma,0
296,Malignant Neuroendocrine Small Round Cell,Vulvar Merkel Cell Carcinoma,0
297,Neoplastic Keratinocyte,inverted follicular keratosis,0
298,"Tumor cells, malignant","Squamous Cell Breast Carcinoma, Acantholytic Variant",0
299,Neoplastic Hematopoietic and Lymphoid Cell,"Lymphoma, T-Cell, Cutaneous",0
300,"Tumor cells, malignant",Malignant neoplasm of postcricoid region,0
301,Neoplastic Epithelial Cell,Stage IA Lung Non-Small Cell Carcinoma AJCC v7,0
302,Neoplastic Epithelial Cell,Stage II Anal Canal Cancer AJCC v6 and v7,0
303,Neoplastic Cell,Malignant neoplasm of large intestine,0
304,Poorly Differentiated Neoplastic Astrocyte,Brain Glioblastoma,0
305,"Tumor cells, malignant",Stage IB Non-Small Cell Lung Carcinoma AJCC v7,0
306,Neoplastic Cell,Childhood Malignant Ovarian Germ Cell Tumor,0
307,Malignant Epithelial Cell,Primary Carcinoma,0
308,Neoplastic Cell,Histiocytic sarcoma,0
309,"Tumor cells, malignant",Stage III Hypopharyngeal Carcinoma AJCC v6,0
310,Neoplastic Epithelial Cell,Stage IIB Non-Small Cell Lung Carcinoma AJCC v7,0
311,Neoplastic Epithelial Cell,Malignant neoplasm of stomach stage III,0
312,Neoplastic Connective and Soft Tissue Cell,Osteoblastic Osteosarcoma,0
313,Neoplastic Sex Cord-Stromal Cell,Ovarian gonadoblastoma,0
314,Neoplastic Cell,Precursor B-lymphoblastic lymphoma refractory,0
315,Neoplastic Epithelial Cell,External Ear Basal Cell Carcinoma,0
316,Neoplastic Sex Cord-Stromal Cell,Hilus cell tumor of ovary,0
317,Neoplastic Neuroendocrine Cell,Colon Small Cell Neuroendocrine Carcinoma,0
318,"Tumor cells, malignant",Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7,0
319,"Tumor cells, malignant",Superior Sulcus Lung Carcinoma,0
320,Neoplastic Neuroendocrine Cell,Small cell carcinoma of esophagus,0
321,Malignant Neuroendocrine Small Cell,Small cell carcinoma of esophagus,0
322,Neoplastic Cell,Stage IVA Colorectal Cancer AJCC v7,0
323,Neoplastic Cell,Microcystic/Reticular Schwannoma,0
324,Neoplastic Germ Cell,Mediastinal seminoma,0
325,Malignant Squamous Cell,Oropharyngeal squamous cell carcinoma recurrent,0
326,"Tumor cells, malignant",Recurrent Carcinoma of Unknown Primary,0
327,Neoplastic Cell,Benign Reproductive System Neoplasm,0
328,Neoplastic Neuroepithelial Cell and Neoplastic Perineural Cell,Differentiating Neuroblastoma,0
329,Neoplastic Cell,Stage IVA Thyroid Gland Medullary Carcinoma AJCC v7,0
330,Neoplastic Epithelial Cell,Serous cystadenocarcinoma ovary,0
331,Neoplastic Cell,Grade 3b Malignant Neoplasm,0
332,Neoplastic Epithelial Cell,Epiglottic carcinoma,0
333,Malignant Squamous Cell,Squamous cell carcinoma of the hypopharynx stage I,0
334,Neoplastic Cell,Childhood Yolk Sac Tumor,0
335,Neoplastic Epithelial Cell,Adenoid cystic carcinoma of lacrimal gland,0
336,Neoplastic Cell,Stage I Ampulla of Vater Cancer AJCC v7,0
337,Neoplastic Cell,Renal Adenoma,0
338,"Tumor cells, malignant",Adult Primary Cutaneous Anaplastic Large Cell Lymphoma,0
339,Neoplastic Neuroendocrine Cell,Breast Neuroendocrine Neoplasm,0
340,Neoplastic Neuroendocrine Cell,Combined Lung Carcinoma,0
341,Neoplastic Lymphocyte,Burkitt Lymphoma,0
342,Neoplastic Lymphocyte,Stage III Childhood Hodgkin Lymphoma,0
343,Osteoclast-Like Giant Cell,Malignant tenosynovial giant cell tumor,0
344,Neoplastic Germ Cell,Gastric Choriocarcinoma,0
345,Neoplastic Lipocyte,Pleomorphic Lipoma,0
346,Neoplastic Cell,Warthin-Like Variant Thyroid Gland Papillary Carcinoma,0
347,Neoplastic Epithelial Cell,Carcinoid Tumor,0
348,Neoplastic Cell,Benign Pilar-Associated Mesenchyme Neoplasm,0
349,Neoplastic Cell,Adult Brain Oligodendroglioma,0
350,Neoplastic Epithelial Cell,Vulvar Large Cell Neuroendocrine Carcinoma,0
351,Neoplastic Endothelial Cell,Cavernous hemangioma of retina,0
352,Neoplastic Hematopoietic and Lymphoid Cell,Favorable Non-Hodgkin Lymphoma,0
353,Neoplastic Connective and Soft Tissue Cell,Giant Cell Fibroblastoma,0
