CUI1,CUI2
"('Infection', 'C3714514')","('Vaginal Warty Carcinoma', 'C1519937')"
"('risk factors', 'C0035648')","('Warty Carcinoma of the Penis', 'C1337009')"
"('Tryptophanase', 'C0041260')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Diagnosis Study', 'C1704656')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Adult Glioblastoma', 'C0278878')","('Neural Glioblastoma', 'C3828832')"
"('Very Much', 'C2984081')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Comparison', 'C1707455')","('combined small cell carcinoma of lung', 'C1333125')"
"('site-specific telomere resolvase activity', 'C1622890')","('Advanced Small Intestinal Small Cell Neuroendocrine Carcinoma', 'C4744989')"
"('Have Been Vomiting', 'C3898969')","('Recurrent Childhood Giant Cell Glioblastoma', 'C3897753')"
"('One', 'C0205447')","('Refractory Pancreatic Neuroendocrine Carcinoma', 'C4527255')"
"('Glioblastoma Multiforme', 'C1621958')","('Glioblastoma by Gene Expression Profile', 'C3827194')"
"('Primary', 'C0205225')","('Metastatic Extraskeletal Myxoid Chondrosarcoma', 'C1708996')"
"('Skin, Human', 'C4520765')","('Histiocytosis, Langerhans-Cell', 'C0019621')"
"('Headache', 'C0018681')","('Mesenchymal Glioblastoma', 'C3829122')"
"('Tissue Donors', 'C0040288')","('Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative', 'C1292772')"
"('Short', 'C1806781')","('Platinum-Resistant Lung Small Cell Carcinoma', 'C4764254')"
"('Relationships', 'C0439849')","('Borderline Ovarian Clear Cell Adenofibroma with Intraepithelial Carcinoma', 'C1511259')"
"('Grade IV Childhood Astrocytic Neoplasm', 'C4551547')","('gliosarcoma', 'C0206726')"
"('Term (temporal)', 'C1515273')","('Pancreatic Large Cell Neuroendocrine Carcinoma', 'C2987239')"
"('Neuroectodermal Tumor, Primitive', 'C0206663')","('Refractory Pancreatic Neuroendocrine Carcinoma', 'C4527255')"
"('Often - answer to question', 'C4050225')","('Multifocal Glioblastomas', 'C2985170')"
"('Frequently', 'C0332183')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('Mitotic Activity', 'C1334779')","('Anaplastic Oligoastrocytoma', 'C0431108')"
"('Add - instruction imperative', 'C1883712')","('Thyroid Gland Black Follicular Adenoma', 'C4744476')"
"('Weight Loss, CTCAE', 'C2911645')","('Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7', 'C1336231')"
"('Sweat Glands', 'C0038989')","('Digital papillary eccrine carcinoma of skin', 'C1367789')"
"('Long', 'C0205166')","('Anaplastic Oligoastrocytoma', 'C0431108')"
"('Localized', 'C0392752')","('insulinoma', 'C0021670')"
"('Anatomic Site', 'C1515974')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('SPINK5 gene', 'C1423506')","('Metastatic Gastric Neuroendocrine Carcinoma', 'C4744983')"
"('Operative Surgical Procedures', 'C0543467')","('Uterine Corpus Carcinosarcoma', 'C1704376')"
"('Include (action)', 'C2700399')","('Childhood Glioblastoma', 'C0280474')"
"('More', 'C0205172')","('Recurrent Childhood Pilocytic Astrocytoma', 'C3897746')"
"('N not otherwise specified Antibody', 'C0369718')","('Digital papillary eccrine carcinoma of skin', 'C1367789')"
"('Representation (action)', 'C1882932')","('Stage II Thyroid Gland Papillary Carcinoma 55 Years and Older AJCC v8', 'C4683426')"
"('Block (unit of measure)', 'C2828370')","('Pancreatic Somatostatinoma', 'C1368041')"
"('Vomiting, CTCAE', 'C1963281')","('Childhood Gliosarcoma', 'C3899658')"
"('Ephrin Type-B Receptor 1, human', 'C3853572')","('Advanced Small Intestinal Neuroendocrine Carcinoma', 'C4744988')"
"('Occur (action)', 'C1709305')","('Metastatic Extraskeletal Myxoid Chondrosarcoma', 'C1708996')"
"('1000000', 'C1881839')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('Post', 'C0687676')","('combined small cell carcinoma of lung', 'C1333125')"
"('Cancer Registry', 'C0805443')","('Borderline Ovarian Endometrioid Cystadenofibroma', 'C1332595')"
"('Occurrence Indicator', 'C4284875')","('Secondary Supratentorial Anaplastic Astrocytoma', 'C1332288')"
"('Gastrointestinal Stromal Tumors', 'C0238198')","('Recurrent Pancreatic Neuroendocrine Carcinoma', 'C3897732')"
"('Age', 'C0001779')","('Recurrent Childhood Anaplastic Oligoastrocytoma', 'C3897760')"
"('Confirmation', 'C0750484')","('Borderline Ovarian Serous Adenofibroma', 'C1511266')"
"('Enneking Low Surgical Grade', 'C4553393')","('Anaplastic Oligoastrocytoma', 'C0431108')"
"('Name', 'C0027365')","('Adult Grade III Lymphomatoid Granulomatosis', 'C1541468')"
"('Therapeutic procedure', 'C0087111')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('Skin', 'C1123023')","('Urethral Verrucous Carcinoma', 'C1519827')"
"('Curative - procedure intent', 'C1276305')","('Platinum-Sensitive Lung Small Cell Carcinoma', 'C4764256')"
"('New', 'C0205314')","('Follicular Variant Thyroid Gland Papillary Carcinoma, Encapsulated Subtype with Invasion', 'C4745260')"
"('Very', 'C0442824')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Empty (qualifier)', 'C1880497')","('Intraductal Cribriform Breast Adenocarcinoma', 'C1334248')"
"('eTMF Content Model Code', 'C3889831')","('Borderline Ovarian Clear Cell Adenofibroma with Intraepithelial Carcinoma', 'C1511259')"
"('Often - answer to question', 'C4050225')","('Common wart', 'C0043037')"
"('SLC6A2 protein, human', 'C1456447')","('Advanced Gastric Neuroendocrine Carcinoma', 'C4744984')"
"('Therapeutic procedure', 'C0087111')","('Vulvar Warty Carcinoma', 'C1520102')"
"('Unknown', 'C0439673')","('Recurrent Childhood Gliosarcoma', 'C3897750')"
"('4+ Answer to question', 'C3838679')","('Refractory Lung Small Cell Carcinoma', 'C4743561')"
"('Neck of organ', 'C0921003')","('Laryngeal verrucous carcinoma', 'C0280328')"
"('Early', 'C1279919')","('Carcinosarcoma of ovary', 'C0392998')"
"('Progress', 'C1280477')","('Childhood Anaplastic Oligoastrocytoma', 'C3899676')"
"('Location', 'C0450429')","('Common wart', 'C0043037')"
"('Spreading (qualifier value)', 'C0332261')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Duct (organ) structure', 'C0687028')","('Digital papillary eccrine carcinoma of skin', 'C1367789')"
"('Financial Account', 'C2981730')","('Childhood Anaplastic Oligoastrocytoma', 'C3899676')"
"('Recombinant Insulin', 'C1533581')","('Somatostatinoma', 'C0037661')"
"('Science of Morphology', 'C0700619')","('Dedifferentiated Solitary Fibrous Tumor', 'C2699572')"
"('Annual', 'C0332181')","('Adult Anaplastic Astrocytoma', 'C0280483')"
"('Astrocytes', 'C0004112')","('Anaplastic Hemispheric Astrocytoma', 'C1332282')"
"('Five', 'C0205451')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('NCI CTEP SDC Cervical Cancer Sub-Category Terminology', 'C3539064')","('Vaginal Warty Carcinoma', 'C1519937')"
"('Presentation', 'C0449450')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Neoplasms', 'C0027651')","('Recurrent Childhood Gliosarcoma', 'C3897750')"
"('Gait normal', 'C0231683')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('Small cell carcinoma of lung', 'C0149925')","('Stage I Lung Small Cell Carcinoma AJCC v7', 'C1336482')"
"('Group A (blood group)', 'C4522145')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('Common Specifications in HL7 V3 Publishing', 'C3245511')","('Metastatic Digestive System Neuroendocrine Tumor G1', 'C3891404')"
"('combination of objects', 'C1947911')","('Platinum-Resistant Lung Small Cell Carcinoma', 'C4764254')"
"('Relationships', 'C0439849')","('Dedifferentiated Solitary Fibrous Tumor', 'C2699572')"
"('Multiple Endocrine Neoplasia Type 1', 'C0025267')","('Glucagonoma', 'C0017689')"
"('Glioblastoma Multiforme', 'C1621958')","('Cerebellar Glioblastoma', 'C1332899')"
"('Bands', 'C0175723')","('Clear Cell Variant Thyroid Gland Papillary Carcinoma', 'C1707410')"
"('include - SetOperator', 'C1552866')","('Brain Glioblastoma', 'C0349543')"
"('shared attribute', 'C1522138')","('Advanced Small Intestinal Neuroendocrine Carcinoma', 'C4744988')"
"('Tryptophanase', 'C0041260')","('Childhood Pilocytic Astrocytoma', 'C1332995')"
"('Mammary Gland Parenchyma', 'C1521747')","('Alveolar soft part sarcoma metastatic', 'C0855036')"
"('Papillary thyroid carcinoma', 'C0238463')","('Tall Cell Variant Thyroid Gland Papillary Carcinoma', 'C1336695')"
"('Discover', 'C1880355')","('Papillary serous cystadenocarcinoma', 'C0206701')"
"('Beginning', 'C0439659')","('Classical Glioblastoma', 'C3827253')"
"('Unknown GENC', 'C4050014')","('Childhood Glioblastoma', 'C0280474')"
"('Intention - mental process', 'C0162425')","('Combined Lung Small Cell Carcinoma and Lung Adenocarcinoma', 'C1332165')"
"('combination - answer to question', 'C3811910')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Object Class', 'C1518526')","('Anaplastic Hemispheric Astrocytoma', 'C1332282')"
"('LATS1 wt Allele', 'C1705714')","('Common wart', 'C0043037')"
"('Water', 'C0043047')","('Digital papillary eccrine carcinoma of skin', 'C1367789')"
"('Cells', 'C0007634')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('shared attribute', 'C1522138')","('Metastatic Digestive System Neuroendocrine Tumor G1', 'C3891404')"
"('shared attribute', 'C1522138')","('Recurrent Merkel Cell Carcinoma', 'C0935808')"
"('Formation', 'C1522492')","('Recurrent Childhood Pilocytic Astrocytoma', 'C3897746')"
"('Medications:Presence or Identity:Duration of the study:^Patient:Nominal', 'C0802604')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Common (qualifier value)', 'C0205214')","('Advanced Gastric Large Cell Neuroendocrine Carcinoma', 'C4744985')"
"('Malignant neoplasm of skin', 'C0007114')","('Carcinosarcoma of ovary', 'C0392998')"
"('Detected (finding)', 'C0442726')","('High Grade Ductal Breast Carcinoma In Situ', 'C1334002')"
"('Specimen Source Codes - tumor', 'C1578706')","('Perivascular epithelioid tumor, malignant', 'C3839062')"
"('Malignant tumor of cervix', 'C0007847')","('Cervical Warty Carcinoma', 'C1516436')"
"('Staphylococcal Protein A', 'C0038164')","('Cerebellar Glioblastoma', 'C1332899')"
"('Science of Etiology', 'C1524003')","('Recurrent Childhood Anaplastic Oligodendroglioma', 'C3897759')"
"('Visual Impairment', 'C3665347')","('Anaplastic Brain Stem Astrocytoma', 'C1332279')"
"('lymph nodes', 'C0024204')","('Histiocytosis, Langerhans-Cell', 'C0019621')"
"('lobe', 'C0796494')","('Clear Cell Variant Thyroid Gland Papillary Carcinoma', 'C1707410')"
"('Healthy', 'C3898900')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Often - answer to question', 'C4050225')","('Advanced Gastric Neuroendocrine Carcinoma', 'C4744984')"
"('Genes', 'C0017337')","('Intraductal Cribriform Breast Adenocarcinoma', 'C1334248')"
"('Pitch (deviation)', 'C1704634')","('Laryngeal verrucous carcinoma', 'C0280328')"
"('gastrointestinal', 'C0521362')","('Small cell lung cancer extensive stage', 'C0278726')"
"('Type - attribute', 'C0332307')","('Glioblastoma, IDH-Mutant', 'C1519214')"
"('Genus Anemia', 'C1000483')","('Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative', 'C1292772')"
"('Primary malignant neoplasm', 'C1306459')","('Childhood Gliosarcoma', 'C3899658')"
"('Order (record artifact)', 'C4284072')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('Connection', 'C0449379')","('Clear Cell Variant Thyroid Gland Papillary Carcinoma', 'C1707410')"
"('Verrucous carcinoma of oral cavity', 'C0280306')","('Verrucous carcinoma of penis', 'C1336955')"
"('Neurofibromatosis 1', 'C0027831')","('Juvenile Pilocytic Astrocytoma', 'C0280783')"
"('Mammal liver preparation', 'C3486713')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('20%', 'C3842589')","('Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative', 'C1292772')"
"('Feature', 'C2348519')","('Combined Lung Large Cell Neuroendocrine Carcinoma', 'C1333122')"
"('Endocrine Gland Neoplasms', 'C0014132')","('Malignant Pancreatic Vipoma', 'C1881586')"
"('Brain Neoplasms', 'C0006118')","('Anaplastic Brain Stem Astrocytoma', 'C1332279')"
"('Benign', 'C0205183')","('Childhood Glioblastoma', 'C0280474')"
"('How Much Distress Itching', 'C4085219')","('Adult Grade III Lymphomatoid Granulomatosis', 'C1541468')"
"('Distributing', 'C0520511')","('Digital papillary eccrine carcinoma of skin', 'C1367789')"
"('Obese build', 'C0424612')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('Primary operation', 'C0439631')","('Chondroblastic osteosarcoma', 'C0279603')"
"('Interpretation Process', 'C0459471')","('Thyroid Gland Black Follicular Adenoma', 'C4744476')"
"('Study Control', 'C4553389')","('Glioblastoma with Primitive Neuronal Component', 'C4289034')"
"('Frequently', 'C0332183')","('Advanced Gastric Neuroendocrine Carcinoma', 'C4744984')"
"('3+ Score', 'C2827736')","('Platinum-Resistant Lung Small Cell Carcinoma', 'C4764254')"
"('Location of Pharyngeal Residue Following Swallowing', 'C4284930')","('Childhood Giant Cell Glioblastoma', 'C3899659')"
"('Singular', 'C0205171')","('Pancreatic Somatostatinoma', 'C1368041')"
"('Papillary thyroid carcinoma', 'C0238463')","('Papillary thyroid carcinoma', 'C0238463')"
"('Decision', 'C0679006')","('Recurrent Childhood Anaplastic Astrocytoma', 'C3897762')"
"('per year', 'C0439508')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Early', 'C1279919')","('Warty Carcinoma of the Penis', 'C1337009')"
"('+2', 'C0740116')","('Pancreatic Gastrin-Producing Neuroendocrine Tumor', 'C1368066')"
"('Science of Statistics', 'C0038215')","('Cystadenofibroma', 'C0334317')"
"('Stem of Organ', 'C1186763')","('Dedifferentiated Solitary Fibrous Tumor', 'C2699572')"
"('Thin (qualifier value)', 'C0205168')","('Vaginal Warty Carcinoma', 'C1519937')"
"('Median (qualifier value)', 'C2939193')","('Gastric Carcinoid Tumor', 'C0349529')"
"('Metastatic to', 'C0036525')","('Locally Advanced Epithelioid Hemangioendothelioma', 'C4687513')"
"('Screening Study', 'C2348164')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Main', 'C1542147')","('Adenoma, Sweat Gland', 'C0019522')"
"('Used by', 'C1273517')","('Oncocytic Variant Thyroid Gland Papillary Carcinoma', 'C1709312')"
"('Associated topography', 'C2945842')","('Platinum-Resistant Lung Small Cell Carcinoma', 'C4764254')"
"('Resulting in', 'C0332294')","('Carcinosarcoma of ovary', 'C0392998')"
"('Manufactured form', 'C0376315')","('verrucous carcinoma of vagina', 'C1336944')"
"('Most', 'C0205393')","('Anaplastic Hemispheric Astrocytoma', 'C1332282')"
"('Malignant Neoplasms', 'C0006826')","('Childhood Brain Glioblastoma', 'C4554065')"
"('Fibroid Tumor', 'C0023267')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('Stage Grouping', 'C1519504')","('insulinoma', 'C0021670')"
"('Gender', 'C0079399')","('Metastatic Prostate Small Cell Carcinoma', 'C4763838')"
"('Body Excretions', 'C0504085')","('Digital papillary eccrine carcinoma of skin', 'C1367789')"
"('Optic Nerve Glioma', 'C0346326')","('Childhood Pilocytic Astrocytoma', 'C1332995')"
"('Progress', 'C1280477')","('Childhood Brain Stem Gliosarcoma', 'C3887517')"
"('Coding', 'C0009219')","('Oncocytic Variant Thyroid Gland Papillary Carcinoma', 'C1709312')"
"('Immature', 'C0205252')","('Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative', 'C1292772')"
"('How Often Felt Normal question', 'C4553972')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('Time (foundation metadata concept)', 'C3541383')","('Dedifferentiated Solitary Fibrous Tumor', 'C2699572')"
"('Including (qualifier)', 'C0332257')","('MGMT-Unmethylated Glioblastoma', 'C4330601')"
"('Leukocytes', 'C0023516')","('Leukemia, Myeloid, Chronic-Phase', 'C0023474')"
"('Endocrine', 'C0521425')","('Clear Cell Variant Thyroid Gland Papillary Carcinoma', 'C1707410')"
"('Histopathologic Grade', 'C0919553')","('Anaplastic Hemispheric Astrocytoma', 'C1332282')"
"('Tissue Specimen Code', 'C1547928')","('Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7', 'C1336231')"
"('Neoplasms', 'C0027651')","('Metastatic Extraskeletal Myxoid Chondrosarcoma', 'C1708996')"
"('Nearly', 'C3828842')","('Somatostatinoma', 'C0037661')"
"('physiologic resolution', 'C1514893')","('Common wart', 'C0043037')"
"('Mammography', 'C0024671')","('High Grade Ductal Breast Carcinoma In Situ', 'C1334002')"
"('To', 'C1883351')","('Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative', 'C1292772')"
"('Manufactured form', 'C0376315')","('Papillary serous cystadenocarcinoma', 'C0206701')"
"('Symptoms aspect', 'C0683368')","('Secondary Supratentorial Anaplastic Astrocytoma', 'C1332288')"
"('Abnormal shape', 'C0332482')","('Histiocytosis, Langerhans-Cell', 'C0019621')"
"('neoplasm classification', 'C0920604')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('Negation', 'C1518422')","('Recurrent Childhood Anaplastic Oligoastrocytoma', 'C3897760')"
"('Tumor grade G3', 'C0475271')","('Anaplastic Oligodendroglioma', 'C0280790')"
"('Qualitative form', 'C0348078')","('Secondary Supratentorial Anaplastic Astrocytoma', 'C1332288')"
"('Pet Health', 'C1456682')","('Refractory Pancreatic Neuroendocrine Carcinoma', 'C4527255')"
"('detail - Response Level', 'C1561567')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Pregnancy', 'C0032961')","('Human Papillomavirus-Related Verrucous Carcinoma', 'C1334058')"
"('Much', 'C4281574')","('Adenoma, Sweat Gland', 'C0019522')"
"('Primary malignant neoplasm', 'C1306459')","('verrucous carcinoma of bladder', 'C1511208')"
"('Postmenopausal state', 'C0232970')","('Urethral Verrucous Carcinoma', 'C1519827')"
"('intent', 'C1283828')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('Linear', 'C0205132')","('High Grade Ductal Breast Carcinoma In Situ', 'C1334002')"
"('Formation', 'C1522492')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Morning', 'C0332170')","('Childhood Gliosarcoma', 'C3899658')"
"('Decision', 'C0679006')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('Further', 'C1517331')","('Cervical Warty Carcinoma', 'C1516436')"
"('How Often Sweats', 'C4085205')","('Adult Grade III Lymphomatoid Granulomatosis', 'C1541468')"
"('Persons', 'C0027361')","('Uterine Corpus Carcinosarcoma', 'C1704376')"
"('How Often Weight Loss', 'C4084776')","('Glucagonoma', 'C0017689')"
"('Progress', 'C1280477')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)', 'C1137110')","('Oncocytic Variant Thyroid Gland Papillary Carcinoma', 'C1709312')"
"('Small cell carcinoma of lung', 'C0149925')","('Small cell carcinoma of lung', 'C0149925')"
"('Carcinoma of lung', 'C0684249')","('Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7', 'C1336231')"
"('Occur (action)', 'C1709305')","('Metastatic Digestive System Neuroendocrine Tumor G1', 'C3891404')"
"('% Ercs', 'C0439179')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Medications:Presence or Identity:Duration of the study:^Patient:Nominal', 'C0802604')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('Biliary calculi', 'C0242216')","('Pancreatic Somatostatinoma', 'C1368041')"
"('Genetic Inheritance', 'C0728826')","('Anaplastic Oligodendroglioma', 'C0280790')"
"('Free-floating', 'C0443223')","('Epithelioid glioblastoma', 'C4289580')"
"('Significant', 'C0750502')","('Adult Gliosarcoma', 'C1541317')"
"('Determined by', 'C0521095')","('High Grade Ductal Breast Carcinoma In Situ', 'C1334002')"
"('Age', 'C0001779')","('Papillary serous cystadenocarcinoma', 'C0206701')"
"('Chemotherapy', 'C3665472')","('Metastatic Lung Small Cell Carcinoma', 'C4744563')"
"('Morphology', 'C0332437')","('Borderline Ovarian Endometrioid Cystadenofibroma', 'C1332595')"
"('Significant', 'C0750502')","('Refractory Pancreatic Neuroendocrine Carcinoma', 'C4527255')"
"('Deterioration of status', 'C1279889')","('Recurrent Childhood Anaplastic Oligodendroglioma', 'C3897759')"
"('Togo', 'C0040363')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Non-invasive', 'C0205303')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('Skeletal bone', 'C0262950')","('Locally Advanced Epithelioid Hemangioendothelioma', 'C4687513')"
"('Common (qualifier value)', 'C0205214')","('Papillary serous cystadenocarcinoma', 'C0206701')"
"('Tissue Specimen Code', 'C1547928')","('Intraductal Cribriform Breast Adenocarcinoma', 'C1334248')"
"('Glioblastoma Multiforme Pathway', 'C2984291')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('Person Name', 'C1547383')","('verrucous carcinoma of bladder', 'C1511208')"
"('cell growth', 'C0007595')","('Leukemia, Myeloid, Chronic-Phase', 'C0023474')"
"('Symptoms', 'C1457887')","('Childhood Brain Glioblastoma', 'C4554065')"
"('How Often Vomiting', 'C4084769')","('Childhood Brain Glioblastoma', 'C4554065')"
"('Body tissue', 'C0040300')","('Cervical Warty Carcinoma', 'C1516436')"
"('Source (property) (qualifier value)', 'C4521696')","('Urethral Verrucous Carcinoma', 'C1519827')"
"('Virus', 'C0042776')","('Common wart', 'C0043037')"
"('How Often Nausea', 'C4084796')","('Multifocal Glioblastomas', 'C2985170')"
"('Blast Cell', 'C0368761')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('Domain (area of knowledge)', 'C1880389')","('Dedifferentiated Solitary Fibrous Tumor', 'C2699572')"
"('Type A', 'C4264487')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('Representation (action)', 'C1882932')","('Adenoma, Sweat Gland', 'C0019522')"
"('Including (qualifier)', 'C0332257')","('Bladder squamous cell carcinoma stage 0', 'C0855187')"
"('various other intestinal adsorbents in ATC', 'C3540769')","('Recurrent Childhood Anaplastic Astrocytoma', 'C3897762')"
"('Location of Oral Residue Following Swallowing', 'C4284931')","('Anaplastic Hemispheric Astrocytoma', 'C1332282')"
"('Neuroendocrine Tumors', 'C0206754')","('Advanced Gastric Large Cell Neuroendocrine Carcinoma', 'C4744985')"
"('Cystic', 'C0205207')","('Childhood Pilocytic Astrocytoma', 'C1332995')"
"('Limb structure', 'C0015385')","('Recurrent Merkel Cell Carcinoma', 'C0935808')"
"('Current (present time)', 'C0521116')","('Cystadenofibroma', 'C0334317')"
"('2+', 'C3833492')","('Pancreatic Gastrin-Producing Neuroendocrine Tumor', 'C1368066')"
"('Sequence Data Type', 'C3272378')","('Oncocytic Variant Thyroid Gland Papillary Carcinoma', 'C1709312')"
"('% volume (qualifier value)', 'C1690016')","('Laryngeal verrucous carcinoma', 'C0280328')"
"('Myelodysplastic Syndrome, CTCAE', 'C4552879')","('Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative', 'C1292772')"
"('Occurrence Indicator', 'C4284875')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Spreading (qualifier value)', 'C0332261')","('Recurrent Childhood Anaplastic Astrocytoma', 'C3897762')"
"('Ultrastructure', 'C0041623')","('Carcinosarcoma of ovary', 'C0392998')"
