CUI1,CUI2
"('Present', 'C0150312')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('Autosome', 'C0596142')","('Ichthyoses', 'C0020757')"
"('Relational and Item-Specific Encoding Task', 'C4321377')","('Refractory Barrett Esophagus', 'C4763736')"
"('Removal of bladder', 'C3496631')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('How Often Vomiting', 'C4084769')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Rare', 'C0522498')","('mucinous adenocarcinoma of gallbladder', 'C1333750')"
"('Skin Specimen', 'C0444099')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Inhibition', 'C3463820')","('Unresectable Rhabdomyosarcoma', 'C4726599')"
"('Common Specifications in HL7 V3 Publishing', 'C3245511')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Part of', 'C1292711')","('Adenocarcinoma of the prostate metastatic', 'C0862636')"
"('Bacteria', 'C0004611')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('Occurrence', 'C2745955')","('Malignant melanoma of eyelid', 'C0339116')"
"('Dangerousness', 'C0010968')","('Malignant melanoma of eyelid', 'C0339116')"
"('Laminar', 'C0205274')","('Adult Fibrolamellar Carcinoma', 'C3900102')"
"('Five-year Survival Rate', 'C2986537')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('per year', 'C0439508')","('Malignant Testicular Sertoli Cell Tumor', 'C1334626')"
"('Third', 'C0205437')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Common Specifications in HL7 V3 Publishing', 'C3245511')","('Refractory Barrett Esophagus', 'C4763736')"
"('Screening Study', 'C2348164')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Tissue Specimen Code', 'C1547928')","('Intestinal Neuroendocrine Carcinoma', 'C3272530')"
"('Symptoms aspect', 'C0683368')","('Choroid Necrotic Melanoma', 'C1333026')"
"('Woman', 'C0043210')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Sometimes', 'C1998882')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Experimental Result', 'C2825142')","('Thymic Clear Cell Carcinoma', 'C1333069')"
"('Tumor cells, uncertain whether benign or malignant', 'C0431085')","('Intestinal Neuroendocrine Carcinoma', 'C3272530')"
"('Occurrence', 'C2745955')","('Contact dermatitis due to alkali', 'C0263266')"
"('Involvement with', 'C1314939')","('mucinous adenocarcinoma of gallbladder', 'C1333750')"
"('Age', 'C0001779')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('500', 'C3816747')","('Neonatal leukemia', 'C0235813')"
"('Diagnosis', 'C0011900')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Cells panel', 'C2924219')","('Heavy Chain Deposition Disease', 'C1333947')"
"('NCI CTEP SDC Ewing Sarcoma Sub-Category Terminology', 'C3541889')","('Localized Askin Tumor', 'C1321778')"
"('Biomaterial Treatment', 'C1705169')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Choose (action)', 'C1707391')","('Breast Ductal Adenoma', 'C1511307')"
"('Cell Count', 'C0007584')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Gram per Deciliter', 'C0439267')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Evidence', 'C3887511')","('Heavy Chain Deposition Disease', 'C1333947')"
"('Term (lexical)', 'C1705313')","('Cartilaginous exostosis', 'C0029423')"
"('Abnormal Reference Range', 'C2699333')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('radiotherapeutic', 'C0034619')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Times', 'C1632851')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Collection (action)', 'C1516698')","('Liver Cavernous Hemangioma', 'C0238246')"
"('Subtype (attribute)', 'C0449560')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Endothelium', 'C0014257')","('Angiosarcoma of liver', 'C0345907')"
"('Telephone Extension Number', 'C1880641')","('Leptomeningeal sarcoma', 'C1384416')"
"('Spreading (qualifier value)', 'C0332261')","('Granular Cell Leiomyosarcoma', 'C1333871')"
"('Usual Severity Weight Loss', 'C4084775')","('Stage IB Lung Cancer AJCC v7', 'C1336138')"
"('vascular inflammations', 'C0947751')","('Acute lymphadenitis', 'C0157705')"
"('Divide', 'C0332849')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Progress', 'C1280477')","('Choroid Necrotic Melanoma', 'C1333026')"
"('Encode (action)', 'C2700640')","('BRCA2 Syndrome', 'C1332443')"
"('Used by', 'C1273517')","('Testicular cancer metastatic', 'C1096715')"
"('High', 'C0205250')","('BRCA2 Syndrome', 'C1332443')"
"('Test Result', 'C0456984')","('Benign Carotid Body Paraganglioma', 'C2698359')"
"('Chemotherapy', 'C3665472')","('Malignant melanoma of eyelid', 'C0339116')"
"('Benign Neoplasm', 'C0086692')","('Benign Carotid Body Paraganglioma', 'C2698359')"
"('Patient Reported Outcome Stem', 'C4553151')","('Intracortical osteosarcoma', 'C1266166')"
"('Fatigue', 'C0015672')","('Stage I Adult Non-Hodgkin Lymphoma', 'C0280114')"
"('Cosmetics', 'C0010164')","('Maxillary Sinus Adenocarcinoma', 'C1334642')"
"('Negation', 'C1518422')","('Liver Cavernous Hemangioma', 'C0238246')"
"('Back structure, including back of neck', 'C0460009')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Specimen Source Codes - Tube', 'C1547937')","('Grade 1 Clear Cell Renal Cell Carcinoma', 'C1333829')"
"('Benign condition', 'C3280470')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Diagnosis Study', 'C1704656')","('Uterine Cancer', 'C0153567')"
"('Graph Node', 'C2697524')","('Tonsillar Carcinoma', 'C0558355')"
"('Skin, Human', 'C4520765')","('Malignant melanoma of eyelid', 'C0339116')"
"('Suspected qualifier', 'C0750491')","('Uterine Cancer', 'C0153567')"
"('Carcinoma of bladder', 'C0699885')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Channel', 'C0439799')","('Adult Alveolar Soft Part Sarcoma', 'C0279544')"
"('Cancer Genus', 'C0998265')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Anatomic Structure, System, or Substance', 'C1515976')","('Benign neoplasm of thorax', 'C0346440')"
"('Show', 'C1547282')","('squamous cell carcinoma of the thyroid gland', 'C1710177')"
"('Time', 'C0040223')","('Leptomeningeal sarcoma', 'C1384416')"
"('various antiinfectives and antiseptics for local oral treatment', 'C3540008')","('Extra-Adrenal Paraganglioma', 'C0030422')"
"('Term (temporal)', 'C1515273')","('Granular Cell Leiomyosarcoma', 'C1333871')"
"('Back structure, excluding neck', 'C1995000')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Compleat Liquid Nutrition', 'C0725685')","('Carcinoma of urinary bladder, superficial', 'C1336527')"
"('Hematologic Tests', 'C0018941')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Malignant Central Nervous System Neoplasm', 'C0348374')","('Refractory Glioma', 'C4687707')"
"('analysis aspect', 'C1524024')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('To', 'C1883351')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('Papule', 'C0332563')","('Spongiotic dermatitis', 'C0262984')"
"('Bounded by', 'C0332297')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Patients', 'C0030705')","('Tonsillar Carcinoma', 'C0558355')"
"('Times', 'C1632851')","('Cancer of Urinary Tract', 'C0751571')"
"('Vomiting, CTCAE', 'C1963281')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Molecular Mass', 'C3152252')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('Carcinoma, Endometrioid', 'C0206687')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Overall', 'C1561607')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('Extension', 'C0231448')","('Leptomeningeal sarcoma', 'C1384416')"
"('KIAA1549L gene', 'C1824309')","('Pilocytic astrocytoma of cerebellum', 'C0349620')"
"('Published Comment', 'C0282411')","('Refractory Barrett Esophagus', 'C4763736')"
"('International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)', 'C1137110')","('Secondary malignant neoplasm of lymph node', 'C0686619')"
"('Adenocarcinoma', 'C0001418')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('Cancer Remission', 'C0687702')","('Primary Cutaneous Plasmablastic Lymphoma', 'C1709659')"
"('More', 'C0205172')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('Dilated', 'C0700124')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Aspects of disease screening', 'C0220909')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Persons', 'C0027361')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Persons', 'C0027361')","('Adult Hepatocellular Carcinoma', 'C0279607')"
"('As Much as Desired', 'C1879743')","('Malignant Neoplasm of Lung - Multiple Primary Sites', 'C4528576')"
"('diagnosis aspect', 'C1704338')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Lymphoid Tissue', 'C0024296')","('Methotrexate-Associated Hodgkin Lymphoma', 'C1334748')"
"('Group A (qualifier value)', 'C0441835')","('Intestinal Neuroendocrine Carcinoma', 'C3272530')"
"('Precancerous Conditions', 'C0032927')","('Secondary malignant neoplasm of lymph node', 'C0686619')"
"('Official', 'C2347387')","('BRCA2 Syndrome', 'C1332443')"
"('Array Feature', 'C1706388')","('Blepharal carcinoma', 'C0920196')"
"('Present', 'C0150312')","('Tonsillar Carcinoma', 'C0558355')"
"('Tobacco smoking behavior', 'C0453996')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('Time (foundation metadata concept)', 'C3541383')","('GIANT PIGMENTED HAIRY NEVUS', 'C1842036')"
"('Pharmaceutical Preparations', 'C0013227')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Pharmaceutical Preparations', 'C0013227')","('de novo Myelodysplastic Syndrome', 'C0280451')"
"('Regulation', 'C0851285')","('Collecting Duct Carcinoma of the Kidney', 'C1266044')"
"('Subject Risk', 'C4552904')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('High', 'C0205250')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Pelvic Pain', 'C0030794')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Area', 'C0205146')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('More', 'C0205172')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Science of Etiology', 'C1524003')","('Spongiotic dermatitis', 'C0262984')"
"('Tissue Specimen Code', 'C1547928')","('Stage III Gastric Neuroendocrine Tumor AJCC v8', 'C4525587')"
"('Type - attribute', 'C0332307')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Uncontrolled', 'C0205318')","('Stage IB Lung Cancer AJCC v7', 'C1336138')"
"('Cell (compartment)', 'C1948049')","('Breast Ductal Adenoma', 'C1511307')"
"('Linear', 'C0205132')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Meibomian Cyst', 'C0007933')","('Benign Apocrine Neoplasm', 'C1332473')"
"('Occur (action)', 'C1709305')","('Childhood Central Nervous System Immature Teratoma', 'C1332954')"
"('Feature', 'C2348519')","('Blepharal carcinoma', 'C0920196')"
"('Continuance of life', 'C0038952')","('adenoid cystic carcinoma of lung', 'C1334439')"
"('Increased', 'C0205217')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('Feel Tired question', 'C3539029')","('Malignant Neoplasm with Regional Lymph Node Involvement', 'C1332837')"
"('In Blood', 'C0005768')","('Liver Cavernous Hemangioma', 'C0238246')"
"('Manufactured form', 'C0376315')","('Malignant neoplasm of thalamus', 'C0346902')"
"('Broken skin', 'C0150077')","('Malignant melanoma of eyelid', 'C0339116')"
"('Hematochezia', 'C0018932')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Administration procedure', 'C1533734')","('Maxillary Sinus Adenocarcinoma', 'C1334642')"
"('Adult Lymphoma', 'C1332206')","('Stage I Adult Non-Hodgkin Lymphoma', 'C0280114')"
"('Approximate', 'C0332232')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Seed entity', 'C2346495')","('Extracranial Neuroblastoma', 'C1333499')"
"('Country number', 'C3176933')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Chemotherapy Regimen', 'C0392920')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('TP53 gene', 'C0079419')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Qualitative form', 'C0348078')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('Qualitative form', 'C0348078')","('Adult Fibrolamellar Carcinoma', 'C3900102')"
"('Physical findings', 'C0311392')","('Malignant melanoma of eyelid', 'C0339116')"
"('Valid', 'C2349099')","('Noninfiltrating Intraductal Carcinoma', 'C0007124')"
"('Illness: Cannot describe symptoms', 'C0424596')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Usual', 'C3538928')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Approximate', 'C0332232')","('Localized Askin Tumor', 'C1321778')"
"('Definitely Related to Intervention', 'C1704787')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Maybe', 'C3844350')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Thyroid carcinoma', 'C0549473')","('papillary carcinoma of penis', 'C1335322')"
"('International Classification of Diseases for Oncology, Second Edition', 'C2828257')","('Intracortical osteosarcoma', 'C1266166')"
"('Surgical aspects', 'C0038895')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('Room of building - Study', 'C0557651')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Interferes with', 'C0521102')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Variable (uniformity)', 'C0439828')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Visible', 'C0205379')","('Maxillary Sinus Adenocarcinoma', 'C1334642')"
"('NCI CTEP SDC Hodgkin Lymphoma Sub-Category Terminology', 'C3541281')","('Childhood Lymphoma', 'C1332979')"
"('Malignant neoplasm of kidney', 'C0740457')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Mixed Tumor, Not Otherwise Specified', 'C4049618')","('Carcinoma ex pleomorphic adenoma of parotid gland', 'C1335356')"
"('Metastatic Neoplasm', 'C2939420')","('Familial Adenomatous Polyposis Associated Medulloblastoma', 'C1333598')"
"('Usually', 'C3888388')","('Malignant Neoplasm with Regional Lymph Node Involvement', 'C1332837')"
"('Intergroup Rhabdomyosarcoma Clinical Group Extent of Disease', 'C4553144')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Meaning', 'C0876919')","('Granular Cell Leiomyosarcoma', 'C1333871')"
"('Pharmacotherapy', 'C0013216')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Biomaterial Treatment', 'C1705169')","('Adult Hepatocellular Carcinoma', 'C0279607')"
"('Project', 'C1709701')","('Advanced Uterine Corpus Carcinosarcoma', 'C4764211')"
"('Call (Instruction)', 'C1947967')","('Adenocarcinoma of the prostate metastatic', 'C0862636')"
"('/40', 'C0439509')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('Pelvis', 'C0030797')","('Localized Askin Tumor', 'C1321778')"
"('Diabetes Mellitus, Non-Insulin-Dependent', 'C0011860')","('Uterine Cancer', 'C0153567')"
"('Stat (do immediately)', 'C0205548')","('Unfavorable Non-Hodgkin Lymphoma', 'C2349020')"
"('Pediculus (eukaryote)', 'C0030760')","('Noninfiltrating Intraductal Carcinoma', 'C0007124')"
"('Endometrial Carcinoma', 'C0476089')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Blood group A (finding)', 'C0427620')","('Malignant Neoplasm with Regional Lymph Node Involvement', 'C1332837')"
"('ovarian', 'C0205065')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Tumor cells, malignant', 'C0334227')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('60%', 'C3842585')","('Unfavorable Non-Hodgkin Lymphoma', 'C2349020')"
"('Togo', 'C0040363')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('Inflammatory Breast Carcinoma', 'C0278601')","('Female Breast Carcinoma', 'C0007104')"
"('Biological Response Modifier Therapy', 'C0005527')","('Malignant melanoma of eyelid', 'C0339116')"
"('Occur (action)', 'C1709305')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Rest', 'C0035253')","('Colorectal Neuroendocrine Tumor G2', 'C3272614')"
"('Formation', 'C1522492')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Togo', 'C0040363')","('benign mature teratoma of pancreas', 'C2063869')"
"('cancer classification', 'C0920410')","('Female Breast Carcinoma', 'C0007104')"
"('Usual', 'C3538928')","('Breast Ductal Adenoma', 'C1511307')"
"('Sweat', 'C0038984')","('Methotrexate-Associated Hodgkin Lymphoma', 'C1334748')"
"('Spindle', 'C1166795')","('Giant cell angiofibroma', 'C1367539')"
"('Formation', 'C1522492')","('Mucinous neoplasm', 'C1334811')"
"('cervical cancer', 'C4048328')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('MM genotype', 'C4554674')","('Deep Leiomyoma', 'C1333266')"
"('Exposure to', 'C0332157')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Treating', 'C1522326')","('Metastatic Carcinoma in the Lung', 'C0238254')"
"('Skin Specimen', 'C0444099')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Nuclear hyperchromasia', 'C3670547')","('Angiosarcoma of liver', 'C0345907')"
"('Intestines, Small', 'C0021852')","('Leiomyoma of Gallbladder', 'C1333745')"
"('aspects of adverse effects', 'C0001688')","('Breast Ductal Adenoma', 'C1511307')"
"('Europe', 'C0015176')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('suggestion', 'C1705535')","('Clonal Hematopoiesis of Indeterminate Potential', 'C4761612')"
"('shared attribute', 'C1522138')","('Recurrent Uveal Melanoma', 'C0278870')"
"('shared attribute', 'C1522138')","('Malignant Neoplasm with Regional Lymph Node Involvement', 'C1332837')"
"('2+', 'C3833492')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Bound (value)', 'C2349209')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('To', 'C1883351')","('Hemangioma, Cavernous, Central Nervous System', 'C0752160')"
"('First (number)', 'C0205435')","('Acute Undifferentiated Leukemia', 'C0280141')"
"('Polyp of large intestine', 'C0949059')","('Colorectal Mucin Poor Hyperplastic Polyp', 'C3272799')"
"('Sweating', 'C0038990')","('Methotrexate-Associated Hodgkin Lymphoma', 'C1334748')"
"('Cardiac Arrest', 'C0018790')","('Unresectable Rhabdomyosarcoma', 'C4726599')"
"('shared attribute', 'C1522138')","('Colorectal Neuroendocrine Tumor G2', 'C3272614')"
"('About The Same', 'C2346711')","('Recurrent Testicular Lymphoma', 'C4527330')"
"('Cause of death:Find:Pt:^Patient:Nom', 'C4050444')","('Adult Hepatocellular Carcinoma', 'C0279607')"
"('Including (qualifier)', 'C0332257')","('Intracortical osteosarcoma', 'C1266166')"
"('Breathing Distress Question', 'C4084858')","('Larynx carcinoma recurrent', 'C0863183')"
"('Feel Pain', 'C4554132')","('Localized Askin Tumor', 'C1321778')"
"('Thyroid carcinoma', 'C0549473')","('squamous cell carcinoma of the thyroid gland', 'C1710177')"
"('Surgery specialty', 'C0038894')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Foot', 'C0016504')","('Cartilaginous exostosis', 'C0029423')"
"('operate <remove>', 'C3244314')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('radiotherapeutic', 'C0034619')","('Bladder squamous cell carcinoma stage I', 'C0855188')"
"('Removing (action)', 'C1883720')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('Liver and Intrahepatic Biliary Tract Carcinoma', 'C0279000')","('Adult Hepatocellular Carcinoma', 'C0279607')"
"('Negative Surgical Margin', 'C1709157')","('Thymic Clear Cell Carcinoma', 'C1333069')"
"('Geographic Locations', 'C0017446')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Symptoms aspect', 'C0683368')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Removed', 'C0849355')","('Stage IB Pancreatic Cancer AJCC v8', 'C4521874')"
"('Usual', 'C3538928')","('Female Breast Carcinoma', 'C0007104')"
"('Decrease', 'C0547047')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('ASIP protein, human', 'C1528298')","('Adult Alveolar Soft Part Sarcoma', 'C0279544')"
"('health and disease', 'C0679215')","('Leptomeningeal sarcoma', 'C1384416')"
"('NCI CTEP SDC Basal Cell Carcinoma Sub-Category Terminology', 'C3540686')","('Testicular cancer metastatic', 'C1096715')"
"('Screening procedure', 'C0220908')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Neuroendocrine Tumors', 'C0206754')","('Benign Carotid Body Paraganglioma', 'C2698359')"
"('Skeletal bone', 'C0262950')","('Adult Alveolar Soft Part Sarcoma', 'C0279544')"
"('Return to (contextual qualifier) (qualifier value)', 'C0332156')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('Upper urinary tract structure', 'C0729865')","('Colorectal cancer, hereditary nonpolyposis, type 1', 'C2936783')"
"('80%', 'C3842583')","('Refractory Glioma', 'C4687707')"
"('Type - attribute', 'C0332307')","('Pancreatic Intraepithelial Neoplasia-3', 'C2987145')"
"('Type - attribute', 'C0332307')","('Hodgkin lymphoma, nodular sclerosis, cellular phase', 'C0334627')"
"('Small cell carcinoma of lung', 'C0149925')","('adenosquamous carcinoma of breast', 'C1510796')"
"('risk factors - observation list', 'C1553898')","('Cancer of Urinary Tract', 'C0751571')"
"('Malignant Cell Count', 'C2698007')","('Heavy Chain Deposition Disease', 'C1333947')"
"('Fishes', 'C0016163')","('Ichthyosis, X-Linked', 'C0079588')"
"('biopsy characteristics', 'C0220797')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Monitoring - action', 'C1283169')","('Mucinous neoplasm', 'C1334811')"
"('Building process', 'C1547706')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Image Feature', 'C2346469')","('Colorectal Neuroendocrine Tumor G2', 'C3272614')"
"('Liver Flavor', 'C2346688')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Tube - unit dose', 'C1704474')","('Grade 1 Clear Cell Renal Cell Carcinoma', 'C1333829')"
"('Three', 'C0205449')","('Advanced Uterine Corpus Carcinosarcoma', 'C4764211')"
"('Common (qualifier value)', 'C0205214')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('status - In progress', 'C1272688')","('Choroid Necrotic Melanoma', 'C1333026')"
"('Overall', 'C1561607')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Present', 'C0150312')","('BRCA2 Syndrome', 'C1332443')"
"('Resulting in', 'C0332294')","('Refractory Barrett Esophagus', 'C4763736')"
"('Free of (attribute)', 'C0332296')","('Breast Ductal Adenoma', 'C1511307')"
"('Poverty', 'C0032854')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Array Feature', 'C1706388')","('Colorectal Neuroendocrine Tumor G2', 'C3272614')"
"('Anterior chest wall structure', 'C0230132')","('Thymic Clear Cell Carcinoma', 'C1333069')"
"('Diagnosis', 'C0011900')","('Malignant Testicular Sertoli Cell Tumor', 'C1334626')"
"('Atla (fungus)', 'C2652343')","('Advanced Uterine Corpus Carcinosarcoma', 'C4764211')"
"('United States', 'C0041703')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Drain number:ID:Pt:^Patient:Nom', 'C4265177')","('Digestive System Hodgkin Lymphoma', 'C1333797')"
"('Glycoproteins', 'C0017968')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Major', 'C0205164')","('Nodular Lymphocyte Predominant Hodgkin Lymphoma', 'C1332210')"
"('Cell of Claudius', 'C0229473')","('Adenocarcinoma, Clear Cell', 'C0206681')"
"('Diagnosis', 'C0011900')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Poor - grade value', 'C0542537')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Life Threatening or Disabling Adverse Event', 'C3537125')","('Neonatal leukemia', 'C0235813')"
"('Etiology aspects', 'C0015127')","('mucinous adenocarcinoma of gallbladder', 'C1333750')"
"('Affecting', 'C0392760')","('Malignant Testicular Sertoli Cell Tumor', 'C1334626')"
"('Diagnosis', 'C0011900')","('Carcinoma of urinary bladder, superficial', 'C1336527')"
"('Death NOS, CTCAE', 'C4552775')","('FIGO Stage II Ovarian Cancer', 'C0278686')"
"('Cancer Remission', 'C0687702')","('Acute Undifferentiated Leukemia', 'C0280141')"
