CUI1,CUI2
"('Participation Type - origin', 'C1550512')",Malignant Hyperchromatic Epithelial Cell
"('Cerebrovascular accident', 'C0038454')",Foam Cells
"('Diffuse malignant lymphoma - centroblastic-centrocytic', 'C0334637')",Neoplastic Centroblast
"('Tryptophanase', 'C0041260')",Neoplastic Ependymal Cell
"('Platelet Activating Factor Measurement', 'C3811388')",Immature Malignant Mast Cell
"('Feature', 'C2348519')",Neoplastic Chromaffin Cell
"('Stand (physical object)', 'C3888057')",Malignant Spindle-Shaped Smooth Muscle Cell
"('entry - cluster', 'C1555715')",Type I cell of carotid body
"('Skin Specimen', 'C0444099')",Malignant Eccrine Cell
"('Hyperplasia', 'C0020507')",Neoplastic Smooth Muscle Cell
"('Histology:Find:Pt:Cancer.XXX:Nar', 'C0804823')",Neoplastic Small to Medium-Sized B-Lymphocyte Resembling a Centrocyte
"('Rate', 'C1521828')",Malignant Mesothelial Cell
"('Case unit dose', 'C1533148')",Neoplastic Lipoblast
"('Liver carcinoma', 'C2239176')",Malignant Epithelial Large Cell
"('Population Median', 'C2347635')",Neoplastic T-Lymphocyte
"('Neuroglia', 'C0027836')",Neoplastic Neuroendocrine Cell
"('Genus Homo', 'C1300203')",Immature Malignant Mast Cell
"('Occurrence Indicator', 'C4284875')",Secretory Adenocarcinoma Cell
"('White blood cell count laboratory result', 'C0427512')",Malignant Cell with Eosinophilic Cytoplasm
"('Ectoderm', 'C0013574')",Malignant Spindle-Shaped to Round Cell
"('Ninety', 'C3816959')",Malignant Osteoblast
"('Glandular', 'C0225353')",Malignant Hyperchromatic Small Epithelial Cell
"('Target Lesion Identification', 'C2986546')",Malignant Small Hyperchromatic Cell
"('N not otherwise specified Antibody', 'C0369718')",Malignant Epithelial Spindle Cell
"('Benign', 'C0205183')",Neoplastic Osteoblast
"('Present', 'C0150312')",Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell
"('No status change', 'C0442739')",Neoplastic Small to Medium-Sized B-Lymphocyte Resembling a Centrocyte
"('Part', 'C0449719')",Neoplastic Eccrine Cell
"('Antifungal Antibiotics, Topical', 'C3540705')",Malignant Small Hyperchromatic Cell
"('Tissue damage', 'C0010957')",Malignant Cutaneous Basal Cell
"('Cells', 'C0007634')",Malignant Epithelial Spindle Cell
"('Susceptible', 'C0231204')",Malignant Skeletal Muscle Cell
"('Malignant Neoplasms', 'C0006826')",Neoplastic Fibroblast
"('Metastatic Disease Clinical Trial Setting', 'C4085632')",Epithelioid Osteoblast
"('Mature', 'C0205286')",Malignant Primitive Germ Cell
"('Daily Living', 'C4552744')",Neoplastic Astrocyte
"('Control function', 'C2587213')",Adenocarcinoma Cell with Intracytoplasmic Mucin
"('Lower - spatial qualifier', 'C0441994')",Malignant Small Cell
"('Primary malignant neoplasm', 'C1306459')",Melanoma Cell
"('Endometrium', 'C0014180')",Malignant Stromal Cell
"('Term (lexical)', 'C1705313')",Malignant Eccrine Cell
"('Clinical Study Case', 'C1706256')",Malignant Round Germ Cell with Glycogen-Rich Cytoplasm and Round Nucleus
"('Greater than one', 'C4280965')",Neoplastic Oligodendrocyte
"('Financial Account', 'C2981730')",Malignant Cutaneous Basal Cell
"('Activation action', 'C1879547')",Neoplastic Histiocytic and Dendritic Cell
"('Specimen Source Codes - Mucus', 'C1546714')",Malignant Goblet-Like Mucous Cell
"('structure', 'C0678594')",Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell
"('Synaptic connectivity', 'C1178983')",Neoplastic Astrocyte
"('Cell Count', 'C0007584')",Malignant Myoepithelial Cell
"('Formation', 'C1522492')",Neoplastic Plasma Cell
"('International Aspects', 'C0376327')",Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell
"('Retinoic Acid Response Element', 'C1514917')",Neoplastic Smooth Muscle Cell
"('Diagnosis', 'C0011900')",Spindle B Melanoma Cell
"('Ovary', 'C0029939')",Malignant Germ Cell
"('Effect', 'C1280500')",Spider Cell
"('Present', 'C0150312')",Epithelioid Osteoblast
"('Squamous cell carcinoma', 'C0007137')",Neoplastic Lipoblast
"('Gel physical state', 'C1382104')",Adenocarcinoma Cell with Intracytoplasmic Mucin
"('Pre-existing', 'C2347662')",Plasmablastic Immunoblast
"('Morphology, Attenuation, Size, and Structure Criteria', 'C4283905')",Neoplastic Epithelial Cell
"('Posterior Pituitary Hormone Drug Class', 'C3714635')",Neoplastic Melanocyte
"('Malignant Neoplasms', 'C0006826')",Neoplastic Acinar Cell
"('Lymphatic System', 'C0024235')",Abnormal Hematopoietic and Lymphoid Cell
"('Duct Device', 'C1705650')",Neoplastic Eccrine Cell
"('various other nasal preparations in ATC', 'C3540761')",Neoplastic Centroblast
"('search - EntityNameUse', 'C1552603')",Neoplastic Small Neuroepithelial Cell
"('Support, device', 'C0183683')",Neoplastic Oligodendrocyte
"('Groups', 'C0441833')",Neoplastic Plasma Cell
"('Immune System Part', 'C1512650')",Adenocarcinoma Cell with Intracytoplasmic Mucin
"('T prime', 'C2603360')",Neoplastic Small to Medium-Sized B-Lymphocyte Resembling a Centrocyte
"('United Kingdom', 'C0041700')",Malignant Mesothelial Cell
"('Head and neck structure', 'C0460004')",Neoplastic Centroblast
"('Feedback - evaluative response process', 'C2911691')",Neoplastic Leydig Cell
"('Including (qualifier)', 'C0332257')",Epithelioid Osteoblast
"('Family (taxonomic)', 'C1704727')",Neoplastic Eosinophilic Spindle Cell
"('eTMF Content Model Code', 'C3889831')",Neoplastic Meningothelial Cell
"('Enzyme Unit', 'C1880519')",Malignant Thyroid Gland Follicular Cell
"('T-Cell Large Granular Lymphocyte Leukemia', 'C1955861')",Neoplastic Lymphocyte
"('Sharing (Social Behavior)', 'C0237876')",Malignant Neuroendocrine Small Cell
"('High Mitosis-Karyorrhexis Index', 'C3889660')",Malignant Mesothelial Cell
"('Principal Component', 'C1882460')",Nevus cell
"('Bodily secretions', 'C0036537')",Eccrine Adenocarcinoma Cell
"('Two', 'C0205448')",Serous Adenocarcinoma Cell
"('Reference Object', 'C1706462')",Neoplastic Eccrine Cell
"('Presentation', 'C0449450')",Neoplastic Lymphocyte
"('Manufactured form', 'C0376315')",Neoplastic Epithelial Clear Cell
"('Synaptic connectivity', 'C1178983')",Neoplastic Oligodendrocyte
"('Inspiration function', 'C0004048')",Neoplastic Neuroepithelial Cell
"('Important', 'C3898777')",Spindle B Melanoma Cell
"('rituximab', 'C0393022')",Neoplastic Centroblast
"('Frequency of Pain Question', 'C0518090')",Neoplastic Schwann Cell
"('Togo', 'C0040363')",Malignant Cutaneous Basal Cell
"('glandular epithelium', 'C0682578')",Neoplastic Stellate Cell
"('Race', 'C3853635')",Malignant Small Cell
"('Supply (process)', 'C1561604')",Neoplastic Astrocyte
"('Initial Usage', 'C1705685')",Epithelioid Endothelial Cell
"('Cancer Genus', 'C0998265')",Neoplastic Histiocytic and Dendritic Cell
"('Short', 'C1806781')",Malignant Small Cell
"('Abnormal Reference Range', 'C2699333')",Hairy cell
"('Surgery specialty', 'C0038894')",Malignant Lipocyte
"('CHL1 gene', 'C1413393')",Neoplastic Fibroblast-Like Cell
"('Main', 'C1542147')",Neoplastic Transitional Cell
"('Subgroup', 'C1515021')",Plasmablastic Immunoblast
"('Neuroendocrine Tumors', 'C0206754')",Malignant Neuroendocrine Small Cell
"('Standard (document)', 'C2828392')",Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell
"('Secretory Vesicles', 'C0886515')",Malignant Neuroendocrine Small Cell
"('control substance', 'C1550141')",Neoplastic Endothelial Cell
"('Sample Median', 'C2348144')",Neoplastic T-Lymphocyte
"('Thinking, function', 'C0039869')",Neoplastic Glial Cell
"('Example', 'C1707959')",Malignant Cell with Eosinophilic Cytoplasm
"('True primary (qualifier value)', 'C0439612')",Epithelioid Osteoblast
"('Discover', 'C1880355')",Neoplastic Astrocyte
"('Subgroup A Nepoviruses', 'C1079230')",Plasmablastic Immunoblast
"('Sometimes', 'C1998882')",Malignant Myoepithelial Cell
"('Less Than', 'C0439092')",Neoplastic Connective and Soft Tissue Cell
"('Combined', 'C0205195')",Malignant Small Cell
"('Decision', 'C0679006')",Neoplastic Squamous Cell
"('Cell Count', 'C0007584')",Neoplastic Endothelial Cell
"('Pituitary Stalk', 'C0751440')",Neoplastic Melanocyte
"('Thin (qualifier value)', 'C0205168')",Malignant Thyroid Gland Follicular Cell
"('Data Change Date', 'C3889737')",Eccrine Adenocarcinoma Cell
"('Feedback - system communication', 'C0015744')",Malignant Hyperchromatic Epithelial Cell
"('Dependent for bathing', 'C0429986')",Malignant Hyperchromatic Epithelial Cell
"('Including (qualifier)', 'C0332257')",Malignant Skeletal Muscle Cell
"('Bodily secretions', 'C0036537')",Malignant Goblet-Like Mucous Cell
"('Basis - conceptual entity', 'C1527178')",Malignant Small Cell
"('treatment - ActInformationManagementReason', 'C3887704')",Spindle B Melanoma Cell
"('Medical pins', 'C0175718')",Atypical Chondrocyte
"('Mass, a measure of quantity of matter', 'C1306372')",Osteoclast-Like Giant Cell
"('Either', 'C3844638')",Malignant Primitive Germ Cell
"('NCI CTEP SDC Melanoma Sub-Category Terminology', 'C3539018')",Melanoma Cell
"('Pain Distress Question', 'C4085211')",Neoplastic Perineurial-Like Cell
"('10%', 'C3842590')",Spider Cell
"('Natural Killer Cells', 'C0022688')",Neoplastic Skeletal Muscle Cell
"('Negation', 'C1518422')",Abnormal Lymphocyte cell
"('Secondary to', 'C0175668')",Epithelioid Osteoblast
"('Not Applicable', 'C1272460')",Abnormal Hematopoietic and Lymphoid Cell
"('Myeloid Cells', 'C0887899')",Neoplastic Myeloid Cell
"('Architecture', 'C0003737')",Malignant Epithelial Large Cell
"('Tryptophanase', 'C0041260')",Malignant Goblet-Like Mucous Cell
"('anatomical layer', 'C0934502')",Neoplastic Columnar Epithelial Cell
"('Increased', 'C0205217')",Spindle B Melanoma Cell
"('fluid - substance', 'C1704353')",Malignant Mesothelial Cell
"('Occurrence Indicator', 'C4284875')",Malignant Spindle-Shaped to Round Cell
"('Weight decreased', 'C1262477')",Malignant Mesothelial Cell
"('Including (qualifier)', 'C0332257')",Malignant Cutaneous Basal Cell
"('Rare', 'C0522498')",Neoplastic Stellate Cell
"('potential', 'C3245505')",Malignant Lipocyte
"('Beginning', 'C0439659')",Malignant Hyperchromatic Small Epithelial Cell
"('Call (Instruction)', 'C1947967')",Neoplastic Cell
"('Activities', 'C0441655')",Neoplastic Melanocyte
"('Cuboidal', 'C1182671')",Neoplastic Cuboidal Cell
"('Adult human body', 'C4082212')",Malignant Neuroendocrine Small Cell
"('Disease', 'C0012634')",Neoplastic Promonocyte
"('Known', 'C0205309')",Neoplastic Ganglion Cell
"('Call (Instruction)', 'C1947967')",Adenocarcinoma Cell
"('Monocytes', 'C0026473')",Giant Cells
"('Back structure, excluding neck', 'C1995000')",Melanoma Cell
"('20th century', 'C0681748')",Malignant Skeletal Muscle Cell
"('Skin Specimen', 'C0444099')",Malignant Smooth Muscle Cell
"('60%', 'C3842585')",Neoplastic Mature Ganglion Cell
"('Cell Count', 'C0007584')",Neoplastic Squamous Cell
"('Always (frequency)', 'C2003902')",Neoplastic Squamous Cell
"('skeletal muscle tissue growth', 'C2752641')",Neoplastic Melanocyte
"('Osteoclasts', 'C0029431')",Neoplastic Stromal Cell
"('Pediculus humanus capitis (eukaryote)', 'C0411280')",Neoplastic Meningothelial Cell
"('Known', 'C0205309')",Neoplastic Transitional Cell
"('Pediculus (eukaryote)', 'C0030760')",Malignant Epithelial Cell
"('Behavior', 'C0004927')",Neoplastic Muscle Cell
"('Initially', 'C0205265')",Neoplastic Myeloid Blast
"('Rare', 'C0522498')",Neoplastic Multinucleated Giant Cell
"('neuronal', 'C0521390')",Neoplastic Ependymal Cell
"('Geographic Locations', 'C0017446')",Malignant Goblet-Like Mucous Cell
"('artesunate', 'C0052432')",Malignant Primitive Germ Cell
"('Advance', 'C3854260')",Neoplastic Ganglion Cell
"('Thought', 'C4319827')",Neoplastic Glial Cell
"('Science of Etiology', 'C1524003')",Malignant Smooth Muscle Cell
"('anatomical layer', 'C0934502')",Malignant Epithelial Cell
"('Togo', 'C0040363')",Neoplastic Stromal Cell
"('Complete Agreement', 'C4319731')",Neoplastic Lipocyte
"('Value Above Reference Range', 'C2700149')",Malignant Mesothelial Cell
"('Vital (qualifier value)', 'C0442732')",Neoplastic Fibroblast
"('Appearance', 'C0700364')",Neoplastic Lipocyte
"('Characteristics', 'C1521970')",Neoplastic Lipocyte
"('Body Temperature', 'C0005903')",Type I cell of carotid body
"('World', 'C2700280')",Melanoma Cell
"('Human body', 'C0242821')",Malignant Neuroendocrine Small Cell
"('Use of', 'C1524063')",Neoplastic Granulocyte
"('Tissue Specimen Code', 'C1547928')",Spindle B Melanoma Cell
"('N+ (tumor staging)', 'C0441922')",Malignant Spindle Squamous Cell
"('Disease', 'C0012634')",Neoplastic Hematopoietic and Lymphoid Cell
"('Secondary Neoplasm', 'C2939419')",Melanoma Cell
"('Dendritic Cells', 'C0011306')",Malignant Endothelial Cell
"('International Aspects', 'C0376327')",Malignant Endothelial Cell
"('Adenoma', 'C0001430')",Malignant Hyperchromatic Small Epithelial Cell
"('Cells', 'C0007634')",Neoplastic Ependymal Cell
"('Retinoic Acid Response Element', 'C1514917')",Epithelioid Endothelial Cell
"('Shiny', 'C4068834')",Malignant Cutaneous Basal Cell
"('Manufactured form', 'C0376315')",Neoplastic Epithelial Cell
"('All of the Time', 'C3812891')",Neoplastic Muscle Cell
"('Often - answer to question', 'C4050225')",Neoplastic Neuroendocrine Cell
"('Sacrifice', 'C0681205')",Neoplastic Astrocyte
"('Concept model range (foundation metadata concept)', 'C3542016')",Neoplastic Lymphocyte
"('Tumor Mass', 'C3273930')",Neoplastic Lipocyte
"('To', 'C1883351')",Neoplastic Stellate Cell
"('Age under 25 years', 'C0521996')",Malignant Neuroectodermal Cell
"('Three', 'C0205449')",Neoplastic Stromal Cell
"('Often - answer to question', 'C4050225')",Neoplastic Epithelial Cell
"('Carcinoma of bladder', 'C0699885')",Malignant Transitional Cell
"('Carcinogen (disposition)', 'C4521889')",Neoplastic Fibroblast
"('Characteristics', 'C1521970')",Plasmablastic Immunoblast
"('Appearance', 'C0700364')",Plasmablastic Immunoblast
"('erect', 'C0522014')",Malignant Spindle-Shaped Smooth Muscle Cell
"('Medical pathologist', 'C0334866')",Neoplastic Glial Cell
"('Body tissue', 'C0040300')",Malignant Osteoblast
"('Targeted Therapy', 'C2985566')",Spindle B Melanoma Cell
"('Malignant Neoplasms', 'C0006826')",Neoplastic Lipoblast
"('Maintenance', 'C0024501')",Neoplastic Ependymal Cell
"('risk factors', 'C0035648')",Neoplastic Myeloid Blast
"('Fingers', 'C0016129')",Epithelioid Endothelial Cell
"('Percent of Abnormal Cells', 'C2347472')",Neoplastic Germ Cell
"('Triggered by', 'C1444748')",Neoplastic Plasma Cell
"('Component (part)', 'C1705248')",Adenocarcinoma Cell with Intracytoplasmic Mucin
"('Biologic Development', 'C0678723')",Malignant Epithelial Small Cell
"('Morphology', 'C0332437')",Neoplastic Small Sex Cord-Stromal Cell
"('Appearance', 'C0700364')",Neoplastic Ganglion Cell
"('Base - General Qualifier', 'C1705938')",Malignant Small Cell
"('1+ Score, WHO', 'C2981698')",Neoplastic Glial Cell
"('During', 'C0347984')",Malignant Cutaneous Basal Cell
"('Normal tissue morphology', 'C0332441')",Neoplastic Squamous Cell
"('Abnormal degeneration', 'C0011164')",Neoplastic Multinucleated Giant Cell
"('Lacking', 'C0332268')",Neoplastic T-Lymphocyte
"('radiotherapeutic', 'C0034619')",Spindle B Melanoma Cell
"('Impaired skin integrity', 'C4048181')",Melanoma Cell
"('+5', 'C0728893')",Malignant Small Cell
"('Singular', 'C0205171')",Malignant Epithelial Cell
"('Tuberculosis', 'C0041296')",Osteoclast-Like Giant Cell
"('Scanning', 'C0441633')",Neoplastic Granulocyte
"('Infrequent', 'C0521114')",Malignant Cutaneous Basal Cell
"('Value Above Reference Range', 'C2700149')",Melanoma Cell
"('Lead', 'C0023175')",Foam Cells
"('Bodily secretions', 'C0036537')",Neoplastic Melanocyte
"('Probable diagnosis', 'C0332148')",Neoplastic T-Lymphocyte
"('Include (action)', 'C2700399')",Malignant Syncytiotrophoblastic Giant Cell
"('Salivary Glands', 'C0036098')",Neoplastic Smooth Muscle Cell
"('Neoplasms', 'C0027651')",Neoplastic Lipoblast
"('Recombinant Somatostatin', 'C1881011')",Neoplastic Melanocyte
"('respiratory gaseous exchange in organisms', 'C1160636')",Neoplastic Neuroepithelial Cell
"('Therapeutic radiology procedure', 'C1522449')",Malignant Cutaneous Basal Cell
"('Lymphocyte', 'C0024264')",Neoplastic Small to Medium-Sized B-Lymphocyte Resembling a Centrocyte
"('Behavior:-:Point in time:^Patient:-', 'C2707008')",Neoplastic Cell
"('Small', 'C0700321')",Epithelioid Endothelial Cell
"('Call (Instruction)', 'C1947967')",Malignant Transitional Cell
"('Malignant Myoepithelial Cell', 'C1518212')",Neoplastic Smooth Muscle Cell
"('Lesion', 'C0221198')",Neoplastic Endocrine Cell
"('Hematuria', 'C0018965')",Malignant Syncytiotrophoblastic Giant Cell
"('Occurrence Indicator', 'C4284875')",Malignant Skeletal Muscle Cell
"('Breathing Distress Question', 'C4084858')",Neoplastic Small Neuroepithelial Cell
"('Greater than one', 'C4280965')",Neoplastic Glial Cell
"('Case (situation)', 'C0868928')",Neoplastic Smooth Muscle Cell
"('Support, device', 'C0183683')",Malignant Stromal Cell
"('Administration procedure', 'C1533734')",Melanoma Cell
"('600', 'C3816748')",Malignant Small Hyperchromatic Cell
"('Muscle Tissue', 'C0026845')",Malignant Rhabdomyoblast
