CUI1,CUI2,Prediction
Malignant neoplasm of ovary,Advanced Uterine Corpus Carcinosarcoma,1
Telephone Extension Number,Intracortical osteosarcoma,0
Often - answer to question,Uterine Cancer,0
Thymus Neoplasms,Thymic Clear Cell Carcinoma,0
Moveable,Deep Leiomyoma,1
White Blood Cell Count procedure,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Occur (action),Malignant melanoma of eyelid,0
Rating (action),Bladder squamous cell carcinoma stage I,0
Thymoma,Thymic Clear Cell Carcinoma,0
Occurrence Indicator,Localized Askin Tumor,0
Unknown,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Laparoscopy,Atypical Mesothelial Hyperplasia,0
Survival Rate,Spermatocytic seminoma,1
NCI CTEP SDC Mesothelioma Sub-Category Terminology,Diffuse malignant mesothelioma,0
Choroid plexus of cerebral hemisphere,Malignant neoplasm of choroid,0
Clone Cells,Heavy Chain Deposition Disease,1
What subject filter - Result,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
god,Digestive System Hodgkin Lymphoma,0
Experimental Result,Refractory Barrett Esophagus,1
Type A,adenoid cystic carcinoma of lung,1
Name,papillary carcinoma of penis,0
Most,Bladder squamous cell carcinoma stage I,0
Cancer Genus,Childhood Central Nervous System Immature Teratoma,1
Melanins,Recurrent Uveal Melanoma,0
intent,Metastatic Carcinoma in the Lung,1
Time (foundation metadata concept),Localized Askin Tumor,0
Enlarged,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Detectable,Testicular cancer metastatic,1
Administration occupational activities,Mucinous neoplasm,0
Basal cell carcinoma,Acantholytic squamous cell carcinoma,0
Similarity,Stage I Gastric Neuroendocrine Tumor AJCC v8,1
Two,adenosquamous carcinoma of breast,0
Late,Mucinous adenocarcinoma gastric,1
Malignant Neoplasms,Stage IB Lung Cancer AJCC v7,0
Urticaria,Mastocytosis,0
Specific qualifier value,Hodgkin lymphoma,0
Sequence Data Type,Leptomeningeal sarcoma,0
*Type - Kind of quantity,Pancreatic Intraepithelial Neoplasia-3,0
Term (lexical),Leiomyoma of Gallbladder,1
Malignant Neoplasms,adenosquamous carcinoma of breast,1
Tryptophanase,Undifferentiated Endocervical Sarcoma,1
Relationships,Heavy Chain Deposition Disease,0
Number of birth,Malignant melanoma of eyelid,0
Dog family,Angiosarcoma of liver,0
Weight Loss,Childhood Lymphoma,0
Liver Flavor,Mucinous adenocarcinoma gastric,0
Possibly Related to Intervention,Lung squamous cell carcinoma stage I,1
Consortium or Network,Digestive System Hodgkin Lymphoma,0
Greasy skin,Benign Apocrine Neoplasm,0
Fever,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Human body structure,Intestinal Neuroendocrine Carcinoma,0
Skin,Acute Undifferentiated Leukemia,0
Combined,Bladder squamous cell carcinoma stage I,0
Persons,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Child,Adult Alveolar Soft Part Sarcoma,0
Occur (action),Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Increased,Breast Ductal Adenoma,1
Lower - spatial qualifier,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Unknown,Adult Alveolar Soft Part Sarcoma,1
Sarcoma - category (morphologic abnormality),Adult Alveolar Soft Part Sarcoma,0
Irritation,Giant cell angiofibroma,1
Oral region,Maxillary Sinus Adenocarcinoma,0
Psyche structure,Choroid Necrotic Melanoma,0
Web Site,Malignant Neoplasm of Lung - Multiple Primary Sites,0
Tired,Diffuse malignant mesothelioma,0
Geographic Locations,Pilocytic astrocytoma of cerebellum,1
Then,Malignant Testicular Sertoli Cell Tumor,0
Occur (action),Childhood Central Nervous System Immature Teratoma,0
With shape,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Country,Adult Hepatocellular Carcinoma,0
immunoglobulin activity,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Common Specifications in HL7 V3 Publishing,Uterine Cancer,0
Contraceptives,Undifferentiated Endocervical Sarcoma,0
Infertility,Malignant Testicular Sertoli Cell Tumor,1
therapeutic aspects,Malignant melanoma of eyelid,0
Followed by,Carcinoma of urinary bladder,0
regional,adenoid cystic carcinoma of lung,1
Natural History,squamous cell carcinoma of the thyroid gland,1
Male population group,Cancer of Urinary Tract,0
Then,Recurrent Testicular Lymphoma,0
Area,Recurrent Testicular Lymphoma,0
Adult Lymphoma,Mucinous adenocarcinoma gastric,1
Common Specifications in HL7 V3 Publishing,Methotrexate-Associated Hodgkin Lymphoma,0
History of previous events,Uterine Cancer,0
Major,Stage I Adult Non-Hodgkin Lymphoma,0
Colon Carcinoma,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Persons,Primary Cutaneous Plasmablastic Lymphoma,0
Cartilage,Anterior Urethral Malignant Neoplasm,0
Response (communication),Female Breast Carcinoma,0
Worse,Malignant neoplasm of thalamus,0
Etiology aspects,Hemangioma,0
Smear - instruction imperative,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Raised,Maxillary Sinus Adenocarcinoma,1
Case unit dose,Familial Adenomatous Polyposis Associated Medulloblastoma,0
mole changes,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
other medicated shampoos in ATC,Mucinous adenocarcinoma gastric,0
Precipitating Factors,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Involvement with,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Cancer Other,Benign Carotid Body Paraganglioma,1
Penetration,Testicular cancer metastatic,1
Genetic Predisposition to Disease,Tonsillar Carcinoma,1
Involvement with,Female Breast Carcinoma,1
Malignant neoplasm of lung,Lung squamous cell carcinoma stage I,1
Lymphatic,Angiosarcoma of liver,0
To,Breast Ductal Adenoma,0
Deletion Mutation,Ichthyosis,1
Diagnosis,Stage IB Pancreatic Cancer AJCC v8,1
B-Cell Lymphomas,Primary Cutaneous Plasmablastic Lymphoma,1
Leukocytes,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Classical Hodgkin's Lymphoma,Stage I Adult Non-Hodgkin Lymphoma,0
Approximate,FIGO Stage II Ovarian Cancer,1
Cause of Death,Undifferentiated Endocervical Sarcoma,0
genetic aspects,Diffuse malignant mesothelioma,0
Primary malignant neoplasm of endometrium,Undifferentiated Endocervical Sarcoma,0
Abdomen+,FIGO Stage II Ovarian Cancer,0
Liquid substance,Spongiotic dermatitis,0
Manufactured form,Leiomyoma of Gallbladder,1
Long-term,adenosquamous carcinoma of breast,1
>90,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Specimen Source Codes - tumor,Adenocarcinoma of the prostate metastatic,0
Study Site,Testicular cancer metastatic,0
epidemiologic,gliosarcoma,0
Treatment Epoch,mucinous adenocarcinoma of gallbladder,0
Previous,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Urinary tract,Cancer of Urinary Tract,0
low exposure,Recurrent Uveal Melanoma,1
Diagnosis,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Patch - Extended Release Film,Contact dermatitis due to alkali,0
Pure Spanish horse breed (organism),Metastatic Carcinoma in the Lung,1
Family history,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
geographic population,Refractory Barrett Esophagus,0
Cells,Testicular cancer metastatic,1
Sometimes,Unresectable Rhabdomyosarcoma,0
Usually Need Help from Another Person for Arising,Intestinal Metaplasia of Bladder Urothelium,0
Intravenous,Cancer of Urinary Tract,0
Common (qualifier value),Airway Hemangioma,0
% index,Familial Hemophagocytic Lymphocytosis,0
Lymphoma cells,Primary Cutaneous Plasmablastic Lymphoma,0
Precursor Cell Lymphoblastic Leukemia Lymphoma,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Chemotherapy,Lung squamous cell carcinoma stage I,0
Providing presence (regime/therapy),Atypical Mesothelial Hyperplasia,1
Time (foundation metadata concept),GIANT PIGMENTED HAIRY NEVUS,0
PELVIS irradiation,Uterine Cancer,0
1+ Score,Tonsillar Carcinoma,1
Coding,Familial Hemophagocytic Lymphocytosis,0
80%,Recurrent Diffuse Intrinsic Pontine Glioma,1
Malignant neoplasm of endometrium,Colorectal cancer,0
unknown vaccine or immune globulin,Malignant neoplasm of thalamus,0
Very,Leiomyoma of Gallbladder,0
/40,Clonal Hematopoiesis of Indeterminate Potential,0
90%,Methotrexate-Associated Hodgkin Lymphoma,0
Sweat gland cyst,Benign Apocrine Neoplasm,0
Drain number:ID:Pt:^Patient:Nom,Digestive System Hodgkin Lymphoma,0
DNA Damage,BRCA2 Syndrome,1
Cancer Genus,Stage I Adult Non-Hodgkin Lymphoma,1
Most,Localized Askin Tumor,0
Sample Range,Cartilaginous exostosis,0
Percent (qualifier value),Stage IB Pancreatic Cancer AJCC v8,0
Usual Severity Sweats,Malignant Neoplasm with Regional Lymph Node Involvement,0
Treated with,Breast Ductal Adenoma,1
Involvement with,Malignant neoplasm of thalamus,1
Non-Small Cell Lung Carcinoma,Lung squamous cell carcinoma stage I,0
Relational and Item-Specific Encoding Task,Undifferentiated Endocervical Sarcoma,0
99,Recurrent Uveal Melanoma,0
North America,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Early stage,Undifferentiated Endocervical Sarcoma,1
Common Specifications in HL7 V3 Publishing,adenoid cystic carcinoma of lung,0
Childhood Lymphoma,Thymic Clear Cell Carcinoma,1
Different,squamous cell carcinoma of the thyroid gland,0
Vocal cord structure,Larynx carcinoma recurrent,0
Abnormal host response,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Childhood Lymphoma,Hodgkin lymphoma,1
lymph nodes,gliosarcoma,0
Thymectomy,Thymic Clear Cell Carcinoma,0
Group A (blood group),Stage III Gastric Neuroendocrine Tumor AJCC v8,0
treatment - ActInformationManagementReason,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Carcinoma,Bladder squamous cell carcinoma stage I,1
CEL gene,Familial Adenomatous Polyposis Associated Medulloblastoma,0
treatment - ActInformationManagementReason,Ichthyosis,0
oncology field,Ampulla of Vater Tubular Adenoma,0
Cancer Other,Female Breast Carcinoma,1
Physical findings,Angiosarcoma of liver,0
*Type - Kind of quantity,Spongiotic dermatitis,0
Variety (taxon),Giant cell angiofibroma,1
dendritic spine neck,Extra-Adrenal Paraganglioma,0
Mental Recall,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
TP53 gene,Acute Undifferentiated Leukemia,0
Africa,FIGO Stage II Ovarian Cancer,0
Cessation of life,Uterine Cancer,0
Cosmetics,Maxillary Sinus Adenocarcinoma,0
Plasma Product,Heavy Chain Deposition Disease,0
International Classification of Diseases for Oncology,Intracortical osteosarcoma,0
status - In progress,FIGO Stage II Ovarian Cancer,0
How Much Distress Cough,Diffuse malignant mesothelioma,1
Manufactured form,Malignant neoplasm of thalamus,0
Arising,Thymic Clear Cell Carcinoma,1
Present,Granular Cell Leiomyosarcoma,1
Groups,Metastatic Ductal Breast Carcinoma,1
Morbidity - disease rate,Diffuse malignant mesothelioma,1
1000000,Malignant melanoma of eyelid,0
Value Above Reference Range,FIGO Stage II Ovarian Cancer,0
Primary operation,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Folded structure,Neonatal leukemia,0
Biopsy,Recurrent Uveal Melanoma,1
Malignant neoplasm of kidney,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Type - attribute,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Severe (severity modifier),Familial Adenomatous Polyposis Associated Medulloblastoma,1
Malignant neoplasm of breast,Atypical Lobular Breast Hyperplasia,1
Human body,squamous cell carcinoma of the thyroid gland,0
Malignant Neoplasms,Uterine Cancer,0
Sometimes,Pancreatic Intraepithelial Neoplasia-3,0
pump (device),Digestive System Hodgkin Lymphoma,0
Death Related to Adverse Event,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
disease history,Uterine Cancer,0
Formation,Cancer of Urinary Tract,0
survival aspects,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Relationships,Benign Apocrine Neoplasm,0
parent,Endometrial Small Cell Carcinoma,0
Decreasing,Undifferentiated Endocervical Sarcoma,1
Adult Germ Cell Tumor,Childhood Central Nervous System Immature Teratoma,1
Minor (value),Acute lymphadenitis,1
Flowers,Extracranial Neuroblastoma,0
What subject filter - Result,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Firstly,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Common (qualifier value),Stage III Gastric Neuroendocrine Tumor AJCC v8,0
Source,Recurrent Uveal Melanoma,0
Type - attribute,Malignant Testicular Sertoli Cell Tumor,1
Formation,Pilocytic astrocytoma of cerebellum,1
*Type - Kind of quantity,Intestinal Metaplasia of Bladder Urothelium,0
Occur (action),adenoid cystic carcinoma of lung,0
Work,Diffuse malignant mesothelioma,0
Occur (action),Pancreatic Intraepithelial Neoplasia-3,0
Natures,Giant cell angiofibroma,0
Presentation,mucinous adenocarcinoma of gallbladder,1
Direct (qualifier),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Rating (action),Malignant melanoma of eyelid,0
Mental association,BRCA2 Syndrome,0
risk factors - observation list,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
week,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Twice (Numerical Qualifier),Mucinous adenocarcinoma gastric,0
shared attribute,Colorectal Neuroendocrine Tumor G2,0
Term (temporal),Stage IB Pancreatic Cancer AJCC v8,0
Abdominal Cavity,Diffuse malignant mesothelioma,0
pemetrexed,Diffuse malignant mesothelioma,0
alone - group size,Primary Cutaneous Plasmablastic Lymphoma,1
Usual Severity Weight Loss,Mucinous adenocarcinoma gastric,1
Unique,Clonal Hematopoiesis of Indeterminate Potential,0
More,Endometrial Small Cell Carcinoma,0
Unknown,Choroid Necrotic Melanoma,0
Insecticides,Angiosarcoma of liver,0
Interaction,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Certainties,Intestinal Metaplasia of Bladder Urothelium,0
80%,Refractory Glioma,0
Adult,Acute Undifferentiated Leukemia,1
Manufactured sign,Diffuse malignant mesothelioma,0
Common (qualifier value),Colorectal High Grade B-Cell Lymphoma,0
Neoplasm Metastasis,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Glycation End Products,Neonatal leukemia,0
Lung,Adenocarcinoma,0
Smaller,FIGO Stage II Ovarian Cancer,0
English race,Leiomyoma of Gallbladder,0
Domain (area of knowledge),Intracortical osteosarcoma,0
Normal,Unresectable Rhabdomyosarcoma,1
Rapid,Testicular cancer metastatic,0
Most,Methotrexate-Associated Hodgkin Lymphoma,0
Early,Human Papillomavirus-Related Carcinoma,1
Hematologic Neoplasms,Heavy Chain Deposition Disease,0
Smoking,Bladder squamous cell carcinoma stage I,0
Anorexia,Pancreatic Intraepithelial Neoplasia-3,1
Occur (action),Acute Undifferentiated Leukemia,0
Inhibition,Unresectable Rhabdomyosarcoma,0
Monitor Device,Primary Cutaneous Plasmablastic Lymphoma,0
HEMOCHROMATOSIS,Adult Hepatocellular Carcinoma,1
Definitely Related to Intervention,Adult Hepatocellular Carcinoma,1
Problems - What subject filter,Refractory Barrett Esophagus,0
Obesity,FIGO Stage II Ovarian Cancer,1
Adult Soft Tissue Sarcoma,Adult Alveolar Soft Part Sarcoma,0
Code,Secondary malignant neoplasm of lymph node,0
In Blood,Acute Undifferentiated Leukemia,1
Type - attribute,Stage II Carcinoma of Penis,1
Togo,Malignant Neoplasm with Regional Lymph Node Involvement,0
Megakaryocytes,Neonatal leukemia,1
Child,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Tissue Specimen Code,BRCA2 Syndrome,0
Neuroendocrine Tumors,Intestinal Neuroendocrine Carcinoma,1
Leading,FIGO Stage II Ovarian Cancer,0
Pseudomyxoma Peritonei,mucinous adenocarcinoma of gallbladder,0
New Zealand Rabbits,Malignant melanoma of eyelid,0
Symptoms aspect,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Recommendation,FIGO Stage II Ovarian Cancer,0
In Blood,Digestive System Hodgkin Lymphoma,0
Entity Determiner - specific,Hodgkin lymphoma,1
One,Intermediate Grade Salivary Gland Mucoepidermoid Carcinoma,0
Cervical lymph node group,Hodgkin lymphoma,0
Persons,Adult Hepatocellular Carcinoma,0
Biological Response Modifiers,Acute Undifferentiated Leukemia,1
Wounds and Injuries,Giant cell angiofibroma,0
System,Collecting Duct Carcinoma of the Kidney,0
Entity Determiner - specific,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
month,Acute Undifferentiated Leukemia,0
Specific qualifier value,Stage I Adult Non-Hodgkin Lymphoma,0
Part of,Metastatic Neoplasm to the Gallbladder,1
per year,Mucinous adenocarcinoma gastric,0
Portion of urine,Grade 1 Clear Cell Renal Cell Carcinoma,0
Medical Devices,Recurrent Uveal Melanoma,0
Case (situation),Endometrial Small Cell Carcinoma,0
Tired,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
shared attribute,Extracranial Neuroblastoma,0
Sunscreening Agents,Recurrent Uveal Melanoma,1
Area,Diffuse malignant mesothelioma,0
Aging,Clonal Hematopoiesis of Indeterminate Potential,1
Relational and Item-Specific Encoding Task,Clonal Hematopoiesis of Indeterminate Potential,0
Secondary tumor site,Testicular cancer metastatic,0
Followed by,Testicular cancer metastatic,0
Overall Publication Type,Endometrial Small Cell Carcinoma,1
General surgery specialty,Mucinous adenocarcinoma gastric,0
Cells,Atypical Mesothelial Hyperplasia,1
Regurgitation,Refractory Barrett Esophagus,1
1960s,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Associated with,Angiosarcoma of liver,1
Trial Screening,Mucinous adenocarcinoma gastric,0
Route of Administration - Mucous Membrane,Giant cell angiofibroma,1
Update,Breast Ductal Adenoma,0
Increase,Recurrent Uveal Melanoma,1
Etiology aspects,Neonatal leukemia,0
High,Recurrent Testicular Lymphoma,1
Dorsal,Recurrent Uveal Melanoma,0
Pickled food,Mucinous adenocarcinoma gastric,0
National origin,Carcinoma ex pleomorphic adenoma of parotid gland,1
High Level,FIGO Stage II Ovarian Cancer,1
Term Source,Ampulla of Vater Tubular Adenoma,1
Fever,Childhood Lymphoma,1
Base - General Qualifier,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Referring,Testicular cancer metastatic,0
Fatal,Acute Undifferentiated Leukemia,1
Occurrence,Cancer of Urinary Tract,0
Tired,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Most,Mucinous adenocarcinoma gastric,0
Hiatal Hernia,Refractory Barrett Esophagus,1
Estrogen [EPC],Endometrial Small Cell Carcinoma,0
Often - answer to question,Malignant melanoma of eyelid,0
Medulla Oblongata,Collecting Duct Carcinoma of the Kidney,1
Angiofibroma,Giant cell angiofibroma,0
Condition:Find:Pt:^Patient:Nom,Cancer of Urinary Tract,0
Often - answer to question,Testicular cancer metastatic,0
Inhibition,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Vomiting,Mucinous adenocarcinoma gastric,1
Often - answer to question,Contact dermatitis due to alkali,0
Uterine Corpus Sarcoma,Endometrial Small Cell Carcinoma,0
various other nasal preparations in ATC,Neonatal leukemia,0
Seeding,Extracranial Neuroblastoma,0
Involvement with,Larynx carcinoma recurrent,1
Case (situation),Stage IB Lung Cancer AJCC v7,0
Formation,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Social Networks,Digestive System Hodgkin Lymphoma,0
Bone Pain,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Percent (qualifier value),Unfavorable Non-Hodgkin Lymphoma,1
Circulatory Process,Testicular cancer metastatic,0
Formation,Adult Alveolar Soft Part Sarcoma,1
Reference Object,BRCA2 Syndrome,0
Scrofula,Acute lymphadenitis,0
Pain in scrotum,Malignant Testicular Sertoli Cell Tumor,0
Type - attribute,FIGO Stage II Ovarian Cancer,0
Space - property,Malignant neoplasm of choroid,0
Times,Recurrent Testicular Lymphoma,0
65,Mucinous adenocarcinoma gastric,0
Color change,Malignant melanoma of eyelid,1
In Urine,Sarcomatoid Renal Cell Carcinoma,0
