CUI1,CUI2,Prediction
Type A,adenoid cystic carcinoma of lung,1
Cancer Genus,Childhood Central Nervous System Immature Teratoma,1
intent,Metastatic Carcinoma in the Lung,1
Enlarged,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Detectable,Testicular cancer metastatic,1
Similarity,Stage I Gastric Neuroendocrine Tumor AJCC v8,1
Late,Mucinous adenocarcinoma gastric,1
Term (lexical),Leiomyoma of Gallbladder,1
Malignant Neoplasms,adenosquamous carcinoma of breast,1
Tryptophanase,Undifferentiated Endocervical Sarcoma,1
Possibly Related to Intervention,Lung squamous cell carcinoma stage I,1
Fever,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Occur (action),Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Increased,Breast Ductal Adenoma,1
Lower - spatial qualifier,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Unknown,Adult Alveolar Soft Part Sarcoma,1
Irritation,Giant cell angiofibroma,1
Geographic Locations,Pilocytic astrocytoma of cerebellum,1
Infertility,Malignant Testicular Sertoli Cell Tumor,1
regional,adenoid cystic carcinoma of lung,1
Natural History,squamous cell carcinoma of the thyroid gland,1
Adult Lymphoma,Mucinous adenocarcinoma gastric,1
Colon Carcinoma,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Raised,Maxillary Sinus Adenocarcinoma,1
mole changes,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Precipitating Factors,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Cancer Other,Benign Carotid Body Paraganglioma,1
Penetration,Testicular cancer metastatic,1
Genetic Predisposition to Disease,Tonsillar Carcinoma,1
Involvement with,Female Breast Carcinoma,1
Malignant neoplasm of lung,Lung squamous cell carcinoma stage I,1
Deletion Mutation,Ichthyosis,1
Diagnosis,Stage IB Pancreatic Cancer AJCC v8,1
B-Cell Lymphomas,Primary Cutaneous Plasmablastic Lymphoma,1
Approximate,FIGO Stage II Ovarian Cancer,1
Manufactured form,Leiomyoma of Gallbladder,1
Long-term,adenosquamous carcinoma of breast,1
Previous,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
low exposure,Recurrent Uveal Melanoma,1
Diagnosis,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Pure Spanish horse breed (organism),Metastatic Carcinoma in the Lung,1
Cells,Testicular cancer metastatic,1
Precursor Cell Lymphoblastic Leukemia Lymphoma,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Providing presence (regime/therapy),Atypical Mesothelial Hyperplasia,1
1+ Score,Tonsillar Carcinoma,1
80%,Recurrent Diffuse Intrinsic Pontine Glioma,1
DNA Damage,BRCA2 Syndrome,1
Cancer Genus,Stage I Adult Non-Hodgkin Lymphoma,1
Treated with,Breast Ductal Adenoma,1
Involvement with,Malignant neoplasm of thalamus,1
Early stage,Undifferentiated Endocervical Sarcoma,1
Childhood Lymphoma,Thymic Clear Cell Carcinoma,1
Abnormal host response,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Childhood Lymphoma,Hodgkin lymphoma,1
Carcinoma,Bladder squamous cell carcinoma stage I,1
Cancer Other,Female Breast Carcinoma,1
Variety (taxon),Giant cell angiofibroma,1
How Much Distress Cough,Diffuse malignant mesothelioma,1
Arising,Thymic Clear Cell Carcinoma,1
Present,Granular Cell Leiomyosarcoma,1
Groups,Metastatic Ductal Breast Carcinoma,1
Morbidity - disease rate,Diffuse malignant mesothelioma,1
Primary operation,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Biopsy,Recurrent Uveal Melanoma,1
Type - attribute,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Severe (severity modifier),Familial Adenomatous Polyposis Associated Medulloblastoma,1
Malignant neoplasm of breast,Atypical Lobular Breast Hyperplasia,1
Death Related to Adverse Event,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Decreasing,Undifferentiated Endocervical Sarcoma,1
Adult Germ Cell Tumor,Childhood Central Nervous System Immature Teratoma,1
Minor (value),Acute lymphadenitis,1
Firstly,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Type - attribute,Malignant Testicular Sertoli Cell Tumor,1
Formation,Pilocytic astrocytoma of cerebellum,1
Presentation,mucinous adenocarcinoma of gallbladder,1
Direct (qualifier),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
alone - group size,Primary Cutaneous Plasmablastic Lymphoma,1
Usual Severity Weight Loss,Mucinous adenocarcinoma gastric,1
Interaction,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Adult,Acute Undifferentiated Leukemia,1
Neoplasm Metastasis,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Normal,Unresectable Rhabdomyosarcoma,1
Early,Human Papillomavirus-Related Carcinoma,1
Anorexia,Pancreatic Intraepithelial Neoplasia-3,1
HEMOCHROMATOSIS,Adult Hepatocellular Carcinoma,1
Definitely Related to Intervention,Adult Hepatocellular Carcinoma,1
Obesity,FIGO Stage II Ovarian Cancer,1
In Blood,Acute Undifferentiated Leukemia,1
Type - attribute,Stage II Carcinoma of Penis,1
Megakaryocytes,Neonatal leukemia,1
Neuroendocrine Tumors,Intestinal Neuroendocrine Carcinoma,1
Symptoms aspect,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Entity Determiner - specific,Hodgkin lymphoma,1
Biological Response Modifiers,Acute Undifferentiated Leukemia,1
Entity Determiner - specific,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Part of,Metastatic Neoplasm to the Gallbladder,1
Sunscreening Agents,Recurrent Uveal Melanoma,1
Aging,Clonal Hematopoiesis of Indeterminate Potential,1
Overall Publication Type,Endometrial Small Cell Carcinoma,1
Cells,Atypical Mesothelial Hyperplasia,1
Regurgitation,Refractory Barrett Esophagus,1
1960s,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Associated with,Angiosarcoma of liver,1
Route of Administration - Mucous Membrane,Giant cell angiofibroma,1
Increase,Recurrent Uveal Melanoma,1
High,Recurrent Testicular Lymphoma,1
National origin,Carcinoma ex pleomorphic adenoma of parotid gland,1
High Level,FIGO Stage II Ovarian Cancer,1
Term Source,Ampulla of Vater Tubular Adenoma,1
Fever,Childhood Lymphoma,1
Base - General Qualifier,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Fatal,Acute Undifferentiated Leukemia,1
Tired,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Hiatal Hernia,Refractory Barrett Esophagus,1
Medulla Oblongata,Collecting Duct Carcinoma of the Kidney,1
Vomiting,Mucinous adenocarcinoma gastric,1
Involvement with,Larynx carcinoma recurrent,1
Formation,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Bone Pain,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Percent (qualifier value),Unfavorable Non-Hodgkin Lymphoma,1
Formation,Adult Alveolar Soft Part Sarcoma,1
Color change,Malignant melanoma of eyelid,1
Third,Undifferentiated Endocervical Sarcoma,1
Metastasis,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Vomiting,Choroid Necrotic Melanoma,1
1960s,Thymic Clear Cell Carcinoma,1
Metastatic malignant neoplasm to brain,Choroid Necrotic Melanoma,1
Adult,Adult Hepatocellular Carcinoma,1
Rare,Extra-Adrenal Paraganglioma,1
Chief complaint (finding),Tonsillar Carcinoma,1
Cells,Malignant melanoma of eyelid,1
Aggressive behavior,Breast Ductal Adenoma,1
Usual Severity Itching,Methotrexate-Associated Hodgkin Lymphoma,1
Halitosis,Refractory Barrett Esophagus,1
40%,Endometrial Small Cell Carcinoma,1
Lymphadenopathy,Malignant Neoplasm with Regional Lymph Node Involvement,1
Cell Count,Hemangioma,1
Choriocarcinoma,Metastatic Ductal Breast Carcinoma,1
Development,Acute Undifferentiated Leukemia,1
Taste Perception,Refractory Barrett Esophagus,1
Reported Term,Ampulla of Vater Tubular Adenoma,1
Cancer Genus,Acantholytic squamous cell carcinoma,1
contextual factors,Benign Carotid Body Paraganglioma,1
Including (qualifier),Refractory Barrett Esophagus,1
Tumor Mass,Rhabdomyosarcoma with ganglionic differentiation,1
Skin Pigmentation,Acute Undifferentiated Leukemia,1
Death (finding),Stage II Carcinoma of Penis,1
Hematogenous spread,Testicular cancer metastatic,1
treatment - ActInformationManagementReason,Acantholytic squamous cell carcinoma,1
Suspected diagnosis,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Extrinsic,Adult Alveolar Soft Part Sarcoma,1
Base - General Qualifier,Malignant Testicular Sertoli Cell Tumor,1
Percent of Abnormal Cells,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
associated disease,Hemangioma,1
History of previous events,Recurrent Uveal Melanoma,1
Malignant - descriptor,Heavy Chain Deposition Disease,1
Histologic,Breast Ductal Adenoma,1
Three,Refractory Barrett Esophagus,1
Group A (qualifier value),Metastatic Ductal Breast Carcinoma,1
Increasing,Endometrial Small Cell Carcinoma,1
Disseminated Malignant Neoplasm,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Mechanism (attribute),Acute Undifferentiated Leukemia,1
Make - Instruction Imperative,Undifferentiated Endocervical Sarcoma,1
Infrequent,Refractory Barrett Esophagus,1
Attenuated by (contextual qualifier),Familial Adenomatous Polyposis Associated Medulloblastoma,1
Involvement with,Malignant Testicular Sertoli Cell Tumor,1
Etiology,Liver Cavernous Hemangioma,1
Site of,Serous cystadenocarcinoma ovary,1
Egg of order Phthiraptera,Intracortical osteosarcoma,1
Cancer Genus,Localized Askin Tumor,1
newly,Mucinous adenocarcinoma gastric,1
polyps,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Exposure to radiation,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
cervical cancer,Human Papillomavirus-Related Carcinoma,1
Cure (remedy),Lung squamous cell carcinoma stage I,1
Li-Fraumeni Syndrome,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Arising,Bladder squamous cell carcinoma stage I,1
Increased,Angiosarcoma of liver,1
Atla (fungus),Advanced Uterine Corpus Carcinosarcoma,1
30%,Recurrent Diffuse Intrinsic Pontine Glioma,1
Type - attribute,Endometrial Small Cell Carcinoma,1
CLEC4D gene,Lymphomatous Adult T-Cell Leukemia/Lymphoma,1
Abnormal,Heavy Chain Deposition Disease,1
Tissue Growth,Stage IB Lung Cancer AJCC v7,1
Blood Platelets,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Increased erythropoietin,Metastatic Neoplasm to the Gallbladder,1
Indolent Non-Hodgkin Lymphoma,Primary Cutaneous Plasmablastic Lymphoma,1
Primary malignant neoplasm,Recurrent Testicular Lymphoma,1
Neurofibromatosis 1,Acute Undifferentiated Leukemia,1
cell growth,Undifferentiated Endocervical Sarcoma,1
Occur (action),Undifferentiated Endocervical Sarcoma,1
IPSS Risk Category High,Diffuse malignant mesothelioma,1
Areas <moth>,Acantholytic squamous cell carcinoma,1
New,Adult Fibrolamellar Carcinoma,1
Body Fluid Discharge,Stage II Carcinoma of Penis,1
Personal appearance,Colorectal Neuroendocrine Tumor G2,1
per year,Human Papillomavirus-Related Carcinoma,1
Tryptophanase,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Digital Content Category,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Including (qualifier),Tonsillar Carcinoma,1
Reported,Tonsillar Carcinoma,1
Always (frequency),Breast Ductal Adenoma,1
Malignant neoplasm of kidney,Sarcomatoid Renal Cell Carcinoma,1
Geographic Locations,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Basis - conceptual entity,Malignant Testicular Sertoli Cell Tumor,1
Increased risk,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Childbirth,Adult Hepatocellular Carcinoma,1
Nuclear hyperchromasia,Angiosarcoma of liver,1
Extraction,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Polycythemia,Leiomyoma of Gallbladder,1
Primary malignant neoplasm,Advanced Uterine Corpus Carcinosarcoma,1
Characterization,adenosquamous carcinoma of breast,1
Medical Drop,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Autosomal recessive inheritance,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Malignant tumor of colon,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Lower - spatial qualifier,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Significant,Acute Undifferentiated Leukemia,1
Diagnosis Study,Refractory Barrett Esophagus,1
Molecular Mass,benign mature teratoma of pancreas,1
Five-year Survival Rate,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Malignant Neoplasms,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Changing,Choroid Necrotic Melanoma,1
Abnormal,Undifferentiated Endocervical Sarcoma,1
Including (qualifier),Human Papillomavirus-Related Carcinoma,1
Known,Acute lymphadenitis,1
How Often Weight Loss,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Hodgkin Disease,Stage I Adult Non-Hodgkin Lymphoma,1
Symptoms,Refractory Barrett Esophagus,1
Cyst,Pilocytic astrocytoma of cerebellum,1
Blood Cells,Acute Undifferentiated Leukemia,1
Fever,Acute Undifferentiated Leukemia,1
Physical Medical Procedure,Undifferentiated Endocervical Sarcoma,1
Immature,Acute Undifferentiated Leukemia,1
Known,Digestive System Hodgkin Lymphoma,1
Malignant lymphoma,Unfavorable Non-Hodgkin Lymphoma,1
Negation,Metastatic Ductal Breast Carcinoma,1
Include (action),Human Papillomavirus-Related Carcinoma,1
Percent (qualifier value),Undifferentiated Endocervical Sarcoma,1
PSA Level Less than Two,Acantholytic squamous cell carcinoma,1
History,Recurrent Uveal Melanoma,1
Obesity,Stage IB Pancreatic Cancer AJCC v8,1
Treatment Epoch,Acantholytic squamous cell carcinoma,1
Endocrine Cells,Colorectal Neuroendocrine Tumor G2,1
Exposure to,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Interferes with,Acute Undifferentiated Leukemia,1
Liquid Tumor,Primary Cutaneous Plasmablastic Lymphoma,1
Erythropoiesis,Acute Undifferentiated Leukemia,1
Pelvic Pain,Endometrial Small Cell Carcinoma,1
aggressive cancer,Female Breast Carcinoma,1
Monoclonal Gammapathies,Heavy Chain Deposition Disease,1
Cell Count,Malignant melanoma of eyelid,1
Tryptophanase,Mucinous adenocarcinoma gastric,1
Lymphoma,Mucinous adenocarcinoma gastric,1
shared attribute,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Symptoms aspect,Human Papillomavirus-Related Carcinoma,1
pharmacotherapeutic,Acute Undifferentiated Leukemia,1
Involvement with,Diffuse malignant mesothelioma,1
BBS9 wt Allele,Lymphomatous Adult T-Cell Leukemia/Lymphoma,1
Symptoms,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Lesion,Liver Cavernous Hemangioma,1
Mutation,Advanced Uterine Corpus Carcinosarcoma,1
Chemotherapy Regimen,Recurrent Uveal Melanoma,1
Characterization,Ichthyoses,1
Scar Tissue,Diffuse malignant mesothelioma,1
Death Adverse Event Not Associated with More Specific CTCAE Term NOS,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Immature Lymphocytes Measurement,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Aplasia Cutis Congenita,adenoid cystic carcinoma of lung,1
Causing,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
presently,Lymphomatous Adult T-Cell Leukemia/Lymphoma,1
Formation,papillary carcinoma of penis,1
Increased tendency to bruise,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
shared attribute,Carcinoma ex pleomorphic adenoma of parotid gland,1
Metastatic Neoplasm,adenosquamous carcinoma of breast,1
Class,Metastatic Carcinoma in the Lung,1
nonmyeloablative allogeneic hematopoietic stem cell transplantation,Metastatic Ductal Breast Carcinoma,1
Cause of Death,Adult Hepatocellular Carcinoma,1
Poor - grade value,Recurrent Uveal Melanoma,1
Blood Vessel,Granular Cell Leiomyosarcoma,1
Tears - SpecimenType,Blepharal carcinoma,1
Skin Pigmentation,Malignant melanoma of eyelid,1
Estrogen (disposition),Undifferentiated Endocervical Sarcoma,1
Diagnosis,Localized Askin Tumor,1
Blood Platelets,Acute Undifferentiated Leukemia,1
Dura Mater,Childhood Cerebellar Neoplasm,1
Formation,Blepharal carcinoma,1
Taxonomic,Breast Ductal Adenoma,1
Immunotherapy,Bladder squamous cell carcinoma stage I,1
Metastasis,mucinous adenocarcinoma of gallbladder,1
Mesenchymal Cell Neoplasm,Mucinous adenocarcinoma gastric,1
Malignant - descriptor,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
PSA Level Less than Five,Mucinous adenocarcinoma gastric,1
International Aspects,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Fracture,Localized Askin Tumor,1
Acute Myeloid Leukemia Pathway,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
How Often Weight Loss,Unfavorable Non-Hodgkin Lymphoma,1
Low Level,Human Papillomavirus-Related Carcinoma,1
Tryptophanase,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Poor function,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
primary tumor,Choroid Necrotic Melanoma,1
Tissue specific,Granular Cell Leiomyosarcoma,1
Malignant - descriptor,Testicular cancer metastatic,1
Type - attribute,Human Papillomavirus-Related Carcinoma,1
Rare,Stage IB Pancreatic Cancer AJCC v8,1
Diagnostic Neoplasm Staging,Carcinoma of urinary bladder,1
Biological Response Modifier Therapy,Recurrent Uveal Melanoma,1
Line Unit of Length,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Mutation,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Options,Acantholytic squamous cell carcinoma,1
Term Birth,Maxillary Sinus Adenocarcinoma,1
Diagnosis,Mucinous adenocarcinoma gastric,1
Erythropoiesis,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Variety (taxon),Liver Cavernous Hemangioma,1
Increase in size since previous mammogram,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Image Feature,Intestinal Neuroendocrine Carcinoma,1
Large,Cartilaginous exostosis,1
Binding (Molecular Function),Unresectable Rhabdomyosarcoma,1
Observation of color of skin,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Experimental Result,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Gram per Deciliter,Unresectable Rhabdomyosarcoma,1
low exposure,mucinous adenocarcinoma of gallbladder,1
Formation,Recurrent Testicular Lymphoma,1
Cultured Cell Line,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Fever,Stage I Adult Non-Hodgkin Lymphoma,1
Tumor Mass,Granular Cell Leiomyosarcoma,1
Exposure to radiation,Acute Undifferentiated Leukemia,1
Occur (action),Familial Adenomatous Polyposis Associated Medulloblastoma,1
Mixed Cell Morphology,Anterior Urethral Malignant Neoplasm,1
Cervix carcinoma,Undifferentiated Endocervical Sarcoma,1
survive,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Associated topography,Benign Carotid Body Paraganglioma,1
Symptoms aspect,Stage II Carcinoma of Penis,1
Protection Element Attribute,Refractory Barrett Esophagus,1
incidence of cases,Extra-Adrenal Paraganglioma,1
Metastatic Disease Clinical Trial Setting,Testicular cancer metastatic,1
Death Related to Adverse Event,Angiosarcoma of liver,1
Maintenance,Tonsillar Carcinoma,1
Definitely Related to Intervention,Recurrent Testicular Lymphoma,1
Malignant Neoplasms,Acute Undifferentiated Leukemia,1
Hematological Disease,Familial Hemophagocytic Lymphocytosis,1
Complete Pharyngeal Contraction,Intestinal Metaplasia of Bladder Urothelium,1
Associated with,Thymic Clear Cell Carcinoma,1
Mutation Abnormality,benign mature teratoma of pancreas,1
How Much Distress Pain,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Loss of appetite (finding),Mucinous adenocarcinoma gastric,1
Activation action,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Cancer Genus,Mucinous adenocarcinoma gastric,1
Enlarged,Childhood Lymphoma,1
Immature Platelet,Neonatal leukemia,1
Recurrence,Cancer of Urinary Tract,1
Population Group,Metastatic Ductal Breast Carcinoma,1
epithelial,Carcinoma ex pleomorphic adenoma of parotid gland,1
Standard Treatment,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Image Feature,Stage I Gastric Neuroendocrine Tumor AJCC v8,1
Followed by,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Spherical shape,Childhood Thyroid Gland Follicular Carcinoma,1
Lymphadenopathy,Recurrent Testicular Lymphoma,1
Have Weight Loss,Diffuse malignant mesothelioma,1
Proliferation (morphologic abnormality),Testicular cancer metastatic,1
Malignant Neoplasms,adenoid cystic carcinoma of lung,1
How Often Vomiting,Choroid Necrotic Melanoma,1
Digestion,mucinous adenocarcinoma of gallbladder,1
Chemotherapy,Malignant Testicular Sertoli Cell Tumor,1
LATS1 wt Allele,Human Papillomavirus-Related Carcinoma,1
Five,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Laryngeal prominence,Childhood Thyroid Gland Follicular Carcinoma,1
Frequently,adenoid cystic carcinoma of lung,1
types of infections,Human Papillomavirus-Related Carcinoma,1
Mean Percent of Normal,Undifferentiated Endocervical Sarcoma,1
Dilated,Undifferentiated Endocervical Sarcoma,1
Mutation Abnormality,Clonal Hematopoiesis of Indeterminate Potential,1
Primary,FIGO Stage II Ovarian Cancer,1
Age of Onset,Acantholytic squamous cell carcinoma,1
Subject Risk,Acantholytic squamous cell carcinoma,1
90%,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Symptoms aspect,Acute Undifferentiated Leukemia,1
Cancer Remission,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Hepatitis B,Adult Hepatocellular Carcinoma,1
Heartburn,Mucinous adenocarcinoma gastric,1
Negation,Serous cystadenocarcinoma ovary,1
Fibroid Tumor,Leiomyoma of Gallbladder,1
Malignant Neoplasms,Adult Alveolar Soft Part Sarcoma,1
Greater than one,Tonsillar Carcinoma,1
Detected (finding),Human Papillomavirus-Related Carcinoma,1
Myoepithelial,Carcinoma ex pleomorphic adenoma of parotid gland,1
Usual Severity Vomiting,Mucinous adenocarcinoma gastric,1
Term (lexical),Recurrent Testicular Lymphoma,1
Five-year Survival Rate,Intestinal Metaplasia of Bladder Urothelium,1
Histocompatibility Testing,Granular Cell Leiomyosarcoma,1
Offspring,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Lesion of breast,Atypical Lobular Breast Hyperplasia,1
Usual Severity Weight Loss,Methotrexate-Associated Hodgkin Lymphoma,1
Fibrous connective tissue,Giant cell angiofibroma,1
Fever symptoms (finding),Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Has focus,Advanced Uterine Corpus Carcinosarcoma,1
Cancer Genus,Adult Alveolar Soft Part Sarcoma,1
anatomical layer,Diffuse malignant mesothelioma,1
Low Level,Primary Cutaneous Plasmablastic Lymphoma,1
Taxonomic,Noninfiltrating Intraductal Carcinoma,1
Average of Value Derivation Technique,Digestive System Hodgkin Lymphoma,1
Five-year Survival Rate,Endometrial Small Cell Carcinoma,1
Diagnosis,Neonatal leukemia,1
Menopause present (finding),Undifferentiated Endocervical Sarcoma,1
Cessation of life,Endometrial Small Cell Carcinoma,1
First Intercourse,Human Papillomavirus-Related Carcinoma,1
Mean Percent of Normal,Endometrial Small Cell Carcinoma,1
Site of,Tonsillar Carcinoma,1
Drop - Unit of Volume,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
2+,FIGO Stage II Ovarian Cancer,1
Scientific Publication,Leptomeningeal sarcoma,1
Soft Tissue Route of Drug Administration,Localized Askin Tumor,1
Nodule,Deep Leiomyoma,1
Tryptophanase,Bladder squamous cell carcinoma stage I,1
Visceral,Angiosarcoma of liver,1
Precancerous Conditions,Recurrent Testicular Lymphoma,1
Disease Outcome,Female Breast Carcinoma,1
Head - Component of Device,Benign Carotid Body Paraganglioma,1
Large,Ichthyosis,1
300,Extra-Adrenal Paraganglioma,1
Numbers,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Low Level,mucinous adenocarcinoma of gallbladder,1
Pathologic,Testicular cancer metastatic,1
How Much Distress Weight Loss,adenosquamous carcinoma of breast,1
Containing (qualifier),Diffuse malignant mesothelioma,1
Providing presence (regime/therapy),Atypical Lobular Breast Hyperplasia,1
Per Millimeter,Deep Leiomyoma,1
Dangerousness,Recurrent Uveal Melanoma,1
PREVENT (product),Advanced Uterine Corpus Carcinosarcoma,1
Malignant neoplasm of oropharynx,Tonsillar Carcinoma,1
Personal Contact,Human Papillomavirus-Related Carcinoma,1
